Date,PG
2015-08-03,57.91613006591797
2015-08-04,57.54469299316406
2015-08-05,57.43856430053711
2015-08-06,57.41581344604492
2015-08-07,57.21870422363281
2015-08-10,57.90098190307617
2015-08-11,57.779693603515625
2015-08-12,57.9085578918457
2015-08-13,57.44614791870117
2015-08-14,57.32484436035156
2015-08-17,57.2566032409668
2015-08-18,56.953399658203125
2015-08-19,56.18775939941406
2015-08-20,56.0285530090332
2015-08-21,54.45935821533203
2015-08-24,52.41257858276367
2015-08-25,51.86677551269531
2015-08-26,53.74678421020508
2015-08-27,54.18645477294922
2015-08-28,53.981788635253906
2015-08-31,53.57242202758789
2015-09-01,52.23065185546875
2015-09-02,52.92049026489258
2015-09-03,53.011470794677734
2015-09-04,52.1245231628418
2015-09-08,53.04936218261719
2015-09-09,51.91228103637695
2015-09-10,51.790977478027344
2015-09-11,51.86677551269531
2015-09-14,51.593868255615234
2015-09-15,52.64759063720703
2015-09-16,53.14033126831055
2015-09-17,53.2464485168457
2015-09-18,53.01904296875
2015-09-21,53.5572624206543
2015-09-22,53.20856475830078
2015-09-23,53.26163101196289
2015-09-24,54.095481872558594
2015-09-25,55.088565826416016
2015-09-28,54.406280517578125
2015-09-29,54.79291915893555
2015-09-30,54.535179138183594
2015-10-01,54.542747497558594
2015-10-02,54.89903259277344
2015-10-05,55.5054817199707
2015-10-06,55.64195251464844
2015-10-07,55.884517669677734
2015-10-08,56.400001525878906
2015-10-09,56.46064758300781
2015-10-12,56.34695053100586
2015-10-13,56.18016052246094
2015-10-14,56.2559814453125
2015-10-15,56.30146408081055
2015-10-16,56.7790412902832
2015-10-19,56.976158142089844
2015-10-20,56.42275619506836
2015-10-21,56.287357330322266
2015-10-22,57.251094818115234
2015-10-23,58.91853713989258
2015-10-26,59.270381927490234
2015-10-27,59.11740493774414
2015-10-28,58.520816802978516
2015-10-29,58.91090774536133
2015-10-30,58.42139434814453
2015-11-02,58.58966064453125
2015-11-03,58.9338493347168
2015-11-04,58.941471099853516
2015-11-05,58.42903137207031
2015-11-06,57.80181884765625
2015-11-09,57.671791076660156
2015-11-10,57.95479965209961
2015-11-11,58.100135803222656
2015-11-12,57.10578155517578
2015-11-13,56.570377349853516
2015-11-16,57.595306396484375
2015-11-17,57.41939163208008
2015-11-18,58.054237365722656
2015-11-19,58.29900360107422
2015-11-20,57.99304962158203
2015-11-23,58.10778045654297
2015-11-24,58.474910736083984
2015-11-25,58.054237365722656
2015-11-27,57.90123748779297
2015-11-30,57.24345397949219
2015-12-01,58.08483123779297
2015-12-02,57.97011947631836
2015-12-03,57.93186569213867
2015-12-04,59.53043746948242
2015-12-07,59.9434814453125
2015-12-08,59.46927261352539
2015-12-09,59.43100357055664
2015-12-10,59.499855041503906
2015-12-11,59.49219512939453
2015-12-14,59.882286071777344
2015-12-15,60.94545364379883
2015-12-16,61.947471618652344
2015-12-17,61.412044525146484
2015-12-18,59.75990295410156
2015-12-21,60.387123107910156
2015-12-22,60.8842887878418
2015-12-23,61.12905502319336
2015-12-24,61.02960968017578
2015-12-28,61.12905502319336
2015-12-29,61.46559524536133
2015-12-30,61.2437858581543
2015-12-31,60.73894119262695
2016-01-04,59.9434814453125
2016-01-05,60.13469696044922
2016-01-06,59.55339050292969
2016-01-07,59.03327178955078
2016-01-08,58.10778045654297
2016-01-11,58.643184661865234
2016-01-12,58.520816802978516
2016-01-13,58.01597595214844
2016-01-14,58.245460510253906
2016-01-15,57.35054397583008
2016-01-19,58.68909454345703
2016-01-20,58.506229400634766
2016-01-21,59.19291305541992
2016-01-22,59.68669891357422
2016-01-25,59.293209075927734
2016-01-26,60.805423736572266
2016-01-27,60.79772186279297
2016-01-28,61.584659576416016
2016-01-29,63.0274772644043
2016-02-01,62.587711334228516
2016-02-02,61.893306732177734
2016-02-03,62.572269439697266
2016-02-04,62.26364517211914
2016-02-05,62.64942169189453
2016-02-08,63.74501037597656
2016-02-09,63.76045227050781
2016-02-10,62.973472595214844
2016-02-11,61.64639663696289
2016-02-12,62.48740768432617
2016-02-16,62.85773849487305
2016-02-17,63.61384963989258
2016-02-18,63.25122833251953
2016-02-19,63.104637145996094
2016-02-22,63.366966247558594
2016-02-23,63.12007141113281
2016-02-24,62.927188873291016
2016-02-25,63.528968811035156
2016-02-26,62.572269439697266
2016-02-29,61.94732666015625
2016-03-01,62.67255783081055
2016-03-02,63.69099044799805
2016-03-03,63.91476821899414
2016-03-04,64.41626739501953
2016-03-07,64.11534118652344
2016-03-08,64.08448791503906
2016-03-09,64.0073471069336
2016-03-10,63.48268127441406
2016-03-11,63.07376480102539
2016-03-14,62.62627410888672
2016-03-15,62.734310150146484
2016-03-16,62.757423400878906
2016-03-17,63.845306396484375
2016-03-18,64.15394592285156
2016-03-21,64.28511047363281
2016-03-22,63.837581634521484
2016-03-23,63.899314880371094
2016-03-24,63.95331954956055
2016-03-28,63.74501037597656
2016-03-29,63.88390350341797
2016-03-30,63.79130935668945
2016-03-31,63.5058479309082
2016-04-01,64.44710540771484
2016-04-04,64.20022583007812
2016-04-05,64.16165161132812
2016-04-06,64.66315460205078
2016-04-07,64.22335815429688
2016-04-08,64.19252014160156
2016-04-11,63.829891204833984
2016-04-12,63.907020568847656
2016-04-13,63.62157440185547
2016-04-14,63.79268264770508
2016-04-15,64.01828002929688
2016-04-18,64.43053436279297
2016-04-19,64.78060150146484
2016-04-20,63.434852600097656
2016-04-21,62.851478576660156
2016-04-22,62.9681396484375
2016-04-25,63.32600402832031
2016-04-26,61.87914276123047
2016-04-27,62.14360046386719
