Date,CIEINDIA.NS
2015-08-21,257.3456726074219
2015-08-24,239.96585083007812
2015-08-25,244.51429748535156
2015-08-26,253.2760009765625
2015-08-27,263.1867980957031
2015-08-28,266.9691467285156
2015-08-31,275.1084899902344
2015-09-01,266.92132568359375
2015-09-02,261.03228759765625
2015-09-03,263.56982421875
2015-09-04,258.4947204589844
2015-09-07,251.5524139404297
2015-09-08,253.75477600097656
2015-09-09,258.0159606933594
2015-09-10,260.7449645996094
2015-09-11,252.5099639892578
2015-09-14,249.87664794921875
2015-09-15,249.20635986328125
2015-09-16,248.67970275878906
2015-09-18,248.9669647216797
2015-09-21,254.0420379638672
2015-09-22,247.24334716796875
2015-09-23,246.81243896484375
2015-09-24,245.2324676513672
2015-09-28,244.03549194335938
2015-09-29,243.93972778320312
2015-09-30,244.56214904785156
2015-10-01,241.7852020263672
2015-10-05,246.7166748046875
2015-10-06,251.83966064453125
2015-10-07,249.3978729248047
2015-10-08,257.39349365234375
2015-10-09,254.42507934570312
2015-10-12,257.10626220703125
2015-10-13,252.5099639892578
2015-10-14,252.74932861328125
2015-10-15,252.94085693359375
2015-10-16,259.0213928222656
2015-10-19,254.9517364501953
2015-10-20,252.65357971191406
2015-10-21,247.81785583496094
2015-10-23,243.5567169189453
2015-10-26,235.08224487304688
2015-10-27,233.6938018798828
2015-10-28,226.9429473876953
2015-10-29,244.13124084472656
2015-10-30,242.2639923095703
2015-11-02,242.12037658691406
2015-11-03,246.3815155029297
2015-11-04,250.25965881347656
2015-11-05,239.10403442382812
2015-11-06,238.76889038085938
2015-11-09,238.9125213623047
2015-11-10,236.2792205810547
2015-11-13,232.5925750732422
2015-11-16,233.88531494140625
2015-11-17,234.0289306640625
2015-11-18,234.65135192871094
2015-11-19,237.61978149414062
2015-11-20,245.37608337402344
2015-11-23,238.43374633789062
2015-11-24,238.43374633789062
2015-11-26,242.02459716796875
2015-11-27,236.08770751953125
2015-11-30,242.6470184326172
2015-12-01,248.91909790039062
2015-12-02,249.7329864501953
2015-12-03,246.3815155029297
2015-12-04,238.43374633789062
2015-12-07,247.6742401123047
2015-12-08,237.90707397460938
2015-12-09,236.13558959960938
2015-12-10,238.9125213623047
2015-12-11,238.19435119628906
2015-12-14,238.57736206054688
2015-12-15,248.24879455566406
2015-12-16,249.58937072753906
2015-12-17,251.12147521972656
2015-12-18,247.19544982910156
2015-12-21,245.04092407226562
2015-12-22,242.3118896484375
2015-12-23,241.06704711914062
2015-12-24,244.03549194335938
2015-12-28,239.8700714111328
2015-12-29,239.2955322265625
2015-12-30,244.13124084472656
2015-12-31,240.44464111328125
2016-01-01,242.6949005126953
2016-01-04,236.6622314453125
2016-01-05,239.10403442382812
2016-01-06,237.33255004882812
2016-01-07,234.6034698486328
2016-01-08,234.6034698486328
2016-01-11,234.12469482421875
2016-01-12,236.71011352539062
2016-01-13,233.4543914794922
2016-01-14,225.74600219726562
2016-01-15,209.46739196777344
