Date,ECLERX.NS
2015-08-21,838.6519775390625
2015-08-24,799.57275390625
2015-08-25,822.350341796875
2015-08-26,814.2119140625
2015-08-27,853.5144653320312
2015-08-28,851.7281494140625
2015-08-31,829.9429931640625
2015-09-01,818.7774047851562
2015-09-02,832.9700317382812
2015-09-03,874.2575073242188
2015-09-04,845.7730712890625
2015-09-07,807.6367797851562
2015-09-08,809.472900390625
2015-09-09,864.7296142578125
2015-09-10,862.819091796875
2015-09-11,877.3837890625
2015-09-14,858.6754760742188
2015-09-15,846.095703125
2015-09-16,842.0016479492188
2015-09-18,831.0593872070312
2015-09-21,819.4722290039062
2015-09-22,806.27197265625
2015-09-23,786.0997924804688
2015-09-24,789.0028686523438
2015-09-28,790.094482421875
2015-09-29,780.7403564453125
2015-09-30,787.4645385742188
2015-10-01,786.7449340820312
2015-10-05,849.1971435546875
2015-10-06,864.704833984375
2015-10-07,846.021240234375
2015-10-08,846.6167602539062
2015-10-09,825.6007690429688
2015-10-12,834.1361694335938
2015-10-13,843.093505859375
2015-10-14,843.4656372070312
2015-10-15,889.4921875
2015-10-16,889.814697265625
2015-10-19,893.3877563476562
2015-10-20,889.9140014648438
2015-10-21,894.1320190429688
2015-10-23,909.0690307617188
2015-10-26,929.291015625
2015-10-27,931.548828125
2015-10-28,934.5759887695312
2015-10-29,920.6314086914062
2015-10-30,906.9103393554688
2015-11-02,900.0868530273438
2015-11-03,931.6729125976562
2015-11-04,926.7352294921875
2015-11-05,885.2245483398438
2015-11-06,883.5371704101562
2015-11-09,858.8739624023438
2015-11-10,852.596435546875
2015-11-13,880.956787109375
2015-11-16,903.9080810546875
2015-11-17,918.5967407226562
2015-11-18,899.243408203125
2015-11-19,914.0562744140625
2015-11-20,916.835205078125
2015-11-23,904.67724609375
2015-11-24,906.7119750976562
2015-11-26,893.5365600585938
2015-11-27,903.5606079101562
2015-11-30,906.1411743164062
2015-12-01,930.9286499023438
2015-12-02,922.7405395507812
2015-12-03,916.0908813476562
2015-12-04,919.7879638671875
2015-12-07,919.6389770507812
2015-12-08,908.7465209960938
2015-12-09,893.9087524414062
2015-12-10,881.2048950195312
2015-12-11,888.5244750976562
2015-12-14,888.4500732421875
2015-12-15,895.5960083007812
2015-12-16,924.4773559570312
2015-12-17,944.0870971679688
2015-12-18,969.8917236328125
2015-12-21,930.4569091796875
2015-12-22,922.9801635742188
2015-12-23,960.09912109375
2015-12-24,981.7022705078125
2015-12-28,955.2030029296875
2015-12-29,951.3983764648438
2015-12-30,931.8795166015625
2015-12-31,940.8779907226562
2016-01-01,945.8735961914062
2016-01-04,926.9500732421875
2016-01-05,920.9953002929688
2016-01-06,921.2598266601562
2016-01-07,933.5335693359375
2016-01-08,924.8990478515625
2016-01-11,912.5259399414062
2016-01-12,904.1890258789062
2016-01-13,885.8279418945312
2016-01-14,890.1288452148438
2016-01-15,849.9330444335938
2016-01-18,861.545166015625
2016-01-19,860.5195922851562
2016-01-20,859.4940795898438
2016-01-21,894.5287475585938
2016-01-22,909.3829345703125
2016-01-25,906.8357543945312
2016-01-27,931.283935546875
2016-01-28,940.7125854492188
2016-01-29,932.8388671875
2016-02-01,887.6807250976562
2016-02-02,893.337890625
2016-02-03,881.7588500976562
2016-02-04,880.9647827148438
2016-02-05,889.43408203125
2016-02-08,887.7799072265625
2016-02-09,878.94677734375
2016-02-10,877.788818359375
2016-02-11,873.8519897460938
2016-02-12,875.5723266601562
2016-02-15,880.2700805664062
2016-02-16,869.81591796875
2016-02-17,872.594970703125
2016-02-18,875.9691772460938
2016-02-19,879.34375
2016-02-22,891.8822631835938
2016-02-23,884.6700439453125
2016-02-24,876.7964477539062
2016-02-25,884.4385375976562
2016-02-26,879.8399047851562
2016-02-29,875.2745971679688
2016-03-01,893.20556640625
2016-03-02,883.115234375
2016-03-03,890.3936157226562
2016-03-04,879.4761962890625
2016-03-08,873.4549560546875
2016-03-09,870.014404296875
2016-03-10,871.7017211914062
2016-03-11,869.9151611328125
2016-03-14,870.014404296875
2016-03-15,859.5601806640625
2016-03-16,853.1089477539062
2016-03-17,848.0473022460938
2016-03-18,840.570556640625
2016-03-21,837.7255249023438
2016-03-22,834.0202026367188
2016-03-23,805.4366455078125
2016-03-28,793.692138671875
2016-03-29,813.4094848632812
2016-03-30,846.6578369140625
2016-03-31,859.59326171875
2016-04-01,861.3465576171875
2016-04-04,874.91064453125
2016-04-05,876.6639404296875
2016-04-06,878.7813720703125
2016-04-07,880.3363647460938
2016-04-08,887.6143798828125
2016-04-11,875.8038940429688
2016-04-12,877.822021484375
2016-04-13,875.638427734375
2016-04-18,892.4115600585938
2016-04-20,899.6898193359375
2016-04-21,899.1273193359375
2016-04-22,886.0926513671875
2016-04-25,895.1904907226562
2016-04-26,876.3002319335938
2016-04-27,872.8595581054688
2016-04-28,854.5316162109375
2016-04-29,873.1571655273438
2016-05-02,878.4505004882812
2016-05-03,874.2158813476562
2016-05-04,880.2700805664062
2016-05-05,866.2429809570312
2016-05-06,870.014404296875
2016-05-09,880.766357421875
2016-05-10,882.5858764648438
2016-05-11,870.9075927734375
2016-05-12,918.0177001953125
2016-05-13,920.8958129882812
2016-05-16,919.6387329101562
2016-05-17,920.0358276367188
2016-05-18,941.241943359375
2016-05-19,959.56982421875
2016-05-20,932.905029296875
2016-05-23,924.6673583984375
2016-05-24,926.1891479492188
2016-05-25,926.9832153320312
2016-05-26,909.780029296875
2016-05-27,896.1830444335938
2016-05-30,910.5078125
2016-05-31,943.3261108398438
2016-06-01,947.2630004882812
