Date,INCY
2015-08-03,103.9800033569336
2015-08-04,109.73999786376953
2015-08-05,110.95999908447266
2015-08-06,104.3499984741211
2015-08-07,102.0
2015-08-10,103.94000244140625
2015-08-11,104.20999908447266
2015-08-12,107.27999877929688
2015-08-13,107.91000366210938
2015-08-14,105.80000305175781
2015-08-17,114.5999984741211
2015-08-18,113.97000122070312
2015-08-19,112.4000015258789
2015-08-20,107.5199966430664
2015-08-21,104.30999755859375
2015-08-24,97.37000274658203
2015-08-25,101.6500015258789
2015-08-26,108.48999786376953
2015-08-27,113.8499984741211
2015-08-28,119.93000030517578
2015-08-31,116.19000244140625
2015-09-01,115.12000274658203
2015-09-02,123.27999877929688
2015-09-03,116.06999969482422
2015-09-04,115.87999725341797
2015-09-08,120.12999725341797
2015-09-09,118.19999694824219
2015-09-10,124.5
2015-09-11,131.00999450683594
2015-09-14,128.2100067138672
2015-09-15,131.47000122070312
2015-09-16,130.8000030517578
2015-09-17,130.11000061035156
2015-09-18,125.93000030517578
2015-09-21,118.66000366210938
2015-09-22,117.77999877929688
2015-09-23,116.48999786376953
2015-09-24,111.94999694824219
2015-09-25,106.62000274658203
2015-09-28,95.16000366210938
2015-09-29,99.58999633789062
2015-09-30,110.33000183105469
2015-10-01,117.93000030517578
2015-10-02,126.45999908447266
2015-10-05,120.83000183105469
2015-10-06,112.45999908447266
2015-10-07,108.6500015258789
2015-10-08,103.44000244140625
2015-10-09,105.0
2015-10-12,106.01000213623047
2015-10-13,101.20999908447266
2015-10-14,105.91000366210938
2015-10-15,112.5199966430664
2015-10-16,107.77999877929688
2015-10-19,110.69000244140625
2015-10-20,107.5
2015-10-21,107.1500015258789
2015-10-22,109.0199966430664
2015-10-23,110.0199966430664
2015-10-26,112.29000091552734
2015-10-27,117.63999938964844
2015-10-28,120.36000061035156
2015-10-29,117.02999877929688
2015-10-30,117.52999877929688
2015-11-02,120.6500015258789
2015-11-03,119.98999786376953
2015-11-04,117.13999938964844
2015-11-05,116.76000213623047
2015-11-06,100.20999908447266
2015-11-09,105.86000061035156
2015-11-10,109.16000366210938
2015-11-11,106.1500015258789
2015-11-12,104.19999694824219
2015-11-13,107.36000061035156
2015-11-16,108.05999755859375
2015-11-17,113.4800033569336
2015-11-18,116.86000061035156
2015-11-19,116.43000030517578
2015-11-20,113.12999725341797
2015-11-23,112.9800033569336
2015-11-24,111.72000122070312
2015-11-25,115.41000366210938
2015-11-27,116.75
2015-11-30,114.23999786376953
2015-12-01,112.20999908447266
