Date,ZURN.SW
2015-08-24,145.4530487060547
2015-08-25,149.01968383789062
2015-08-26,146.7347869873047
2015-08-27,149.07542419433594
2015-08-28,148.5181427001953
2015-08-31,148.07229614257812
2015-09-01,144.89573669433594
2015-09-02,144.89573669433594
2015-09-03,146.9577178955078
2015-09-04,144.5613555908203
2015-09-07,144.95147705078125
2015-09-08,146.56761169433594
2015-09-09,148.79678344726562
2015-09-10,146.9577178955078
2015-09-11,147.18063354492188
2015-09-14,146.56761169433594
2015-09-15,147.7379150390625
2015-09-16,148.6295928955078
2015-09-17,148.5181427001953
2015-09-18,146.0660400390625
2015-09-21,141.99783325195312
2015-09-22,135.5332489013672
2015-09-23,134.92022705078125
2015-09-24,131.74365234375
2015-09-25,134.7530517578125
2015-09-28,131.46502685546875
2015-09-29,130.35043334960938
2015-09-30,133.30406188964844
2015-10-01,132.69107055664062
2015-10-02,133.63845825195312
2015-10-05,137.70669555664062
2015-10-06,139.09991455078125
2015-10-07,139.32281494140625
2015-10-08,143.44677734375
2015-10-09,144.17127990722656
2015-10-12,143.94833374023438
2015-10-13,140.43739318847656
2015-10-14,139.15562438964844
2015-10-15,139.65721130371094
2015-10-16,141.8306427001953
2015-10-19,140.60459899902344
2015-10-20,140.43739318847656
2015-10-21,141.27334594726562
2015-10-22,144.61709594726562
2015-10-23,144.78427124023438
2015-10-26,144.8400115966797
2015-10-27,144.2270050048828
2015-10-28,145.2301025390625
2015-10-29,145.5087890625
2015-10-30,145.62020874023438
2015-11-02,146.9019775390625
2015-11-03,147.29208374023438
2015-11-04,147.6822052001953
2015-11-05,146.9019775390625
2015-11-06,146.6233367919922
2015-11-09,146.67909240722656
2015-11-10,146.84625244140625
2015-11-11,148.90821838378906
2015-11-12,147.84938049316406
2015-11-13,146.0103302001953
2015-11-16,145.5087890625
2015-11-17,148.9639434814453
2015-11-18,150.13427734375
2015-11-19,151.02593994140625
2015-11-20,151.02593994140625
2015-11-23,149.96710205078125
2015-11-24,146.79052734375
2015-11-25,149.52125549316406
2015-11-26,151.193115234375
2015-11-27,151.63897705078125
2015-11-30,150.97019958496094
2015-12-01,150.4129180908203
2015-12-02,148.74105834960938
2015-12-03,145.11865234375
2015-12-04,143.8926239013672
2015-12-07,144.61709594726562
2015-12-08,142.83375549316406
2015-12-09,142.55511474609375
2015-12-10,141.6634521484375
2015-12-11,139.32281494140625
2015-12-14,137.03793334960938
2015-12-15,139.49000549316406
2015-12-16,138.9884490966797
2015-12-17,139.88011169433594
2015-12-18,140.2702178955078
2015-12-21,139.4342803955078
2015-12-22,139.49000549316406
2015-12-23,142.49937438964844
2015-12-28,142.1092987060547
2015-12-29,144.78427124023438
2015-12-30,144.00408935546875
2016-01-04,139.4342803955078
2016-01-05,139.6014862060547
2016-01-06,139.2113800048828
2016-01-07,136.8150177001953
2016-01-08,134.53013610839844
2016-01-11,138.37542724609375
2016-01-12,140.8832550048828
2016-01-13,142.4436492919922
2016-01-14,139.32281494140625
2016-01-15,135.31033325195312
2016-01-18,135.0316925048828
2016-01-19,137.4837646484375
2016-01-20,122.60408782958984
2016-01-21,121.37803649902344
2016-01-22,125.05615234375
2016-01-25,122.88273620605469
2016-01-26,123.6072006225586
2016-01-27,125.4462661743164
2016-01-28,123.71868133544922
2016-01-29,125.83638000488281
2016-02-01,125.11190032958984
2016-02-02,122.38117218017578
