Date,FEVR.L
2015-08-24,419.8752746582031
2015-08-25,432.1143798828125
2015-08-26,426.3695373535156
2015-08-27,427.6183776855469
2015-08-28,429.6166076660156
2015-09-01,431.8646240234375
2015-09-02,428.61749267578125
2015-09-03,426.1197204589844
2015-09-04,416.3785095214844
2015-09-07,424.3713073730469
2015-09-08,424.1215515136719
2015-09-09,436.1108093261719
2015-09-10,431.61480712890625
2015-09-11,422.6228332519531
2015-09-14,419.6254577636719
2015-09-15,432.86370849609375
2015-09-16,439.1080627441406
2015-09-17,445.8520812988281
2015-09-18,446.6014099121094
2015-09-21,442.355224609375
2015-09-22,430.365966796875
2015-09-23,422.8726501464844
2015-09-24,426.8690490722656
2015-09-25,432.6138000488281
2015-09-28,434.6121826171875
2015-09-29,429.8664245605469
2015-09-30,430.6157531738281
2015-10-01,429.3668518066406
2015-10-02,430.8654479980469
2015-10-05,431.61480712890625
2015-10-06,434.3623962402344
2015-10-07,432.36419677734375
2015-10-08,433.6130065917969
2015-10-09,429.3668518066406
2015-10-12,432.6138000488281
2015-10-13,429.1170654296875
2015-10-14,430.1161193847656
2015-10-15,430.6157531738281
2015-10-16,441.85577392578125
2015-10-19,450.59783935546875
2015-10-20,461.83782958984375
2015-10-21,464.58538818359375
2015-10-22,463.5862731933594
2015-10-23,461.3382873535156
2015-10-26,458.3409729003906
2015-10-27,446.3516540527344
2015-10-28,431.8646240234375
2015-10-29,430.1161193847656
2015-10-30,430.6157531738281
2015-11-02,432.86370849609375
2015-11-03,433.1134948730469
2015-11-04,509.5452880859375
2015-11-05,514.540771484375
2015-11-06,529.5275268554688
2015-11-09,529.5275268554688
2015-11-10,529.5275268554688
2015-11-11,530.5264892578125
2015-11-12,531.0260620117188
2015-11-13,544.5140380859375
2015-11-16,549.5096435546875
2015-11-17,549.5096435546875
2015-11-18,549.5096435546875
2015-11-19,556.5032958984375
2015-11-20,577.9842529296875
2015-11-23,578.9833374023438
2015-11-24,565.9949951171875
2015-11-25,577.484619140625
2015-11-26,574.4873046875
2015-11-27,577.9842529296875
2015-11-30,574.9867553710938
2015-12-01,575.9860229492188
2015-12-02,575.9860229492188
2015-12-03,571.4899291992188
2015-12-04,573.4882202148438
2015-12-07,578.9833374023438
2015-12-08,570.9905395507812
2015-12-09,568.49267578125
2015-12-10,539.5186157226562
2015-12-11,547.0119018554688
2015-12-14,556.0037841796875
2015-12-15,565.4954223632812
2015-12-16,569.4917602539062
2015-12-17,566.4945678710938
2015-12-18,568.49267578125
2015-12-21,584.9779052734375
2015-12-22,587.4757080078125
2015-12-23,594.4696044921875
2015-12-24,593.9699096679688
2015-12-29,596.4677734375
2015-12-30,596.9674072265625
2015-12-31,598.4659423828125
2016-01-04,589.9734497070312
2016-01-05,595.9680786132812
2016-01-06,605.959228515625
2016-01-07,604.4606323242188
2016-01-08,609.4561157226562
2016-01-11,619.94677734375
2016-01-12,629.4383544921875
2016-01-13,633.93408203125
2016-01-14,598.4659423828125
2016-01-15,545.5130004882812
2016-01-18,533.5238647460938
2016-01-19,563.9966430664062
2016-01-20,552.5068359375
2016-01-21,586.4765625
2016-01-22,585.4776000976562
2016-01-25,639.42919921875
2016-01-26,657.4133911132812
2016-01-27,668.4034423828125
2016-01-28,664.9066162109375
2016-01-29,657.4133911132812
2016-02-01,664.4070434570312
2016-02-02,685.3883056640625
2016-02-03,693.3811645507812
2016-02-04,676.3963012695312
2016-02-05,636.9315795898438
2016-02-08,589.473876953125
2016-02-09,585.9771728515625
2016-02-10,593.9699096679688
2016-02-11,553.0064086914062
2016-02-12,565.4954223632812
2016-02-15,561.99853515625
2016-02-16,561.99853515625
2016-02-17,570.9905395507812
2016-02-18,582.4800415039062
2016-02-19,582.979736328125
2016-02-22,578.9833374023438
2016-02-23,581.481201171875
2016-02-24,569.9912719726562
2016-02-25,568.49267578125
2016-02-26,561.4989013671875
2016-02-29,557.0030517578125
2016-03-01,563.9966430664062
2016-03-02,553.0064086914062
2016-03-03,548.0109252929688
2016-03-04,545.5130004882812
2016-03-07,543.0154418945312
2016-03-08,526.530029296875
2016-03-09,550.5088500976562
2016-03-10,553.5060424804688
2016-03-11,581.481201171875
2016-03-14,592.9708251953125
2016-03-15,634.4337158203125
2016-03-16,630.4373779296875
2016-03-17,642.4266967773438
2016-03-18,670.40185546875
2016-03-21,674.8977661132812
2016-03-22,679.3937377929688
2016-03-23,652.417724609375
2016-03-24,650.4195556640625
2016-03-29,636.9315795898438
2016-03-30,648.9208984375
2016-03-31,662.4087524414062
2016-04-01,664.4070434570312
2016-04-04,649.42041015625
2016-04-05,641.4276123046875
2016-04-06,646.4232177734375
2016-04-07,643.9481811523438
2016-04-08,660.9337158203125
2016-04-11,638.9525146484375
2016-04-12,629.460693359375
2016-04-13,630.9595336914062
2016-04-14,629.460693359375
2016-04-15,623.9652709960938
2016-04-18,622.9664306640625
2016-04-19,625.464111328125
2016-04-20,603.4828491210938
2016-04-21,598.4871826171875
2016-04-22,599.4864501953125
2016-04-25,611.4759521484375
2016-04-26,604.9818115234375
2016-04-27,606.4802856445312
2016-04-28,620.9678344726562
2016-04-29,609.9773559570312
2016-05-03,595.9892578125
2016-05-04,597.9874877929688
2016-05-05,595.9892578125
2016-05-06,604.4821166992188
2016-05-09,613.9739379882812
2016-05-10,594.9901123046875
2016-05-11,599.4864501953125
2016-05-12,596.4889526367188
2016-05-13,599.4864501953125
2016-05-16,600.4854736328125
2016-05-17,592.9918823242188
2016-05-18,597.4879150390625
2016-05-19,692.9063720703125
2016-05-20,713.3887329101562
2016-05-23,708.8925170898438
2016-05-24,698.4017944335938
