Date,HSX.L
2015-08-24,865.151123046875
2015-08-25,891.5946655273438
2015-08-26,889.10009765625
2015-08-27,890.097900390625
2015-08-28,898.0808715820312
2015-09-01,892.09375
2015-09-02,893.5904541015625
2015-09-03,901.074462890625
2015-09-04,884.6096801757812
2015-09-07,889.10009765625
2015-09-08,918.0381469726562
2015-09-09,929.5137329101562
2015-09-10,926.5201416015625
2015-09-11,925.0233154296875
2015-09-14,924.025390625
2015-09-15,929.0148315429688
2015-09-16,933.0061645507812
2015-09-17,937.49658203125
2015-09-18,930.5116577148438
2015-09-21,928.0167846679688
2015-09-22,910.0552368164062
2015-09-23,923.0274047851562
2015-09-24,916.04248046875
2015-09-25,947.4752197265625
2015-09-28,945.978515625
2015-09-29,931.010498046875
2015-09-30,939.9912719726562
2015-10-01,946.4774780273438
2015-10-02,938.4945068359375
2015-10-05,951.9656982421875
2015-10-06,948.9719848632812
2015-10-07,931.010498046875
2015-10-08,919.5349731445312
2015-10-09,911.5521850585938
2015-10-12,911.5521850585938
2015-10-13,918.5371704101562
2015-10-14,911.5521850585938
2015-10-15,921.03173828125
2015-10-16,932.5072631835938
2015-10-19,937.9954223632812
2015-10-20,946.4774780273438
2015-10-21,944.980712890625
2015-10-22,945.978515625
2015-10-23,958.451904296875
2015-10-26,955.4581909179688
2015-10-27,953.9614868164062
2015-10-28,960.9464721679688
2015-10-29,970.4263916015625
2015-10-30,965.4369506835938
2015-11-02,963.4413452148438
2015-11-03,970.4263916015625
2015-11-04,958.9508056640625
2015-11-05,970.4263916015625
2015-11-06,987.3899536132812
2015-11-09,983.3984985351562
2015-11-10,983.8975219726562
2015-11-11,996.8696899414062
2015-11-12,993.876220703125
2015-11-13,986.3921508789062
2015-11-16,995.8717651367188
2015-11-17,1006.8484497070312
2015-11-18,1001.859130859375
2015-11-19,1002.8570556640625
2015-11-20,1006.8484497070312
2015-11-23,1002.8570556640625
2015-11-24,994.375
2015-11-25,1002.8570556640625
2015-11-26,992.37939453125
2015-11-27,996.3707275390625
2015-11-30,1016.8271484375
2015-12-01,1029.7991943359375
2015-12-02,1027.8035888671875
2015-12-03,1034.788818359375
2015-12-04,1028.801513671875
2015-12-07,1034.788818359375
2015-12-08,1026.8056640625
2015-12-09,1029.7991943359375
2015-12-10,1036.7841796875
2015-12-11,1032.79296875
2015-12-14,1026.8056640625
2015-12-15,1047.7608642578125
2015-12-16,1044.7674560546875
2015-12-17,1045.76513671875
2015-12-18,1037.7823486328125
2015-12-21,1027.8035888671875
2015-12-22,1036.7841796875
2015-12-23,1042.771728515625
2015-12-24,1036.7841796875
2015-12-29,1056.74169921875
2015-12-30,1047.7608642578125
2015-12-31,1051.75244140625
2016-01-04,1019.8206787109375
2016-01-05,1031.795166015625
2016-01-06,1027.8035888671875
2016-01-07,1025.8077392578125
2016-01-08,1029.7991943359375
2016-01-11,1022.8141479492188
2016-01-12,1029.7991943359375
2016-01-13,1017.824951171875
2016-01-14,975.91455078125
2016-01-15,981.9017333984375
2016-01-18,977.9103393554688
2016-01-19,992.37939453125
2016-01-20,952.9636840820312
2016-01-21,951.466796875
2016-01-22,956.9550170898438
2016-01-25,958.9508056640625
2016-01-26,958.9508056640625
2016-01-27,966.9338989257812
2016-01-28,965.9358520507812
2016-01-29,989.8845825195312
2016-02-01,989.8845825195312
2016-02-02,988.3878784179688
2016-02-03,964.4390258789062
2016-02-04,956.4561157226562
2016-02-05,936.9976196289062
2016-02-08,922.0296630859375
2016-02-09,918.0381469726562
2016-02-10,954.9592895507812
2016-02-11,933.5051879882812
2016-02-12,966.9338989257812
2016-02-15,975.41552734375
2016-02-16,969.4284057617188
2016-02-17,996.3707275390625
2016-02-18,1012.8355712890625
2016-02-19,1016.8271484375
2016-02-22,1035.7864990234375
2016-02-23,1024.8101806640625
2016-02-24,1037.7823486328125
2016-02-25,1055.743896484375
2016-02-26,1058.73779296875
2016-02-29,970.9251708984375
2016-03-01,982.400634765625
2016-03-02,949.969970703125
2016-03-03,961.4454345703125
2016-03-04,986.8910522460938
2016-03-07,965.4369506835938
2016-03-08,957.952880859375
2016-03-09,973.4198608398438
2016-03-10,915.69384765625
2016-03-11,951.6228637695312
2016-03-14,942.640625
2016-03-15,947.6307373046875
2016-03-16,954.616943359375
2016-03-17,961.1041259765625
2016-03-18,962.1022338867188
