Date,GPN
2015-08-03,53.66728973388672
2015-08-04,53.7772331237793
2015-08-05,54.1644172668457
2015-08-06,53.78679275512695
2015-08-07,53.891963958740234
2015-08-10,54.82410430908203
2015-08-11,54.532508850097656
2015-08-12,54.78112030029297
2015-08-13,55.46002960205078
2015-08-14,55.91422653198242
2015-08-17,56.04331970214844
2015-08-18,56.23455810546875
2015-08-19,56.373199462890625
2015-08-20,55.57954025268555
2015-08-21,53.514137268066406
2015-08-24,50.63117980957031
2015-08-25,50.69811248779297
2015-08-26,52.17067337036133
2015-08-27,53.54283142089844
2015-08-28,53.77230453491211
2015-08-31,53.255958557128906
2015-09-01,51.807315826416016
2015-09-02,52.820899963378906
2015-09-03,53.06951141357422
2015-09-04,52.73004913330078
2015-09-08,54.231285095214844
2015-09-09,53.61454772949219
2015-09-10,53.99225997924805
2015-09-11,54.54206085205078
2015-09-14,53.83446502685547
2015-09-15,54.704620361328125
2015-09-16,54.747642517089844
2015-09-17,54.805030822753906
2015-09-18,54.37950134277344
2015-09-21,55.57476043701172
2015-09-22,55.488704681396484
2015-09-23,56.07199478149414
2015-09-24,55.22575759887695
2015-09-25,55.33572006225586
2015-09-28,53.547603607177734
2015-09-29,54.47990417480469
2015-09-30,54.85284423828125
2015-10-01,55.71818923950195
2015-10-02,56.63138198852539
2015-10-05,55.89030838012695
2015-10-06,55.158836364746094
2015-10-07,61.29288864135742
2015-10-08,63.3248405456543
2015-10-09,63.597354888916016
2015-10-12,63.94159698486328
2015-10-13,61.99570846557617
2015-10-14,60.68091583251953
2015-10-15,62.03395462036133
2015-10-16,62.56464385986328
2015-10-19,63.716854095458984
2015-10-20,62.55508041381836
2015-10-21,62.741554260253906
2015-10-22,63.884193420410156
2015-10-23,64.03720092773438
2015-10-26,63.53518295288086
2015-10-27,62.622005462646484
2015-10-28,65.7105712890625
2015-10-29,65.22766876220703
2015-10-30,65.2181396484375
2015-11-02,65.13206481933594
2015-11-03,64.60135650634766
2015-11-04,65.08901977539062
2015-11-05,65.5958251953125
2015-11-06,66.87714385986328
2015-11-09,66.21736145019531
2015-11-10,65.98783874511719
2015-11-11,66.6572494506836
2015-11-12,65.88262939453125
2015-11-13,66.01652526855469
2015-11-16,66.13128662109375
2015-11-17,67.02071380615234
2015-11-18,67.80490112304688
2015-11-19,68.15872192382812
2015-11-20,68.14917755126953
2015-11-23,69.48805236816406
2015-11-24,69.0959701538086
