Date,YAR.OL
2015-08-24,221.03094482421875
2015-08-25,226.11859130859375
2015-08-26,226.181396484375
2015-08-27,230.89227294921875
2015-08-28,229.69883728027344
2015-08-31,231.9600067138672
2015-09-01,222.2243194580078
2015-09-02,217.387939453125
2015-09-03,222.6639862060547
2015-09-04,220.52841186523438
2015-09-07,219.58628845214844
2015-09-08,223.4805450439453
2015-09-09,225.36485290527344
2015-09-10,222.53839111328125
2015-09-11,219.1466522216797
2015-09-14,216.06887817382812
2015-09-15,216.44577026367188
2015-09-16,218.2044677734375
2015-09-17,219.77471923828125
2015-09-18,216.0060577392578
2015-09-21,216.25733947753906
2015-09-22,212.17462158203125
2015-09-23,211.29527282714844
2015-09-24,201.2455596923828
2015-09-25,209.78778076171875
2015-09-28,209.97625732421875
2015-09-29,211.4208984375
2015-09-30,213.24240112304688
2015-10-01,214.43582153320312
2015-10-02,213.24240112304688
2015-10-05,216.13168334960938
2015-10-06,219.83750915527344
2015-10-07,218.76974487304688
2015-10-08,218.2672576904297
2015-10-09,223.0408935546875
2015-10-12,219.96311950683594
2015-10-13,216.7598114013672
2015-10-14,214.81265258789062
2015-10-15,222.53839111328125
2015-10-16,220.0260009765625
2015-10-19,222.6639862060547
2015-10-20,224.23431396484375
2015-10-21,232.7765655517578
2015-10-22,238.55508422851562
2015-10-23,238.99478149414062
2015-10-26,237.1105194091797
2015-10-27,234.15838623046875
2015-10-28,241.38157653808594
2015-10-29,242.32374572753906
2015-10-30,242.26101684570312
2015-11-02,246.15524291992188
2015-11-03,247.9767608642578
2015-11-04,251.3684844970703
2015-11-05,248.4792022705078
2015-11-06,246.09243774414062
2015-11-09,244.5849151611328
2015-11-10,250.5519561767578
2015-11-11,254.3834228515625
2015-11-12,250.99163818359375
2015-11-13,252.24786376953125
2015-11-16,255.45118713378906
2015-11-17,259.9107666015625
2015-11-18,256.01654052734375
2015-11-19,254.57186889648438
2015-11-20,251.18008422851562
2015-11-23,249.672607421875
2015-11-24,247.16017150878906
2015-11-25,249.04452514648438
2015-11-26,248.91888427734375
2015-11-27,243.89401245117188
2015-11-30,252.6875457763672
