Date,DIVOPPBEES.NS
2018-05-11,29.34000015258789
2018-05-18,29.309999465942383
2018-06-01,29.489999771118164
2018-06-08,29.559999465942383
2018-06-15,29.68000030517578
2018-06-22,29.219999313354492
2018-06-29,28.700000762939453
2018-07-06,29.0
2018-07-13,29.399999618530273
2018-07-20,29.40999984741211
2018-07-27,29.780000686645508
2018-08-03,30.510000228881836
2018-08-10,30.5
2018-08-17,30.760000228881836
2018-08-24,30.8799991607666
2018-08-31,31.469999313354492
2018-09-07,31.100000381469727
2018-09-14,30.950000762939453
2018-09-21,30.59000015258789
2018-09-28,29.8799991607666
2018-10-05,28.3799991607666
2018-10-12,28.06999969482422
2018-10-19,27.989999771118164
2018-10-26,27.450000762939453
2018-11-02,28.809999465942383
2018-11-09,28.920000076293945
2018-11-16,28.690000534057617
2018-11-22,27.90999984741211
2018-11-30,28.510000228881836
2018-12-07,28.389999389648438
2018-12-14,29.18000030517578
2018-12-21,29.020000457763672
2018-12-28,29.309999465942383
2019-01-04,28.809999465942383
2019-06-20,30.639999389648438
2019-06-21,30.770000457763672
2019-06-24,30.649999618530273
2019-06-25,30.56999969482422
2019-06-26,30.950000762939453
2019-06-27,30.56999969482422
2019-06-28,30.649999618530273
2019-07-01,30.559999465942383
2019-07-02,30.6299991607666
2019-07-03,30.5
2019-07-04,30.780000686645508
2019-07-05,30.1200008392334
2019-07-08,29.729999542236328
2019-07-09,29.3799991607666
2019-07-10,29.389999389648438
2019-07-11,29.420000076293945
2019-07-12,29.25
2019-07-15,29.540000915527344
2019-07-16,29.59000015258789
2019-07-17,29.649999618530273
2019-07-18,29.5
2019-07-19,29.25
2019-07-22,29.25
2019-07-23,29.110000610351562
2019-07-24,29.209999084472656
2019-07-25,29.100000381469727
2019-07-26,29.219999313354492
2019-07-29,28.700000762939453
2019-07-30,28.649999618530273
2019-07-31,28.719999313354492
2019-08-01,28.6299991607666
2019-08-02,28.3700008392334
2019-08-05,28.3799991607666
2019-08-06,28.469999313354492
2019-08-07,28.25
2019-08-08,28.729999542236328
2019-08-09,28.579999923706055
2019-08-13,28.219999313354492
2019-08-14,28.329999923706055
2019-08-16,28.440000534057617
2019-08-19,28.5
2019-08-20,28.440000534057617
2019-08-21,28.209999084472656
2019-08-22,28.0
2019-08-23,28.100000381469727
2019-08-26,28.549999237060547
2019-08-27,28.5
2019-08-28,28.40999984741211
2019-08-29,28.389999389648438
2019-08-30,28.5
2019-09-03,28.5
2019-09-04,28.270000457763672
2019-09-05,28.75
2019-09-06,29.049999237060547
2019-09-09,29.020000457763672
2019-09-11,29.010000228881836
2019-09-12,28.799999237060547
2019-09-13,28.75
2019-09-16,28.799999237060547
2019-09-17,28.600000381469727
2019-09-18,28.65999984741211
2019-09-19,28.440000534057617
2019-09-20,29.290000915527344
2019-09-23,28.049999237060547
2019-09-24,29.700000762939453
2019-09-25,29.399999618530273
2019-09-26,29.5
2019-09-27,29.6200008392334
2019-09-30,29.5
2019-10-01,29.209999084472656
2019-10-03,29.3799991607666
2019-10-04,29.079999923706055
2019-10-07,28.899999618530273
2019-10-09,28.729999542236328
2019-10-10,29.020000457763672
2019-10-11,29.1200008392334
2019-10-14,28.950000762939453
2019-10-15,29.15999984741211
2019-10-16,29.219999313354492
2019-10-17,29.5
2019-10-18,29.770000457763672
2019-10-22,29.450000762939453
2019-10-23,29.540000915527344
2019-10-24,29.540000915527344
2019-10-25,29.469999313354492
2019-10-27,29.5
2019-10-29,29.670000076293945
2019-10-30,30.059999465942383
2019-10-31,30.450000762939453
2019-11-01,30.469999313354492
2019-11-04,30.3799991607666
2019-11-05,30.530000686645508
2019-11-06,30.229999542236328
2019-11-07,30.56999969482422
2019-11-08,30.030000686645508
2019-11-11,30.079999923706055
2019-11-13,29.700000762939453
2019-11-14,29.489999771118164
2019-11-15,29.75
2019-11-18,29.3700008392334
2019-11-19,29.450000762939453
2019-11-20,29.510000228881836
2019-11-21,29.469999313354492
2019-11-22,29.329999923706055
2019-11-25,29.559999465942383
2019-11-26,28.959999084472656
2019-11-27,29.260000228881836
2019-11-28,29.540000915527344
2019-11-29,29.280000686645508
2019-12-02,29.030000686645508
2019-12-03,29.09000015258789
2019-12-04,29.219999313354492
2019-12-05,29.31999969482422
2019-12-06,29.040000915527344
2019-12-09,29.030000686645508
2019-12-10,28.610000610351562
2019-12-11,28.760000228881836
2019-12-12,29.010000228881836
2019-12-13,29.190000534057617
2019-12-16,29.06999969482422
2019-12-17,29.06999969482422
2019-12-18,29.010000228881836
2019-12-19,29.450000762939453
2019-12-20,29.190000534057617
2019-12-23,29.40999984741211
2019-12-24,29.40999984741211
2019-12-26,29.31999969482422
2019-12-27,29.260000228881836
2019-12-30,29.5
2019-12-31,29.280000686645508
2020-01-01,29.3799991607666
2020-01-02,29.59000015258789
2020-01-03,29.59000015258789
2020-01-06,29.100000381469727
2020-01-07,29.389999389648438
2020-01-08,28.920000076293945
2020-01-09,29.110000610351562
2020-01-10,29.5
2020-01-13,29.65999984741211
2020-01-14,29.760000228881836
2020-01-15,30.0
2020-01-16,29.860000610351562
2020-01-17,29.940000534057617
2020-01-20,30.010000228881836
2020-01-21,29.610000610351562
2020-01-22,29.280000686645508
2020-01-23,29.549999237060547
2020-01-24,29.639999389648438
2020-01-27,29.729999542236328
2020-01-28,29.3799991607666
2020-01-29,29.510000228881836
2020-01-30,29.549999237060547
2020-01-31,29.170000076293945
2020-02-03,28.540000915527344
2020-02-04,28.950000762939453
2020-02-05,29.139999389648438
2020-02-06,29.100000381469727
