Date,JET2.L
2015-08-24,428.69793701171875
2015-08-25,449.6831970214844
2015-08-26,445.68597412109375
2015-08-27,453.9301452636719
2015-08-28,452.6810607910156
2015-09-01,441.6888122558594
2015-09-02,441.4389343261719
2015-09-03,501.14691162109375
2015-09-04,496.89990234375
2015-09-07,489.9048156738281
2015-09-08,492.9026794433594
2015-09-09,493.4023742675781
2015-09-10,483.4314270019531
2015-09-11,482.43212890625
2015-09-14,476.6858825683594
2015-09-15,476.43597412109375
2015-09-16,481.93243408203125
2015-09-17,481.1828918457031
2015-09-18,482.18218994140625
2015-09-21,480.1835632324219
2015-09-22,459.9468994140625
2015-09-23,475.9364013671875
2015-09-24,471.1894226074219
2015-09-25,474.68719482421875
2015-09-28,467.44195556640625
2015-09-29,469.6904296875
2015-09-30,483.6812438964844
2015-10-01,478.4346618652344
2015-10-02,479.93377685546875
2015-10-05,478.6845397949219
2015-10-06,484.930419921875
2015-10-07,464.6937255859375
2015-10-08,461.9455871582031
2015-10-09,445.9561462402344
2015-10-12,470.9396667480469
2015-10-13,470.190185546875
2015-10-14,456.1993103027344
2015-10-15,473.93768310546875
2015-10-16,473.43804931640625
2015-10-19,474.9370422363281
2015-10-20,473.6878356933594
2015-10-21,469.6904296875
2015-10-22,468.4413146972656
2015-10-23,464.9436340332031
2015-10-26,479.683837890625
2015-10-27,472.93829345703125
2015-10-28,470.190185546875
2015-10-29,472.4386901855469
2015-10-30,472.93829345703125
2015-11-02,474.4373474121094
2015-11-03,473.1881103515625
2015-11-04,477.1855163574219
2015-11-05,479.683837890625
2015-11-06,478.6845397949219
2015-11-09,474.1875
2015-11-10,469.6904296875
2015-11-11,469.440673828125
2015-11-12,453.7010803222656
2015-11-13,458.94757080078125
2015-11-16,458.4479064941406
2015-11-17,467.6918029785156
2015-11-18,469.440673828125
2015-11-19,483.4314270019531
2015-11-20,502.1690979003906
2015-11-23,507.6654357910156
2015-11-24,503.6680603027344
2015-11-25,516.1598510742188
2015-11-26,514.1611328125
2015-11-27,516.6594848632812
2015-11-30,521.1565551757812
2015-12-01,534.6477661132812
2015-12-02,536.6464233398438
2015-12-03,534.1480712890625
2015-12-04,536.1466064453125
2015-12-07,545.1408081054688
2015-12-08,548.1387329101562
2015-12-09,554.134765625
2015-12-10,552.1361694335938
2015-12-11,551.6364135742188
2015-12-14,550.6371459960938
2015-12-15,562.6293334960938
2015-12-16,559.631103515625
2015-12-17,560.6304931640625
2015-12-18,573.6220703125
2015-12-21,566.6266479492188
2015-12-22,569.6246337890625
2015-12-23,571.623291015625
2015-12-24,569.6246337890625
2015-12-29,571.623291015625
2015-12-30,587.1130981445312
2015-12-31,588.1213989257812
2016-01-04,574.630126953125
2016-01-05,576.1292114257812
2016-01-06,584.1239624023438
2016-01-07,576.1292114257812
2016-01-08,570.6326904296875
2016-01-11,577.6281127929688
2016-01-12,586.6224975585938
2016-01-13,571.632080078125
2016-01-14,554.1432495117188
2016-01-15,551.6448364257812
2016-01-18,552.644287109375
2016-01-19,559.1400756835938
2016-01-20,554.1432495117188
2016-01-21,560.1394653320312
2016-01-22,567.1349487304688
2016-01-25,569.1337280273438
2016-01-26,559.6397094726562
2016-01-27,557.6409912109375
2016-01-28,547.6474609375
2016-01-29,553.1439208984375
2016-02-01,576.6288452148438
2016-02-02,558.6405029296875
2016-02-03,540.1524047851562
2016-02-04,539.153076171875
2016-02-05,516.6674194335938
2016-02-08,492.43304443359375
2016-02-09,498.1793518066406
2016-02-10,521.6642456054688
2016-02-11,516.6674194335938
