Date,ADEN.SW
2015-08-24,44.3814811706543
2015-08-25,46.187339782714844
2015-08-26,46.248558044433594
2015-08-27,47.25861740112305
2015-08-28,45.75882339477539
2015-08-31,46.49341583251953
2015-09-01,45.29970932006836
2015-09-02,46.064910888671875
2015-09-03,46.952537536621094
2015-09-04,46.003700256347656
2015-09-07,45.72822189331055
2015-09-08,46.309776306152344
2015-09-09,46.646453857421875
2015-09-10,46.27915954589844
2015-09-11,46.003700256347656
2015-09-14,45.360931396484375
2015-09-15,45.63639831542969
2015-09-16,46.12611770629883
2015-09-17,45.911861419677734
2015-09-18,44.53451156616211
2015-09-21,44.963016510009766
2015-09-22,43.37141036987305
2015-09-23,43.12654113769531
2015-09-24,41.90223693847656
2015-09-25,43.15715789794922
2015-09-28,42.6368293762207
2015-09-29,42.422569274902344
2015-09-30,43.61627197265625
2015-10-01,43.49385070800781
2015-10-02,43.52445983886719
2015-10-05,45.330322265625
2015-10-06,45.330322265625
2015-10-07,44.71815490722656
2015-10-08,44.77937316894531
2015-10-09,44.84059524536133
2015-10-12,44.68756103515625
2015-10-13,44.19782638549805
2015-10-14,43.95296859741211
2015-10-15,44.565128326416016
2015-10-16,44.503902435302734
2015-10-19,44.10600662231445
2015-10-20,44.25904846191406
2015-10-21,43.24897766113281
2015-10-22,43.677494049072266
2015-10-23,44.6263427734375
2015-10-26,44.442691802978516
2015-10-27,44.53451156616211
2015-10-28,44.68756103515625
2015-10-29,45.57518005371094
2015-10-30,45.054847717285156
2015-11-02,45.2078857421875
2015-11-03,45.483360290527344
2015-11-04,45.14667510986328
2015-11-05,40.402442932128906
2015-11-06,40.8615608215332
2015-11-09,41.16763687133789
2015-11-10,41.473724365234375
2015-11-11,41.5655403137207
2015-11-12,40.95338821411133
2015-11-13,39.97393798828125
2015-11-16,40.18819046020508
2015-11-17,41.71859359741211
2015-11-18,41.90223693847656
2015-11-19,42.6368293762207
2015-11-20,42.66742706298828
2015-11-23,42.30013656616211
2015-11-24,41.1982536315918
2015-11-25,42.055274963378906
2015-11-26,42.23891830444336
2015-11-27,42.759254455566406
2015-11-30,43.0959358215332
2015-12-01,42.973506927490234
2015-12-02,42.72864532470703
2015-12-03,42.361351013183594
2015-12-04,42.30013656616211
2015-12-07,42.66742706298828
2015-12-08,41.932838439941406
2015-12-09,41.5655403137207
2015-12-10,41.351295471191406
2015-12-11,40.402442932128906
2015-12-14,39.790287017822266
2015-12-15,40.892173767089844
2015-12-16,41.0758171081543
2015-12-17,41.320682525634766
2015-12-18,40.92277526855469
2015-12-21,41.13703536987305
2015-12-22,41.381900787353516
2015-12-23,42.11648941040039
2015-12-28,42.1470947265625
2015-12-29,42.51438903808594
2015-12-30,42.177703857421875
2016-01-04,41.01460647583008
2016-01-05,41.16763687133789
2016-01-06,40.52487564086914
2016-01-07,39.116912841796875
2016-01-08,38.65779495239258
2016-01-11,38.32110595703125
2016-01-12,38.35171890258789
2016-01-13,38.872047424316406
2016-01-14,37.92320251464844
2016-01-15,36.79071044921875
2016-01-18,36.668277740478516
2016-01-19,37.12739944458008
2016-01-20,35.841861724853516
2016-01-21,36.91314697265625
2016-01-22,37.708946228027344
2016-01-25,37.46408462524414
2016-01-26,37.83137893676758
2016-01-27,37.708946228027344
2016-01-28,37.46408462524414
2016-01-29,38.259891510009766
2016-02-01,37.89259719848633
2016-02-02,36.51523971557617
2016-02-03,36.42341995239258
2016-02-04,36.69888687133789
2016-02-05,36.63767623901367
2016-02-08,34.831809997558594
2016-02-09,33.760528564453125
2016-02-10,34.280860900878906
2016-02-11,32.903507232666016
2016-02-12,32.934112548828125
2016-02-15,34.09721374511719
2016-02-16,33.97478485107422
2016-02-17,34.80120086669922
2016-02-18,36.239768981933594
2016-02-19,35.71942901611328
2016-02-22,36.20915985107422
2016-02-23,35.5663948059082
2016-02-24,35.5663948059082
2016-02-25,35.26030731201172
2016-02-26,35.81126022338867
2016-02-29,35.65821838378906
2016-03-01,36.42341995239258
2016-03-02,36.57645797729492
2016-03-03,37.18861389160156
2016-03-04,37.80077362060547
2016-03-07,37.61712646484375
2016-03-08,37.40286636352539
2016-03-09,37.95381546020508
2016-03-10,37.61712646484375
2016-03-11,38.5047492980957
2016-03-14,38.62718200683594
2016-03-15,38.47414779663086
2016-03-16,38.259891510009766
2016-03-17,38.5047492980957
2016-03-18,38.168067932128906
2016-03-21,37.708946228027344
2016-03-22,37.647727966308594
2016-03-23,37.89259719848633
2016-03-24,37.52530288696289
2016-03-29,37.89259719848633
2016-03-30,38.596580505371094
2016-03-31,38.35171890258789
2016-04-01,38.47414779663086
2016-04-04,38.74961471557617
2016-04-05,37.89259719848633
2016-04-06,37.80077362060547
2016-04-07,37.61712646484375
2016-04-08,38.53536605834961
2016-04-11,38.32110595703125
2016-04-12,38.56597137451172
2016-04-13,39.51481628417969
2016-04-14,39.42299270629883
2016-04-15,39.33116912841797
2016-04-18,39.759674072265625
2016-04-19,40.21879577636719
2016-04-20,40.647308349609375
2016-04-21,40.18819046020508
2016-04-22,39.5454216003418
2016-04-25,39.025089263916016
2016-04-26,38.933265686035156
2016-04-27,39.055694580078125
2016-04-28,39.45359802246094
2016-04-29,38.701507568359375
2016-05-02,38.73284149169922
2016-05-03,38.41946792602539
2016-05-04,38.294124603271484
2016-05-06,38.10609817504883
2016-05-09,38.76417922973633
2016-05-10,36.8212776184082
2016-05-11,36.915283203125
2016-05-12,36.38254928588867
2016-05-13,36.63324737548828
2016-05-17,36.53923416137695
2016-05-18,36.727256774902344
2016-05-19,36.75859451293945
