Date,ASHM.L
2015-08-24,248.8264617919922
2015-08-25,254.19471740722656
2015-08-26,252.50469970703125
2015-08-27,258.1711120605469
2015-08-28,261.153564453125
2015-09-01,249.42291259765625
2015-09-02,242.26531982421875
2015-09-03,248.2300262451172
2015-09-04,245.5458984375
2015-09-07,243.35887145996094
2015-09-08,255.58645629882812
2015-09-09,255.28819274902344
2015-09-10,251.31178283691406
2015-09-11,255.38760375976562
2015-09-14,252.70350646972656
2015-09-15,259.56292724609375
2015-09-16,266.81988525390625
2015-09-17,267.8141174316406
2015-09-18,262.5452880859375
2015-09-21,253.00177001953125
2015-09-22,250.31765747070312
2015-09-23,247.63352966308594
2015-09-24,244.6512451171875
2015-09-25,246.4405975341797
2015-09-28,239.28298950195312
2015-09-29,241.96713256835938
2015-09-30,245.0488739013672
2015-10-01,245.84413146972656
2015-10-02,253.00177001953125
2015-10-05,266.9193420410156
2015-10-06,265.6269836425781
2015-10-07,273.9775695800781
2015-10-08,280.3398742675781
2015-10-09,290.77801513671875
2015-10-12,290.0821838378906
2015-10-13,281.0357971191406
2015-10-14,281.6321716308594
2015-10-15,284.81341552734375
2015-10-16,277.35748291015625
2015-10-19,274.3751525878906
2015-10-20,273.381103515625
2015-10-21,270.79638671875
2015-10-22,273.381103515625
2015-10-23,277.4569396972656
2015-10-26,274.4747009277344
2015-10-27,268.01275634765625
2015-10-28,266.6211853027344
2015-10-29,263.73809814453125
2015-10-30,268.4104919433594
2015-11-02,266.4222717285156
2015-11-03,268.4104919433594
2015-11-04,277.25811767578125
2015-11-05,259.7749938964844
2015-11-06,258.7804870605469
2015-11-09,256.99029541015625
2015-11-10,248.6361083984375
2015-11-11,248.6361083984375
2015-11-12,246.14974975585938
2015-11-13,243.56393432617188
2015-11-16,243.36502075195312
2015-11-17,247.93992614746094
2015-11-18,247.0448760986328
2015-11-19,248.6361083984375
2015-11-20,248.6361083984375
2015-11-23,247.93992614746094
2015-11-24,249.33226013183594
2015-11-25,254.50390625
2015-11-26,254.40451049804688
2015-11-27,254.0066375732422
2015-11-30,251.12246704101562
2015-12-01,252.81320190429688
2015-12-02,250.22738647460938
2015-12-03,247.64158630371094
2015-12-04,247.144287109375
2015-12-07,247.0448760986328
2015-12-08,243.8623046875
2015-12-09,244.1606903076172
2015-12-10,243.06666564941406
2015-12-11,234.41415405273438
2015-12-14,234.314697265625
2015-12-15,236.8010711669922
2015-12-16,240.67974853515625
2015-12-17,245.25466918945312
2015-12-18,243.56393432617188
2015-12-21,244.06121826171875
2015-12-22,248.6361083984375
2015-12-23,254.40451049804688
2015-12-24,253.7083282470703
2015-12-29,255.6973876953125
2015-12-30,255.4984588623047
2015-12-31,255.001220703125
2016-01-04,247.54209899902344
2016-01-05,248.53665161132812
2016-01-06,245.65248107910156
2016-01-07,243.9617462158203
2016-01-08,239.58575439453125
2016-01-11,236.30377197265625
2016-01-12,227.45228576660156
2016-01-13,222.57907104492188
2016-01-14,212.23574829101562
2016-01-15,200.40072631835938
2016-01-18,197.91433715820312
2016-01-19,200.40072631835938
2016-01-20,198.5110626220703
2016-01-21,195.32852172851562
2016-01-22,203.58326721191406
2016-01-25,201.79307556152344
2016-01-26,205.0750732421875
2016-01-27,212.33523559570312
2016-01-28,216.5123291015625
2016-01-29,218.00413513183594
2016-02-01,216.5123291015625
2016-02-02,213.13088989257812
2016-02-03,203.38430786132812
2016-02-04,212.33523559570312
2016-02-05,215.21942138671875
2016-02-08,214.82159423828125
2016-02-09,216.8106689453125
2016-02-10,210.147216796875
2016-02-11,200.69906616210938
2016-02-12,209.0532684326172
2016-02-15,212.1363525390625
2016-02-16,209.25218200683594
2016-02-17,223.37469482421875
2016-02-18,219.893798828125
2016-02-19,219.09812927246094
2016-02-22,225.76156616210938
2016-02-23,231.4305419921875
2016-02-24,222.97686767578125
2016-02-25,223.7725067138672
2016-02-26,227.45228576660156
2016-02-29,230.13755798339844
2016-03-01,235.70701599121094
2016-03-02,241.67428588867188
2016-03-03,259.1273498535156
2016-03-04,272.85467529296875
2016-03-07,276.23675537109375
2016-03-08,269.7709655761719
2016-03-09,258.6300048828125
2016-03-10,259.2268371582031
2016-03-11,263.6036376953125
2016-03-14,275.44091796875
2016-03-15,273.6504211425781
2016-03-16,274.545654296875
2016-03-17,288.471923828125
2016-03-18,290.8592529296875
2016-03-21,289.2676696777344
2016-03-22,293.3460388183594
2016-03-23,280.71307373046875
2016-03-24,273.153076171875
2016-03-29,276.23675537109375
2016-03-30,286.97979736328125
2016-03-31,286.0845642089844
2016-04-01,280.5140075683594
2016-04-04,279.5193176269531
2016-04-05,273.4515075683594
2016-04-06,275.63983154296875
2016-04-07,276.23675537109375
2016-04-08,288.86981201171875
2016-04-11,287.7755432128906
2016-04-12,303.39288330078125
2016-04-13,303.19390869140625
2016-04-14,298.71759033203125
2016-04-15,298.2202453613281
2016-04-18,292.9482116699219
2016-04-19,303.19390869140625
2016-04-20,304.5865478515625
2016-04-21,300.7071228027344
2016-04-22,296.9271545410156
2016-04-25,297.52392578125
2016-04-26,295.9323425292969
2016-04-27,305.5813293457031
2016-04-28,309.06280517578125
2016-04-29,305.4818420410156
2016-05-03,296.13140869140625
2016-05-04,296.7281494140625
2016-05-05,291.3565979003906
2016-05-06,285.88555908203125
2016-05-09,279.91717529296875
2016-05-10,278.3256530761719
2016-05-11,278.5245666503906
2016-05-12,271.5615234375
2016-05-13,273.849365234375
2016-05-16,275.7393493652344
2016-05-17,281.9066467285156
2016-05-18,282.40399169921875
2016-05-19,283.29925537109375
2016-05-20,281.4093933105469
2016-05-23,280.31512451171875
2016-05-24,291.1576232910156
2016-05-25,292.4508056640625
2016-05-26,293.1470947265625
2016-05-27,293.54498291015625
2016-05-31,289.1681823730469
2016-06-01,284.69195556640625
2016-06-02,283.4982604980469
2016-06-03,283.4982604980469
2016-06-06,293.8433837890625
2016-06-07,291.3565979003906
2016-06-08,296.13140869140625
2016-06-09,290.2624206542969
2016-06-10,284.890869140625
2016-06-13,275.44091796875
2016-06-14,269.6714782714844
2016-06-15,269.2735900878906
2016-06-16,273.2525329589844
2016-06-17,285.98504638671875
2016-06-20,291.2571105957031
2016-06-21,297.42449951171875
2016-06-22,295.8329162597656
2016-06-23,307.5707092285156
2016-06-24,277.3309326171875
2016-06-27,258.7294921875
2016-06-28,273.9488220214844
2016-06-29,278.1266784667969
2016-06-30,295.634033203125
2016-07-01,306.9739074707031
2016-07-04,299.2149658203125
2016-07-05,293.8433837890625
2016-07-06,299.6128845214844
2016-07-07,312.345458984375
2016-07-08,318.413330078125
2016-07-11,331.2453308105469
2016-07-12,329.55426025390625
2016-07-13,329.65374755859375
2016-07-14,326.3711242675781
2016-07-15,347.45941162109375
2016-07-18,352.3336181640625
2016-07-19,352.1347351074219
2016-07-20,339.4021301269531
2016-07-21,336.21893310546875
2016-07-22,331.6431884765625
2016-07-25,332.5384521484375
2016-07-26,328.9574279785156
2016-07-27,334.13006591796875
2016-07-28,330.7479553222656
2016-07-29,331.2453308105469
2016-08-01,326.6695556640625
2016-08-02,325.1774597167969
2016-08-03,327.4653625488281
2016-08-04,339.9989929199219
2016-08-05,346.6636962890625
2016-08-08,353.6268005371094
2016-08-09,356.9094543457031
2016-08-10,352.3336181640625
2016-08-11,351.1399841308594
2016-08-12,357.1083068847656
2016-08-15,356.11358642578125
2016-08-16,365.56353759765625
2016-08-17,360.490478515625
2016-08-18,363.47454833984375
