Date,NUVOCO.NS
2021-08-23,531.7000122070312
2021-08-24,520.5499877929688
2021-08-25,532.6500244140625
2021-08-26,528.5499877929688
2021-08-27,535.9000244140625
2021-08-30,542.7999877929688
2021-08-31,556.1500244140625
2021-09-01,562.2000122070312
2021-09-02,564.3499755859375
2021-09-03,560.8499755859375
2021-09-06,567.4000244140625
2021-09-07,560.4000244140625
2021-09-08,553.4000244140625
2021-09-09,546.75
2021-09-13,544.7999877929688
2021-09-14,552.0499877929688
2021-09-15,554.5499877929688
2021-09-16,557.0499877929688
2021-09-17,538.5999755859375
2021-09-20,539.7000122070312
2021-09-21,536.2999877929688
2021-09-22,545.0
2021-09-23,552.0
2021-09-24,553.4500122070312
2021-09-27,552.3499755859375
2021-09-28,547.7000122070312
2021-09-29,545.1500244140625
2021-09-30,543.5
2021-10-01,545.75
2021-10-04,551.1500244140625
2021-10-05,554.4000244140625
2021-10-06,555.75
2021-10-07,549.4000244140625
2021-10-08,547.75
2021-10-11,544.9500122070312
2021-10-12,536.4000244140625
2021-10-13,534.5
2021-10-14,528.9000244140625
2021-10-18,530.0
2021-10-19,525.9500122070312
2021-10-20,520.3499755859375
2021-10-21,519.7000122070312
2021-10-22,508.54998779296875
2021-10-25,497.95001220703125
2021-10-26,524.9500122070312
2021-10-27,516.0999755859375
2021-10-28,515.75
2021-10-29,527.8499755859375
2021-11-01,528.6500244140625
2021-11-02,549.2999877929688
2021-11-03,547.25
2021-11-04,538.7999877929688
2021-11-08,552.7000122070312
2021-11-09,543.0499877929688
2021-11-10,535.5999755859375
2021-11-11,521.0999755859375
2021-11-12,514.5499877929688
2021-11-15,514.3499755859375
2021-11-16,532.0
2021-11-17,532.0
2021-11-18,514.4500122070312
2021-11-22,515.0
2021-11-23,519.4000244140625
2021-11-24,528.0
2021-11-25,539.0499877929688
2021-11-26,519.0999755859375
2021-11-29,508.25
2021-11-30,531.3499755859375
2021-12-01,523.0999755859375
2021-12-02,525.1500244140625
2021-12-03,523.0
2021-12-06,521.0999755859375
2021-12-07,526.4000244140625
2021-12-08,525.0
2021-12-09,538.4500122070312
2021-12-10,531.8499755859375
2021-12-13,527.0999755859375
2021-12-14,533.0999755859375
2021-12-15,528.4500122070312
2021-12-16,524.7999877929688
2021-12-17,521.7999877929688
2021-12-20,501.29998779296875
2021-12-21,503.8500061035156
2021-12-22,503.3999938964844
2021-12-23,503.20001220703125
2021-12-24,497.1499938964844
2021-12-27,491.45001220703125
2021-12-28,485.8999938964844
2021-12-29,494.5
2021-12-30,498.6499938964844
2021-12-31,499.3500061035156
2022-01-03,492.1499938964844
2022-01-04,494.8500061035156
2022-01-05,495.70001220703125
2022-01-06,490.04998779296875
2022-01-07,489.04998779296875
2022-01-10,494.25
2022-01-11,488.3999938964844
2022-01-12,500.3999938964844
2022-01-13,500.70001220703125
2022-01-14,510.79998779296875
2022-01-17,512.75
2022-01-18,504.3999938964844
2022-01-19,497.95001220703125
2022-01-20,495.8999938964844
2022-01-21,496.0
2022-01-24,478.3500061035156
2022-01-25,460.45001220703125
2022-01-27,450.79998779296875
