Date,C
2015-08-03,44.16218185424805
2015-08-04,44.18486022949219
2015-08-05,44.38889694213867
2015-08-06,43.90525436401367
2015-08-07,43.76166534423828
2015-08-10,44.38889694213867
2015-08-11,43.55764389038086
2015-08-12,43.005985260009766
2015-08-13,43.323387145996094
2015-08-14,43.51985168457031
2015-08-17,43.65587615966797
2015-08-18,43.48963165283203
2015-08-19,43.074005126953125
2015-08-20,41.81201171875
2015-08-21,40.504669189453125
2015-08-24,38.04114532470703
2015-08-25,37.69352340698242
2015-08-26,39.50716781616211
2015-08-27,40.383758544921875
2015-08-28,40.26285934448242
2015-08-31,40.413997650146484
2015-09-01,38.49456024169922
2015-09-02,39.10665512084961
2015-09-03,39.13689041137695
2015-09-04,38.230064392089844
2015-09-08,39.031105041503906
2015-09-09,38.44921875
2015-09-10,38.592796325683594
2015-09-11,38.61545944213867
2015-09-14,38.52478790283203
2015-09-15,39.295589447021484
2015-09-16,39.74143600463867
2015-09-17,39.031105041503906
2015-09-18,38.00336456298828
2015-09-21,38.320762634277344
2015-09-22,38.071372985839844
2015-09-23,37.87489700317383
2015-09-24,37.126766204833984
2015-09-25,38.199825286865234
2015-09-28,37.05119705200195
2015-09-29,37.02851867675781
2015-09-30,37.48948669433594
2015-10-01,37.70108413696289
2015-10-02,37.69352340698242
2015-10-05,38.660804748535156
2015-10-06,38.585235595703125
2015-10-07,38.781715393066406
2015-10-08,39.031105041503906
2015-10-09,38.82706069946289
2015-10-12,38.75149154663086
2015-10-13,38.69858932495117
2015-10-14,38.328304290771484
2015-10-15,40.028587341308594
2015-10-16,39.8170051574707
2015-10-19,39.94546890258789
2015-10-20,39.930362701416016
2015-10-21,39.15199279785156
2015-10-22,39.680973052978516
2015-10-23,40.53489303588867
2015-10-26,40.13439178466797
2015-10-27,39.756553649902344
2015-10-28,41.35860061645508
2015-10-29,40.58708953857422
2015-10-30,40.21647644042969
2015-11-02,40.715694427490234
2015-11-03,40.96527862548828
2015-11-04,40.715694427490234
2015-11-05,40.95771789550781
2015-11-06,42.2586784362793
2015-11-09,42.13766098022461
2015-11-10,42.20573425292969
2015-11-11,41.5250129699707
2015-11-12,40.435821533203125
2015-11-13,40.21647644042969
2015-11-16,40.60978317260742
2015-11-17,40.45851516723633
2015-11-18,41.58551025390625
2015-11-19,41.646026611328125
2015-11-20,41.41154098510742
2015-11-23,41.056053161621094
2015-11-24,40.980411529541016
2015-11-25,40.9047737121582
2015-11-27,41.00309371948242
2015-11-30,40.912330627441406
2015-12-01,41.50986862182617
2015-12-02,40.95015335083008
2015-12-03,40.473628997802734
2015-12-04,41.66870880126953
2015-12-07,41.14680862426758
2015-12-08,40.38287353515625
2015-12-09,39.94417190551758
2015-12-10,39.82317352294922
2015-12-11,38.65834426879883
2015-12-14,38.650760650634766
2015-12-15,39.72483444213867
2015-12-16,40.768638610839844
2015-12-17,39.96686935424805
2015-12-18,38.73397445678711
2015-12-21,39.17267608642578
2015-12-22,39.339073181152344
2015-12-23,39.80803298950195
2015-12-24,39.868534088134766
2015-12-28,39.618927001953125
2015-12-29,40.07276916503906
2015-12-30,39.55842590332031
2015-12-31,39.14241027832031
2016-01-04,38.67346954345703
2016-01-05,38.469242095947266
2016-01-06,37.90953063964844
2016-01-07,35.973209381103516
2016-01-08,34.89158630371094
2016-01-11,35.436187744140625
2016-01-12,35.4588737487793
2016-01-13,34.18058776855469
2016-01-14,34.32430648803711
2016-01-15,32.12324905395508
2016-01-19,31.722373962402344
2016-01-20,30.62563133239746
2016-01-21,30.368459701538086
2016-01-22,31.0567626953125
2016-01-25,29.914644241333008
2016-01-26,30.63320541381836
2016-01-27,30.678586959838867
2016-01-28,30.58770751953125
2016-01-29,32.246212005615234
2016-02-01,32.17047119140625
2016-02-02,30.610427856445312
2016-02-03,30.56498146057129
2016-02-04,30.89063262939453
2016-02-05,30.186323165893555
2016-02-08,28.63384437561035
2016-02-09,28.40665626525879
2016-02-10,28.330923080444336
2016-02-11,26.490663528442383
2016-02-12,28.42936897277832
2016-02-16,29.451730728149414
2016-02-17,30.125747680664062
2016-02-18,29.474456787109375
2016-02-19,29.52745819091797
2016-02-22,29.92884063720703
2016-02-23,28.9443416595459
2016-02-24,28.845890045166016
2016-02-25,29.247268676757812
2016-02-26,29.913692474365234
2016-02-29,29.42144203186035
2016-03-01,31.254133224487305
2016-03-02,31.97357940673828
2016-03-03,32.43553924560547
2016-03-04,32.43553924560547
2016-03-07,32.26892852783203
2016-03-08,31.087522506713867
2016-03-09,31.163259506225586
2016-03-10,31.32986068725586
2016-03-11,32.55669403076172
2016-03-14,32.31436538696289
2016-03-15,32.25377655029297
2016-03-16,31.981142044067383
2016-03-17,32.4506721496582
2016-03-18,32.97322082519531
2016-03-21,33.0186653137207
2016-03-22,32.852054595947266
2016-03-23,32.087181091308594
2016-03-24,31.76152801513672
2016-03-28,31.746383666992188
2016-03-29,31.594924926757812
2016-03-30,31.71609115600586
2016-03-31,31.617647171020508
2016-04-01,32.162899017333984
2016-04-04,31.8524112701416
2016-04-05,31.435888290405273
2016-04-06,31.700946807861328
2016-04-07,30.496828079223633
2016-04-08,30.648283004760742
2016-04-11,31.140541076660156
2016-04-12,31.731250762939453
2016-04-13,33.51090621948242
2016-04-14,34.063758850097656
2016-04-15,34.018306732177734
2016-04-18,34.162200927734375
2016-04-19,34.555999755859375
2016-04-20,35.396610260009766
2016-04-21,35.290584564208984
2016-04-22,35.570796966552734
2016-04-25,35.35874557495117
2016-04-26,35.66925048828125
2016-04-27,35.84341812133789
