Date,GNC.L
2015-08-24,225.87428283691406
2015-08-25,231.95242309570312
2015-08-26,235.23782348632812
2015-08-27,240.16600036621094
2015-08-28,244.19068908691406
2015-09-01,242.46580505371094
2015-09-02,243.04080200195312
2015-09-03,246.24412536621094
2015-09-04,239.7553253173828
2015-09-07,239.3446044921875
2015-09-08,240.6588897705078
2015-09-09,244.2727813720703
2015-09-10,243.69789123535156
2015-09-11,244.02639770507812
2015-09-14,245.58706665039062
2015-09-15,240.33030700683594
2015-09-16,242.2194366455078
2015-09-17,246.40830993652344
2015-09-18,245.75123596191406
2015-09-21,248.7081756591797
2015-09-22,242.7122039794922
2015-09-23,244.84776306152344
2015-09-24,239.01612854003906
2015-09-25,236.1413116455078
2015-09-28,229.40621948242188
2015-09-29,225.62789916992188
2015-09-30,224.3958282470703
2015-10-01,229.48829650878906
2015-10-02,241.0694580078125
2015-10-05,247.14759826660156
2015-10-06,247.96896362304688
2015-10-07,243.04080200195312
2015-10-08,243.28720092773438
2015-10-09,243.3693084716797
2015-10-12,242.301513671875
2015-10-13,244.2727813720703
2015-10-14,242.87648010253906
2015-10-15,242.79443359375
2015-10-16,241.97305297851562
2015-10-19,243.12290954589844
2015-10-20,246.3262176513672
2015-10-21,249.77590942382812
2015-10-22,250.43299865722656
2015-10-23,250.9259033203125
2015-10-26,250.5972900390625
2015-10-27,247.22970581054688
2015-10-28,247.55828857421875
2015-10-29,246.07984924316406
2015-10-30,248.0511016845703
2015-11-02,251.00799560546875
2015-11-03,250.5152130126953
2015-11-04,252.48643493652344
2015-11-05,251.99365234375
2015-11-06,253.3078155517578
2015-11-09,262.67132568359375
2015-11-10,272.69195556640625
2015-11-11,274.006103515625
2015-11-12,265.29962158203125
2015-11-13,264.4783020019531
2015-11-16,267.1066589355469
2015-11-17,267.18878173828125
2015-11-18,265.6282043457031
2015-11-19,268.01019287109375
2015-11-20,266.53173828125
2015-11-23,262.9998779296875
2015-11-24,256.7574768066406
2015-11-25,262.26068115234375
2015-11-26,266.9423828125
2015-11-27,265.54608154296875
2015-11-30,277.3736572265625
2015-12-01,271.7884216308594
2015-12-02,274.17034912109375
2015-12-03,269.5189514160156
2015-12-04,270.2582092285156
2015-12-07,271.901123046875
2015-12-08,270.3403015136719
2015-12-09,265.8222961425781
2015-12-10,269.0260314941406
2015-12-11,271.9833068847656
2015-12-14,270.5868225097656
2015-12-15,273.7904968261719
2015-12-16,276.2547912597656
2015-12-17,284.5515441894531
2015-12-18,280.8550109863281
2015-12-21,282.33355712890625
2015-12-22,283.4836120605469
2015-12-23,289.0694885253906
2015-12-24,289.8909606933594
2015-12-29,296.2982482910156
2015-12-30,294.3268127441406
2015-12-31,291.0409240722656
2016-01-04,293.09466552734375
2016-01-05,296.4626159667969
2016-01-06,293.5054016113281
2016-01-07,289.31591796875
2016-01-08,290.8767395019531
2016-01-11,281.51214599609375
