Date,METR.BA
2015-08-24,3.200000047683716
2015-08-25,3.130000114440918
2015-08-26,3.25
2015-08-27,3.4000000953674316
2015-08-28,3.5999999046325684
2015-08-31,3.5999999046325684
2015-09-01,3.690000057220459
2015-09-02,3.549999952316284
2015-09-03,3.690000057220459
2015-09-04,3.690000057220459
2015-09-07,3.700000047683716
2015-09-08,3.700000047683716
2015-09-09,3.5999999046325684
2015-09-10,3.5999999046325684
2015-09-11,3.319999933242798
2015-09-14,3.3399999141693115
2015-09-15,3.3399999141693115
2015-09-16,3.380000114440918
2015-09-17,3.4000000953674316
2015-09-18,3.299999952316284
2015-09-21,3.059999942779541
2015-09-22,3.0
2015-09-23,3.0
2015-09-24,2.950000047683716
2015-09-25,3.1500000953674316
2015-09-28,3.0
2015-09-29,2.950000047683716
2015-09-30,3.0
2015-10-01,3.200000047683716
2015-10-02,3.0999999046325684
2015-10-05,3.200000047683716
2015-10-06,3.25
2015-10-07,3.4000000953674316
2015-10-08,3.200000047683716
2015-10-09,3.4200000762939453
2015-10-13,3.299999952316284
2015-10-14,3.1500000953674316
2015-10-15,3.3499999046325684
2015-10-16,3.3499999046325684
2015-10-19,3.4000000953674316
2015-10-20,3.4000000953674316
2015-10-21,3.4600000381469727
2015-10-22,3.390000104904175
2015-10-23,3.5199999809265137
2015-10-26,3.799999952316284
2015-10-27,3.799999952316284
2015-10-28,4.150000095367432
2015-10-29,4.360000133514404
2015-10-30,4.400000095367432
2015-11-02,4.5
2015-11-03,4.5
2015-11-04,4.5
2015-11-05,4.579999923706055
2015-11-09,5.0
2015-11-10,5.489999771118164
2015-11-11,6.150000095367432
2015-11-12,7.019999980926514
2015-11-13,7.440000057220459
2015-11-16,8.600000381469727
2015-11-17,8.0600004196167
2015-11-18,8.0
2015-11-19,7.78000020980835
2015-11-20,8.699999809265137
2015-11-24,7.650000095367432
2015-11-25,7.309999942779541
2015-11-26,7.5
2015-11-27,7.5
2015-11-30,7.900000095367432
2015-12-01,8.5
2015-12-02,8.229999542236328
2015-12-03,8.15999984741211
2015-12-04,8.300000190734863
2015-12-09,8.180000305175781
2015-12-10,8.0
2015-12-11,7.650000095367432
2015-12-14,7.519999980926514
2015-12-15,7.599999904632568
2015-12-16,7.25
2015-12-17,7.150000095367432
2015-12-18,7.050000190734863
2015-12-21,6.650000095367432
2015-12-22,6.849999904632568
2015-12-23,7.119999885559082
2015-12-28,7.0
2015-12-29,7.25
2015-12-30,7.349999904632568
2016-01-04,7.300000190734863
2016-01-05,7.199999809265137
2016-01-06,7.099999904632568
2016-01-07,6.699999809265137
2016-01-08,6.599999904632568
2016-01-11,6.25
2016-01-12,6.0
2016-01-13,5.699999809265137
2016-01-14,6.199999809265137
2016-01-15,6.050000190734863
2016-01-18,5.699999809265137
2016-01-19,5.699999809265137
2016-01-20,5.5
2016-01-21,5.75
2016-01-22,6.25
2016-01-25,7.099999904632568
2016-01-26,7.5
2016-01-27,7.599999904632568
