Date,SOLARINDS.NS
2015-08-21,662.314453125
2015-08-24,645.9857177734375
2015-08-25,675.3753662109375
2015-08-26,665.4000854492188
2015-08-27,681.6077880859375
2015-08-28,672.836181640625
2015-08-31,660.3178100585938
2015-09-01,644.5231323242188
2015-09-02,643.4662475585938
2015-09-03,653.2466430664062
2015-09-04,673.3165893554688
2015-09-07,682.1072998046875
2015-09-08,678.110595703125
2015-09-09,674.1619262695312
2015-09-10,674.8153076171875
2015-09-11,674.0563354492188
2015-09-14,687.160888671875
2015-09-15,678.427734375
2015-09-16,677.3804931640625
2015-09-18,682.2802124023438
2015-09-21,680.7719116210938
2015-09-22,682.4051513671875
2015-09-23,682.5589599609375
2015-09-24,696.4896850585938
2015-09-28,686.2000732421875
2015-09-29,686.9013061523438
2015-09-30,672.509521484375
2015-10-01,661.4512939453125
2015-10-05,669.2142333984375
2015-10-06,662.3449096679688
2015-10-07,669.26220703125
2015-10-08,667.1484375
2015-10-09,669.809814453125
2015-10-12,657.5316162109375
2015-10-13,658.7324829101562
2015-10-14,655.9463500976562
2015-10-15,647.7703857421875
2015-10-16,653.3042602539062
2015-10-19,650.52783203125
2015-10-20,653.1411743164062
2015-10-21,657.9061889648438
2015-10-23,664.7275390625
2015-10-26,643.0723876953125
2015-10-27,669.4640502929688
2015-10-28,671.8081665039062
2015-10-29,664.0549926757812
2015-10-30,647.8856811523438
2015-11-02,649.490234375
2015-11-03,646.166015625
2015-11-04,647.9434204101562
2015-11-05,639.5752563476562
2015-11-06,637.5577392578125
2015-11-09,641.0449829101562
2015-11-10,634.7159423828125
2015-11-13,634.6484375
2015-11-16,628.7237548828125
2015-11-17,631.9413452148438
2015-11-18,626.6429443359375
2015-11-19,628.752685546875
2015-11-20,635.7947998046875
2015-11-23,633.2900390625
2015-11-24,631.0935668945312
2015-11-26,634.060791015625
2015-11-27,628.752685546875
2015-11-30,632.9913940429688
2015-12-01,631.83544921875
2015-12-02,635.74658203125
2015-12-03,624.3212280273438
2015-12-04,619.3985595703125
2015-12-07,621.5467529296875
2015-12-08,616.6915893554688
2015-12-09,618.3002319335938
2015-12-10,614.8995971679688
