Date,PIIND.NS
2015-08-21,665.2789306640625
2015-08-24,602.9631958007812
2015-08-25,638.0640258789062
2015-08-26,655.3257446289062
2015-08-27,662.3938598632812
2015-08-28,673.0203247070312
2015-08-31,692.6383056640625
2015-09-01,682.925537109375
2015-09-02,685.8104858398438
2015-09-03,673.4050903320312
2015-09-04,647.343994140625
2015-09-07,650.7096557617188
2015-09-08,635.293701171875
2015-09-09,650.276123046875
2015-09-10,644.5431518554688
2015-09-11,640.5928344726562
2015-09-14,630.6203002929688
2015-09-15,612.843505859375
2015-09-16,600.558837890625
2015-09-18,621.7080078125
2015-09-21,617.9019775390625
2015-09-22,616.6975708007812
2015-09-23,616.4568481445312
2015-09-24,608.2669677734375
2015-09-28,614.8671264648438
2015-09-29,608.21875
2015-09-30,613.7589111328125
2015-10-01,611.591064453125
2015-10-05,620.4555053710938
2015-10-06,622.1895751953125
2015-10-07,629.5606079101562
2015-10-08,630.813232421875
2015-10-09,636.44970703125
2015-10-12,654.4193115234375
2015-10-13,654.130126953125
2015-10-14,657.9359741210938
2015-10-15,661.11572265625
2015-10-16,643.868896484375
2015-10-19,645.0731201171875
2015-10-20,662.2238159179688
2015-10-21,651.6731567382812
2015-10-23,648.5418701171875
2015-10-26,656.3461303710938
2015-10-27,653.7449340820312
2015-10-28,640.6409912109375
2015-10-29,626.236572265625
2015-10-30,644.0133056640625
2015-11-02,655.2380981445312
2015-11-03,645.1695556640625
2015-11-04,636.208740234375
2015-11-05,623.5386962890625
2015-11-06,627.0072631835938
2015-11-09,612.1690063476562
2015-11-10,602.6304321289062
2015-11-13,597.861083984375
2015-11-16,610.8204345703125
2015-11-17,618.1084594726562
2015-11-18,619.2186889648438
2015-11-19,621.245849609375
2015-11-20,641.8076782226562
2015-11-23,618.3499755859375
2015-11-24,623.6593017578125
2015-11-26,616.8056030273438
2015-11-27,612.6060180664062
2015-11-30,616.708984375
2015-12-01,620.570068359375
2015-12-02,618.398193359375
2015-12-03,621.43896484375
2015-12-04,607.2000732421875
2015-12-07,605.3661499023438
2015-12-08,606.5244140625
2015-12-09,604.2075805664062
