Date,DRI
2015-08-03,49.559783935546875
2015-08-04,49.613426208496094
2015-08-05,50.2303352355957
2015-08-06,47.474403381347656
2015-08-07,48.12483215332031
2015-08-10,47.68227005004883
2015-08-11,47.58839416503906
2015-08-12,47.420772552490234
2015-08-13,48.24553298950195
2015-08-14,48.52714920043945
2015-08-17,48.6612548828125
2015-08-18,48.017539978027344
2015-08-19,48.4600944519043
2015-08-20,48.017539978027344
2015-08-21,47.05866622924805
2015-08-24,44.77210998535156
2015-08-25,44.80564880371094
2015-08-26,45.70417404174805
2015-08-27,46.16685104370117
2015-08-28,46.30095672607422
2015-08-31,45.60359191894531
2015-09-01,44.973262786865234
2015-09-02,46.2406120300293
2015-09-03,46.40824508666992
2015-09-04,46.11991500854492
2015-09-08,47.2195930480957
2015-09-09,46.2406120300293
2015-09-10,46.71669006347656
2015-09-11,47.09890365600586
2015-09-14,47.072086334228516
2015-09-15,46.96479034423828
2015-09-16,46.488712310791016
2015-09-17,47.12571716308594
2015-09-18,46.57587432861328
2015-09-21,47.11901092529297
2015-09-22,46.7300910949707
2015-09-23,47.68227005004883
2015-09-24,47.916954040527344
2015-09-25,47.44757843017578
2015-09-28,45.67063903808594
2015-09-29,45.52311706542969
2015-09-30,45.95897674560547
2015-10-01,45.87851333618164
2015-10-02,45.9455680847168
2015-10-05,45.91203308105469
2015-10-06,45.55665588378906
2015-10-07,44.90768051147461
2015-10-08,45.130767822265625
2015-10-09,45.07667541503906
2015-10-12,44.78600311279297
2015-10-13,44.90092086791992
2015-10-14,43.10271072387695
2015-10-15,43.12975311279297
2015-10-16,44.035614013671875
2015-10-19,44.414188385009766
2015-10-20,43.08245086669922
2015-10-21,42.45374298095703
2015-10-22,43.32579040527344
2015-10-23,43.2041130065918
2015-10-26,43.74493408203125
2015-10-27,42.73766326904297
2015-10-28,43.83957290649414
2015-10-29,42.203617095947266
2015-10-30,41.838565826416016
2015-11-02,42.35909652709961
2015-11-03,42.28473663330078
2015-11-04,41.52083969116211
2015-11-05,41.76420211791992
2015-11-06,41.716896057128906
2015-11-09,41.480281829833984
2015-11-10,41.35193634033203
2015-11-11,41.979644775390625
2015-11-12,41.6922607421875
2015-11-13,41.09481430053711
2015-11-16,40.81500244140625
2015-11-17,40.78475570678711
2015-11-18,40.83013153076172
2015-11-19,41.15531921386719
2015-11-20,41.6922607421875
2015-11-23,42.61488342285156
2015-11-24,42.599761962890625
2015-11-25,42.99301528930664
2015-11-27,43.14425277709961
2015-11-30,42.47875213623047
2015-12-01,42.89470672607422
2015-12-02,42.57706832885742
2015-12-03,41.74518966674805
2015-12-04,43.431636810302734
2015-12-07,44.558448791503906
2015-12-08,44.755088806152344
2015-12-09,43.93075942993164
2015-12-10,43.673641204833984
2015-12-11,43.68876266479492
