Date,MB.MI
2015-08-24,4.9944167137146
2015-08-25,5.197249889373779
2015-08-26,5.211947917938232
2015-08-27,5.361867904663086
2015-08-28,5.306015491485596
2015-08-31,5.261921405792236
2015-09-01,5.129639148712158
2015-09-02,5.17961311340332
2015-09-03,5.33541202545166
2015-09-04,5.123759746551514
2015-09-07,5.1178789138793945
2015-09-08,5.253102779388428
2015-09-09,5.270740509033203
2015-09-10,5.2795586585998535
2015-09-11,5.214887619018555
2015-09-14,5.164913654327393
2015-09-15,5.235464096069336
2015-09-16,5.270740509033203
2015-09-17,5.311894416809082
2015-09-18,5.191369533538818
2015-09-21,5.264860153198242
2015-09-22,5.067905426025391
2015-09-23,5.009113788604736
2015-09-24,5.014993190765381
2015-09-25,5.1884307861328125
2015-09-28,5.1619744300842285
2015-09-29,5.091423034667969
2015-09-30,5.167853355407715
2015-10-01,5.170793533325195
2015-10-02,5.241343975067139
2015-10-05,5.438298225402832
2015-10-06,5.491211414337158
2015-10-07,5.400084495544434
2015-10-08,5.361867904663086
2015-10-09,5.303076267242432
2015-10-12,5.200189590454102
2015-10-13,5.244283199310303
2015-10-14,5.156095027923584
2015-10-15,5.226645469665527
2015-10-16,5.285438060760498
2015-10-19,5.408902645111084
2015-10-20,5.385385513305664
2015-10-21,5.373626232147217
2015-10-22,5.441237926483154
2015-10-23,5.479452610015869
2015-10-26,5.367748260498047
2015-10-27,5.379505634307861
2015-10-28,5.45887565612793
2015-10-29,5.379505634307861
2015-10-30,5.379505634307861
2015-11-02,5.426540374755859
2015-11-03,5.485332489013672
2015-11-04,5.4147820472717285
2015-11-05,5.376566410064697
2015-11-06,5.464755535125732
2015-11-09,5.367748260498047
2015-11-10,5.385385513305664
2015-11-11,5.455936431884766
2015-11-12,5.376566410064697
2015-11-13,5.370687961578369
2015-11-16,5.376566410064697
2015-11-17,5.473574161529541
2015-11-18,5.403022289276123
2015-11-19,5.4941511154174805
2015-11-20,5.411841869354248
2015-11-23,5.529687404632568
