Date,ROG.SW
2015-08-24,182.74937438964844
2015-08-25,188.72109985351562
2015-08-26,184.90782165527344
2015-08-27,192.10267639160156
2015-08-28,189.36862182617188
2015-08-31,189.9442138671875
2015-09-01,185.1956024169922
2015-09-02,185.05174255371094
2015-09-03,188.43328857421875
2015-09-04,186.70654296875
2015-09-07,187.35406494140625
2015-09-08,187.210205078125
2015-09-09,188.5771942138672
2015-09-10,186.4187469482422
2015-09-11,187.4979705810547
2015-09-14,185.4833984375
2015-09-15,188.14552307128906
2015-09-16,188.43328857421875
2015-09-17,186.20289611816406
2015-09-18,185.12367248535156
2015-09-21,186.05902099609375
2015-09-22,179.29583740234375
2015-09-23,178.79222106933594
2015-09-24,176.2740020751953
2015-09-25,180.95065307617188
2015-09-28,181.8140106201172
2015-09-29,180.8787078857422
2015-09-30,184.90782165527344
2015-10-01,185.12367248535156
2015-10-02,184.18833923339844
2015-10-05,187.42605590820312
2015-10-06,186.9943389892578
2015-10-07,180.2311553955078
2015-10-08,182.6774444580078
2015-10-09,181.5981903076172
2015-10-12,183.10911560058594
2015-10-13,183.9724884033203
2015-10-14,181.3103790283203
2015-10-15,182.60546875
2015-10-16,186.70654296875
2015-10-19,187.42605590820312
2015-10-20,184.9797821044922
2015-10-21,182.2457275390625
2015-10-22,187.56993103027344
2015-10-23,190.16006469726562
2015-10-26,189.9442138671875
2015-10-27,189.22474670410156
2015-10-28,192.75022888183594
2015-10-29,193.0380096435547
2015-10-30,193.0380096435547
2015-11-02,192.10267639160156
2015-11-03,193.18191528320312
2015-11-04,193.39776611328125
2015-11-05,196.13182067871094
2015-11-06,194.26113891601562
2015-11-09,191.8868408203125
2015-11-10,191.38320922851562
2015-11-11,191.8868408203125
2015-11-12,191.95880126953125
2015-11-13,191.81492614746094
2015-11-16,190.44789123535156
2015-11-17,195.91595458984375
2015-11-18,195.98789978027344
2015-11-19,195.91595458984375
2015-11-20,197.1391143798828
2015-11-23,195.48428344726562
2015-11-24,192.03074645996094
2015-11-25,195.12454223632812
2015-11-26,197.1391143798828
2015-11-27,198.2183074951172
2015-11-30,198.2183074951172
2015-12-01,198.86582946777344
2015-12-02,200.95236206054688
2015-12-03,196.13182067871094
2015-12-04,195.98789978027344
2015-12-07,197.42686462402344
2015-12-08,195.4123077392578
2015-12-09,193.18191528320312
2015-12-10,193.68556213378906
2015-12-11,191.8868408203125
2015-12-14,188.93695068359375
2015-12-15,193.0380096435547
2015-12-16,194.11724853515625
2015-12-17,194.33309936523438
2015-12-18,193.46969604492188
2015-12-21,192.89413452148438
2015-12-22,192.24658203125
2015-12-23,196.05984497070312
2015-12-28,197.21104431152344
2015-12-29,200.3767547607422
2015-12-30,198.86582946777344
2016-01-04,196.56350708007812
2016-01-05,198.07440185546875
2016-01-06,195.7001190185547
2016-01-07,194.26113891601562
2016-01-08,189.22474670410156
2016-01-11,187.7857666015625
2016-01-12,190.01617431640625
2016-01-13,191.6709747314453
2016-01-14,188.864990234375
2016-01-15,184.548095703125
2016-01-18,184.47613525390625
2016-01-19,186.92237854003906
2016-01-20,182.2457275390625
2016-01-21,184.69198608398438
