Date,HEIA.AS
2015-08-24,57.113868713378906
2015-08-25,58.7045783996582
2015-08-26,57.8965950012207
2015-08-27,58.96548080444336
2015-08-28,59.08332443237305
2015-08-31,59.335811614990234
2015-09-01,58.07334899902344
2015-09-02,58.40999984741211
2015-09-03,59.42839813232422
2015-09-04,57.52627944946289
2015-09-07,58.2080078125
2015-09-08,57.99759292602539
2015-09-09,59.20114517211914
2015-09-10,58.578330993652344
2015-09-11,57.812435150146484
2015-09-14,57.78718948364258
2015-09-15,58.62882614135742
2015-09-16,60.55618667602539
2015-09-17,62.46672439575195
2015-09-18,61.42308044433594
2015-09-21,62.01222610473633
2015-09-22,60.54777908325195
2015-09-23,61.01908874511719
2015-09-24,58.7045783996582
2015-09-25,60.25318145751953
2015-09-28,60.01752471923828
2015-09-29,58.510990142822266
2015-09-30,60.800270080566406
2015-10-01,60.48885726928711
2015-10-02,61.221092224121094
2015-10-05,63.3336181640625
2015-10-06,62.89596176147461
2015-10-07,62.214229583740234
2015-10-08,61.30524826049805
2015-10-09,61.65032196044922
2015-10-12,61.978572845458984
2015-10-13,63.367286682128906
2015-10-14,62.92120361328125
2015-10-15,64.86540222167969
2015-10-16,65.06739044189453
2015-10-19,66.12786102294922
2015-10-20,66.43086242675781
2015-10-21,65.85852813720703
2015-10-22,66.66651153564453
2015-10-23,67.33140563964844
2015-10-26,67.4660873413086
2015-10-27,67.4660873413086
2015-10-28,70.15091705322266
2015-10-29,69.7553482055664
2015-10-30,69.95735168457031
2015-11-02,69.14096069335938
2015-11-03,69.25878143310547
2015-11-04,69.4439468383789
2015-11-05,70.69796752929688
2015-11-06,70.26032257080078
2015-11-09,69.15778350830078
2015-11-10,70.06675720214844
2015-11-11,71.29553985595703
2015-11-12,71.00098419189453
2015-11-13,69.18304443359375
2015-11-16,69.63750457763672
2015-11-17,71.54804229736328
2015-11-18,71.33763885498047
2015-11-19,71.73321533203125
2015-11-20,71.65745544433594
2015-11-23,71.64904022216797
2015-11-24,69.8731689453125
2015-11-25,71.44705200195312
2015-11-26,71.40496826171875
2015-11-27,71.51437377929688
2015-11-30,70.8326416015625
2015-12-01,70.89155578613281
2015-12-02,71.30397033691406
2015-12-03,68.21513366699219
2015-12-04,67.45765686035156
2015-12-07,68.91370391845703
2015-12-08,67.9878921508789
2015-12-09,67.84481048583984
2015-12-10,67.72698974609375
2015-12-11,66.5318603515625
2015-12-14,65.20205688476562
2015-12-15,66.46452331542969
2015-12-16,66.4813461303711
2015-12-17,67.0115966796875
2015-12-18,65.89220428466797
2015-12-21,64.89906311035156
2015-12-22,65.2188720703125
2015-12-23,66.3719482421875
2015-12-24,66.80958557128906
2015-12-28,65.99320983886719
2015-12-29,67.60916137695312
2015-12-30,67.1462631225586
2016-01-04,65.47137451171875
2016-01-05,66.07736206054688
2016-01-06,65.71546936035156
2016-01-07,64.15000915527344
2016-01-08,63.26627731323242
2016-01-11,63.9480094909668
2016-01-12,64.7896499633789
2016-01-13,64.93272399902344
2016-01-14,63.232608795166016
2016-01-15,62.92120361328125
2016-01-18,63.081119537353516
2016-01-19,63.82176208496094
2016-01-20,62.43305206298828
2016-01-21,63.90592956542969
2016-01-22,64.68864440917969
2016-01-25,65.26939392089844
2016-01-26,65.05899047851562
2016-01-27,65.98477935791016
2016-01-28,65.35354614257812
2016-01-29,67.34823608398438
2016-02-01,67.71014404296875
2016-02-02,67.29773712158203
2016-02-03,67.31459045410156
2016-02-04,64.80647277832031
2016-02-05,63.51034164428711
2016-02-08,62.954872131347656
2016-02-09,63.27470397949219
2016-02-10,61.330501556396484
2016-02-11,59.82395553588867
2016-02-12,60.1437873840332
2016-02-15,61.827064514160156
2016-02-16,61.70924758911133
2016-02-17,62.441471099853516
2016-02-18,62.15530014038086
2016-02-19,62.104801177978516
2016-02-22,62.83704376220703
2016-02-23,62.702388763427734
2016-02-24,61.75132751464844
2016-02-25,62.61820983886719
2016-02-26,62.584537506103516
2016-02-29,62.416229248046875
2016-03-01,64.4361572265625
2016-03-02,63.8386116027832
2016-03-03,63.04747009277344
2016-03-04,63.86384963989258
2016-03-07,63.73760223388672
2016-03-08,63.86384963989258
2016-03-09,65.04215240478516
2016-03-10,64.29307556152344
2016-03-11,65.67337799072266
2016-03-14,65.23573303222656
2016-03-15,65.32832336425781
2016-03-16,64.87381744384766
2016-03-17,64.85697937011719
2016-03-18,66.51502990722656
2016-03-21,66.12786102294922
2016-03-22,65.72386932373047
2016-03-23,67.11259460449219
2016-03-24,66.35511016845703
2016-03-29,66.76752471923828
2016-03-30,67.97946166992188
2016-03-31,67.0368423461914
2016-04-01,66.32986450195312
2016-04-04,66.683349609375
2016-04-05,66.48977661132812
2016-04-06,66.57393646240234
2016-04-07,66.35511016845703
2016-04-08,66.50659942626953
2016-04-11,66.00161743164062
2016-04-12,66.3719482421875
2016-04-13,67.31459045410156
2016-04-14,67.96266174316406
2016-04-15,68.54338836669922
2016-04-18,68.80428314208984
2016-04-19,69.99099731445312
2016-04-20,70.0583267211914
2016-04-21,69.17460632324219
2016-04-22,68.88003540039062
2016-04-25,69.03314971923828
2016-04-26,68.91404724121094
2016-04-27,69.53498840332031
2016-04-28,69.8752212524414
2016-04-29,69.62004852294922
2016-05-02,69.7901611328125
2016-05-03,69.44993591308594
2016-05-04,68.89704132080078
2016-05-05,69.41590881347656
2016-05-06,69.6795883178711
2016-05-09,70.48764038085938
2016-05-10,70.76831817626953
2016-05-11,70.3685531616211
2016-05-12,70.23245239257812
2016-05-13,70.07084655761719
2016-05-16,70.25797271728516
