Date,GS
2015-08-03,167.38711547851562
2015-08-04,167.77967834472656
2015-08-05,168.2130889892578
2015-08-06,167.7142333984375
2015-08-07,166.36492919921875
2015-08-10,168.43382263183594
2015-08-11,164.94200134277344
2015-08-12,164.4758758544922
2015-08-13,164.15701293945312
2015-08-14,165.2037353515625
2015-08-17,165.6534881591797
2015-08-18,164.51678466796875
2015-08-19,164.32870483398438
2015-08-20,160.89414978027344
2015-08-21,153.52613830566406
2015-08-24,146.7550811767578
2015-08-25,145.74099731445312
2015-08-26,150.7947998046875
2015-08-27,154.728271484375
2015-08-28,154.06353759765625
2015-08-31,154.76104736328125
2015-09-01,149.44369506835938
2015-09-02,151.40489196777344
2015-09-03,151.85626220703125
2015-09-04,148.01585388183594
2015-09-08,152.52906799316406
2015-09-09,152.36495971679688
2015-09-10,152.5537109375
2015-09-11,152.02850341796875
2015-09-14,150.93716430664062
2015-09-15,153.81739807128906
2015-09-16,154.79385375976562
2015-09-17,152.996826171875
2015-09-18,148.4754638671875
2015-09-21,150.45301818847656
2015-09-22,147.47434997558594
2015-09-23,147.21990966796875
2015-09-24,145.16854858398438
2015-09-25,147.56460571289062
2015-09-28,141.97642517089844
2015-09-29,141.0245819091797
2015-09-30,142.58367919921875
2015-10-01,144.43817138671875
2015-10-02,145.25057983398438
2015-10-05,148.27847290039062
2015-10-06,147.9666290283203
2015-10-07,149.53399658203125
2015-10-08,148.5821533203125
2015-10-09,147.03945922851562
2015-10-12,147.89280700683594
2015-10-13,148.50001525878906
2015-10-14,147.302001953125
2015-10-15,151.7741241455078
2015-10-16,151.95465087890625
2015-10-19,152.41427612304688
2015-10-20,152.2254638671875
2015-10-21,147.45791625976562
2015-10-22,150.6253204345703
2015-10-23,152.2172393798828
2015-10-26,153.45632934570312
2015-10-27,152.88192749023438
2015-10-28,156.99301147460938
2015-10-29,155.81959533691406
2015-10-30,153.85845947265625
2015-11-02,155.64724731445312
2015-11-03,156.47601318359375
2015-11-04,157.2638702392578
2015-11-05,157.56741333007812
2015-11-06,163.43453979492188
2015-11-09,161.4569854736328
