Date,INDUSINDBK.NS
2015-08-03,917.0391845703125
2015-08-04,896.7463989257812
2015-08-05,897.0759887695312
2015-08-06,896.087158203125
2015-08-07,895.4725341796875
2015-08-10,893.0613403320312
2015-08-11,899.0187377929688
2015-08-12,864.7393188476562
2015-08-13,874.9996337890625
2015-08-14,906.8675537109375
2015-08-17,900.0115356445312
2015-08-18,915.5674438476562
2015-08-19,905.40185546875
2015-08-20,881.4298095703125
2015-08-21,856.0394897460938
2015-08-24,818.5447998046875
2015-08-25,830.3180541992188
2015-08-26,807.1026000976562
2015-08-27,811.8308715820312
2015-08-28,801.5707397460938
2015-08-31,811.4053955078125
2015-09-01,786.298583984375
2015-09-02,779.9628295898438
2015-09-03,803.2255249023438
2015-09-04,795.0931396484375
2015-09-07,775.6129150390625
2015-09-08,794.66748046875
2015-09-09,811.3107299804688
2015-09-10,819.7741088867188
2015-09-11,821.4763793945312
2015-09-14,828.615966796875
2015-09-15,830.8854370117188
2015-09-16,850.2238159179688
2015-09-18,868.7109985351562
2015-09-21,863.8410034179688
2015-09-22,839.7744750976562
2015-09-23,856.3231201171875
2015-09-24,876.5125732421875
2015-09-28,870.8388061523438
2015-09-29,890.177001953125
2015-09-30,891.21728515625
2015-10-01,905.5436401367188
2015-10-05,907.5294799804688
2015-10-06,900.437255859375
2015-10-07,896.7964477539062
2015-10-08,893.4395751953125
2015-10-09,888.9476928710938
2015-10-12,893.2504272460938
2015-10-13,894.5269775390625
2015-10-14,898.26220703125
2015-10-15,905.7327270507812
2015-10-16,912.0213012695312
2015-10-19,909.751708984375
2015-10-20,904.692626953125
2015-10-21,905.40185546875
2015-10-23,907.6241455078125
2015-10-26,905.8746337890625
2015-10-27,902.139404296875
2015-10-28,873.9592895507812
2015-10-29,864.78662109375
2015-10-30,862.3280029296875
2015-11-02,863.9828491210938
2015-11-03,862.2806396484375
2015-11-04,864.0302124023438
2015-11-05,858.119873046875
2015-11-06,870.885986328125
2015-11-09,873.2028198242188
2015-11-10,845.1646118164062
2015-11-13,843.7461547851562
2015-11-16,862.80078125
2015-11-17,856.985107421875
2015-11-18,852.0678100585938
2015-11-19,864.4556884765625
2015-11-20,871.7371215820312
2015-11-23,869.7039184570312
2015-11-24,869.5620727539062
2015-11-26,865.7794799804688
2015-11-27,873.155517578125
2015-11-30,884.40869140625
2015-12-01,891.4063720703125
2015-12-02,891.359130859375
2015-12-03,895.2362060546875
2015-12-04,891.6900634765625
2015-12-07,900.9573364257812
2015-12-08,892.8721313476562
2015-12-09,877.4108276367188
2015-12-10,879.5385131835938
2015-12-11,866.346923828125
2015-12-14,864.6448364257812
2015-12-15,868.2382202148438
2015-12-16,882.0444946289062
2015-12-17,897.4583740234375
2015-12-18,884.2195434570312
2015-12-21,898.9714965820312
2015-12-22,883.8884887695312
2015-12-23,888.5695190429688
2015-12-24,894.0068969726562
2015-12-28,905.5436401367188
2015-12-29,906.6312255859375
2015-12-30,915.8984375
2015-12-31,916.2766723632812
2016-01-01,911.453857421875
2016-01-04,883.4156494140625
2016-01-05,884.40869140625
2016-01-06,892.6356811523438
2016-01-07,875.1885986328125
2016-01-08,895.567138671875
2016-01-11,885.8271484375
2016-01-12,863.6045532226562
2016-01-13,885.4961547851562
2016-01-14,867.1507568359375
2016-01-15,871.4534912109375
2016-01-18,850.2238159179688
2016-01-19,847.7178344726562
2016-01-20,826.1572265625
2016-01-21,825.9208374023438
2016-01-22,849.1836547851562
2016-01-25,857.8834838867188
2016-01-27,858.8764038085938
2016-01-28,857.836181640625
2016-01-29,878.3092041015625
2016-02-01,876.70166015625
2016-02-02,858.8764038085938
2016-02-03,856.417724609375
2016-02-04,863.5572509765625
2016-02-05,862.2806396484375
2016-02-08,834.9517211914062
2016-02-09,821.1454467773438
2016-02-10,789.702880859375
2016-02-11,767.0548095703125
2016-02-12,767.8114013671875
2016-02-15,778.9226684570312
2016-02-16,789.4192504882812
2016-02-17,786.3458862304688
2016-02-18,801.6180419921875
2016-02-19,795.7550048828125
2016-02-22,798.6864624023438
2016-02-23,794.005615234375
2016-02-24,777.2205200195312
2016-02-25,763.8397827148438
2016-02-26,771.97216796875
2016-02-29,784.8801879882812
2016-03-01,814.005859375
2016-03-02,834.6207275390625
2016-03-03,847.055908203125
2016-03-04,866.110595703125
2016-03-08,870.9805908203125
2016-03-09,883.6521606445312
2016-03-10,876.8435668945312
2016-03-11,876.3234252929688
2016-03-14,871.0277709960938
2016-03-15,868.4747314453125
2016-03-16,865.8741455078125
2016-03-17,862.9425659179688
2016-03-18,878.4983520507812
2016-03-21,881.5243530273438
2016-03-22,877.552734375
2016-03-23,877.6001586914062
2016-03-28,865.0703125
2016-03-29,877.6001586914062
2016-03-30,895.2362060546875
2016-03-31,914.9999389648438
2016-04-01,909.0425415039062
2016-04-04,909.0425415039062
2016-04-05,899.5861206054688
2016-04-06,903.4633178710938
2016-04-07,888.5221557617188
2016-04-08,886.0634765625
2016-04-11,908.569580078125
2016-04-12,916.2766723632812
2016-04-13,932.7780151367188
2016-04-18,934.5747680664062
2016-04-20,930.3666381835938
2016-04-21,919.2554321289062
2016-04-22,928.1444091796875
2016-04-25,928.9481811523438
2016-04-26,965.87548828125
2016-04-27,983.4644165039062
2016-04-28,978.736083984375
2016-04-29,991.8330688476562
2016-05-02,988.2398681640625
2016-05-03,981.3839721679688
2016-05-04,985.3556518554688
2016-05-05,981.1476440429688
2016-05-06,985.544677734375
2016-05-09,997.554443359375
2016-05-10,997.3651123046875
2016-05-11,996.4668579101562
2016-05-12,1008.1455078125
