Date,DNLM.L
2015-08-24,823.8270874023438
2015-08-25,895.0958251953125
2015-08-26,884.6297607421875
2015-08-27,892.1055297851562
2015-08-28,928.4873046875
2015-09-01,892.6038208007812
2015-09-02,916.5263671875
2015-09-03,935.4647216796875
2015-09-04,900.07958984375
2015-09-07,907.0570068359375
2015-09-08,890.6102294921875
2015-09-09,901.57470703125
2015-09-10,898.0860595703125
2015-09-11,884.6297607421875
2015-09-14,877.1538696289062
2015-09-15,886.1248779296875
2015-09-16,892.1055297851562
2015-09-17,901.076416015625
2015-09-18,902.5716552734375
2015-09-21,885.6265258789062
2015-09-22,886.1248779296875
2015-09-23,889.1151123046875
2015-09-24,877.6524047851562
2015-09-25,890.6102294921875
2015-09-28,885.1280517578125
2015-09-29,885.6265258789062
2015-09-30,897.0892944335938
2015-10-01,900.5779418945312
2015-10-02,902.5716552734375
2015-10-05,913.5359497070312
2015-10-06,909.0506591796875
2015-10-07,892.1055297851562
2015-10-08,912.0407104492188
2015-10-09,944.9340209960938
2015-10-12,943.9371337890625
2015-10-13,948.921142578125
2015-10-14,939.451904296875
2015-10-15,924.6571655273438
2015-10-16,917.1803588867188
2015-10-19,924.1588745117188
2015-10-20,942.1036376953125
2015-10-21,945.094482421875
2015-10-22,942.1036376953125
2015-10-23,939.6113891601562
2015-10-26,947.0883178710938
2015-10-27,947.0883178710938
2015-10-28,945.094482421875
2015-10-29,944.5960083007812
2015-10-30,944.0975341796875
2015-11-02,944.0975341796875
2015-11-03,950.079345703125
2015-11-04,952.0729370117188
2015-11-05,954.5653686523438
2015-11-06,959.5501708984375
2015-11-09,956.5592651367188
2015-11-10,941.6051025390625
2015-11-11,951.0759887695312
2015-11-12,937.118896484375
2015-11-13,936.1220092773438
2015-11-16,939.1128540039062
2015-11-17,959.0516967773438
2015-11-18,957.0577392578125
2015-11-19,955.0638427734375
2015-11-20,962.540771484375
2015-11-23,974.0055541992188
2015-11-24,952.0729370117188
2015-11-25,955.0638427734375
2015-11-26,952.5714721679688
2015-11-27,960.0484619140625
2015-11-30,976.498046875
2015-12-01,994.941162109375
2015-12-02,1000.9227905273438
2015-12-03,998.9290771484375
2015-12-04,983.4765625
2015-12-07,975.0025634765625
2015-12-08,976.498046875
2015-12-09,969.0208740234375
2015-12-10,962.0422973632812
2015-12-11,952.0729370117188
2015-12-14,940.1096801757812
2015-12-15,943.1005249023438
2015-12-16,941.6051025390625
2015-12-17,946.5899047851562
2015-12-18,938.6143798828125
2015-12-21,937.118896484375
2015-12-22,933.629638671875
2015-12-23,943.1005249023438
2015-12-24,949.082275390625
2015-12-29,954.5653686523438
2015-12-30,955.0638427734375
2015-12-31,940.1096801757812
2016-01-04,909.7033081054688
2016-01-05,926.1527099609375
2016-01-06,909.204833984375
2016-01-07,893.2538452148438
2016-01-08,899.73388671875
2016-01-11,879.7952880859375
2016-01-12,902.226318359375
2016-01-13,876.3059692382812
2016-01-14,862.3488159179688
2016-01-15,857.3642578125
2016-01-18,857.8627319335938
2016-01-19,854.8718872070312
2016-01-20,817.4868774414062
2016-01-21,831.9423217773438
2016-01-22,841.4132690429688
2016-01-25,853.875
2016-01-26,848.89013671875
2016-01-27,862.8473510742188
2016-01-28,886.7737426757812
2016-01-29,873.3151245117188
2016-02-01,889.7645874023438
2016-02-02,882.7860717773438
2016-02-03,854.8718872070312
2016-02-04,854.3733520507812
2016-02-05,831.9423217773438
2016-02-08,817.9851684570312
2016-02-09,822.4713745117188
2016-02-10,931.6358642578125
2016-02-11,917.1803588867188
2016-02-12,907.7094116210938
2016-02-15,917.1803588867188
2016-02-16,937.6176147460938
2016-02-17,942.1036376953125
2016-02-18,964.53466796875
2016-02-19,969.5194091796875
2016-02-22,967.027099609375
2016-02-23,970.516357421875
2016-02-24,975.9994506835938
2016-02-25,995.4396362304688
2016-02-26,989.4580688476562
2016-02-29,991.9503784179688
2016-03-01,989.4580688476562
2016-03-02,1014.8800048828125
2016-03-03,974.5614013671875
2016-03-04,994.002685546875
2016-03-07,950.1353149414062
2016-03-08,920.2252807617188
2016-03-09,915.7388916015625
2016-03-10,909.2584838867188
2016-03-11,927.2042236328125
2016-03-14,931.1921997070312
2016-03-15,943.6547241210938
2016-03-16,971.570556640625
2016-03-17,964.0930786132812
2016-03-18,934.6817626953125
2016-03-21,927.2042236328125
2016-03-22,923.7147827148438
2016-03-23,927.2042236328125
2016-03-24,918.2312622070312
2016-03-29,923.7147827148438
2016-03-30,896.7958374023438
2016-03-31,910.7539672851562
2016-04-01,905.2703857421875
2016-04-04,897.2943725585938
2016-04-05,899.2884521484375
2016-04-06,907.264404296875
2016-04-07,945.648681640625
2016-04-08,956.61572265625
2016-04-11,954.1231689453125
2016-04-12,950.6337280273438
2016-04-13,907.264404296875
2016-04-14,910.25537109375
2016-04-15,912.2493286132812
2016-04-18,909.7568969726562
2016-04-19,912.7479248046875
2016-04-20,917.234375
2016-04-21,899.2884521484375
2016-04-22,892.8079833984375
2016-04-25,895.7989501953125
2016-04-26,900.2854614257812
2016-04-27,908.261474609375
2016-04-28,901.781005859375
2016-04-29,880.8440551757812
2016-05-03,882.339599609375
2016-05-04,888.321533203125
2016-05-05,894.8019409179688
2016-05-06,884.8320922851562
2016-05-09,891.3123779296875
2016-05-10,897.2943725585938
2016-05-11,885.8290405273438
2016-05-12,897.2943725585938
2016-05-13,915.7388916015625
2016-05-16,911.2525024414062
2016-05-17,915.7388916015625
2016-05-18,929.1981811523438
2016-05-19,936.6756591796875
2016-05-20,948.141357421875
2016-05-23,954.1231689453125
