Date,ESCORTS.NS
2015-08-21,158.94772338867188
2015-08-24,136.3430938720703
2015-08-25,138.1552734375
2015-08-26,137.91683959960938
2015-08-27,163.52586364746094
2015-08-28,159.4722900390625
2015-08-31,166.67335510253906
2015-09-01,157.13552856445312
2015-09-02,162.76283264160156
2015-09-03,163.2430877685547
2015-09-04,157.0476837158203
2015-09-07,150.5640411376953
2015-09-08,151.28445434570312
2015-09-09,152.0528564453125
2015-09-10,150.5640411376953
2015-09-11,150.08377075195312
2015-09-14,149.36337280273438
2015-09-15,153.97393798828125
2015-09-16,152.3890380859375
2015-09-18,150.61207580566406
2015-09-21,154.7904052734375
2015-09-22,150.5640411376953
2015-09-23,149.55548095703125
2015-09-24,150.7561492919922
2015-09-28,146.96202087402344
2015-09-29,146.6738739013672
2015-09-30,146.7218780517578
2015-10-01,148.2587432861328
2015-10-05,148.69097900390625
2015-10-06,155.7029266357422
2015-10-07,153.78184509277344
2015-10-08,156.85556030273438
2015-10-09,157.52792358398438
2015-10-12,157.4799041748047
2015-10-13,156.42330932617188
2015-10-14,158.63253784179688
2015-10-15,160.2174072265625
2015-10-16,163.33917236328125
2015-10-19,171.8399200439453
2015-10-20,170.87937927246094
2015-10-21,179.13998413085938
2015-10-23,173.66494750976562
2015-10-26,173.08860778808594
2015-10-27,171.8399200439453
2015-10-28,173.18467712402344
2015-10-29,170.78334045410156
2015-10-30,169.24647521972656
2015-11-02,166.07669067382812
2015-11-03,159.4010009765625
2015-11-04,155.4147491455078
2015-11-05,152.3410186767578
2015-11-06,148.16268920898438
2015-11-09,152.14889526367188
2015-11-10,150.46798706054688
2015-11-13,156.3272705078125
2015-11-16,154.21408081054688
2015-11-17,155.4147491455078
2015-11-18,152.77328491210938
2015-11-19,155.1265869140625
2015-11-20,155.89503479003906
2015-11-23,161.03387451171875
2015-11-24,161.85032653808594
2015-11-26,160.7457275390625
2015-11-27,158.24832153320312
2015-11-30,167.80564880371094
2015-12-01,164.87599182128906
2015-12-02,160.6976776123047
2015-12-03,161.80230712890625
2015-12-04,157.5759735107422
2015-12-07,157.960205078125
2015-12-08,153.44564819335938
2015-12-09,147.34622192382812
2015-12-10,150.5640411376953
2015-12-11,147.9705810546875
2015-12-14,146.76991271972656
2015-12-15,150.27587890625
2015-12-16,148.64295959472656
2015-12-17,154.02197265625
2015-12-18,153.2054901123047
2015-12-21,155.07855224609375
2015-12-22,154.40615844726562
2015-12-23,160.07334899902344
2015-12-24,163.1470489501953
2015-12-28,161.22601318359375
2015-12-29,164.92404174804688
2015-12-30,164.39576721191406
2015-12-31,165.11614990234375
2016-01-01,163.48326110839844
2016-01-04,158.8726806640625
2016-01-05,163.0029754638672
2016-01-06,160.45758056640625
2016-01-07,152.77328491210938
2016-01-08,156.42330932617188
2016-01-11,152.43707275390625
2016-01-12,150.41995239257812
2016-01-13,142.97579956054688
2016-01-14,139.37380981445312
2016-01-15,129.8164520263672
2016-01-18,123.04468536376953
2016-01-19,128.08749389648438
2016-01-20,122.32428741455078
2016-01-21,123.66902160644531
2016-01-22,126.9348373413086
2016-01-25,127.94340515136719
2016-01-27,128.5197296142578
2016-01-28,126.11839294433594
2016-01-29,129.8164520263672
2016-02-01,131.1612091064453
2016-02-02,126.9348373413086
2016-02-03,122.22821807861328
2016-02-04,118.097900390625
2016-02-05,126.59866333007812
2016-02-08,125.20587921142578
2016-02-09,126.11839294433594
2016-02-10,122.6124496459961
2016-02-11,116.03276062011719
2016-02-12,112.57483673095703
2016-02-15,119.68279266357422
2016-02-16,115.12024688720703
2016-02-17,113.48734283447266
2016-02-18,114.15971374511719
2016-02-19,114.97616577148438
2016-02-22,116.80118560791016
2016-02-23,120.45124053955078
2016-02-24,120.64334106445312
2016-02-25,120.40320587158203
2016-02-26,122.51639556884766
2016-02-29,120.73939514160156
2016-03-01,126.26246643066406
2016-03-02,126.98287200927734
2016-03-03,129.8164520263672
2016-03-04,132.84217834472656
2016-03-08,131.54544067382812
2016-03-09,132.3618621826172
2016-03-10,129.96055603027344
2016-03-11,126.74275207519531
2016-03-14,125.73414611816406
2016-03-15,123.9091567993164
2016-03-16,124.10128021240234
2016-03-17,127.1269760131836
2016-03-18,126.26246643066406
2016-03-21,129.57630920410156
2016-03-22,130.63291931152344
2016-03-23,134.282958984375
2016-03-28,130.8250274658203
2016-03-29,132.21778869628906
2016-03-30,134.4270477294922
2016-03-31,133.75466918945312
2016-04-01,133.89874267578125
2016-04-04,139.8060302734375
2016-04-05,136.68429565429688
2016-04-06,144.36859130859375
2016-04-07,142.97579956054688
2016-04-08,147.1060791015625
2016-04-11,147.1060791015625
2016-04-12,162.57073974609375
2016-04-13,161.9464111328125
2016-04-18,164.39576721191406
2016-04-20,166.02870178222656
2016-04-21,162.1385040283203
2016-04-22,161.4180908203125
2016-04-25,160.07334899902344
2016-04-26,161.03387451171875
2016-04-27,165.26022338867188
2016-04-28,163.6753692626953
2016-04-29,162.57073974609375
2016-05-02,166.70106506347656
2016-05-03,164.63587951660156
2016-05-04,158.68057250976562
2016-05-05,157.8641357421875
2016-05-06,159.83319091796875
2016-05-09,164.39576721191406
2016-05-10,166.70106506347656
2016-05-11,171.6477813720703
2016-05-12,170.01490783691406
2016-05-13,167.08526611328125
2016-05-16,166.98922729492188
2016-05-17,171.8399200439453
2016-05-18,170.01490783691406
2016-05-19,165.78854370117188
2016-05-20,164.8280029296875
2016-05-23,160.45758056640625
2016-05-24,164.49179077148438
2016-05-25,166.84510803222656
2016-05-26,166.60499572753906
2016-05-27,166.268798828125
