Date,COROMANDEL.NS
2015-08-21,189.10360717773438
2015-08-24,175.7032470703125
2015-08-25,165.87338256835938
2015-08-26,164.02203369140625
2015-08-27,165.520751953125
2015-08-28,166.00563049316406
2015-08-31,166.00563049316406
2015-09-01,162.5233154296875
2015-09-02,164.3746795654297
2015-09-03,162.6996307373047
2015-09-04,154.72113037109375
2015-09-07,152.7816162109375
2015-09-08,152.69342041015625
2015-09-09,152.03224182128906
2015-09-10,148.99069213867188
2015-09-11,148.06504821777344
2015-09-14,150.0486602783203
2015-09-15,150.66575622558594
2015-09-16,150.0486602783203
2015-09-18,144.75901794433594
2015-09-21,144.89126586914062
2015-09-22,143.34844970703125
2015-09-23,142.20240783691406
2015-09-24,142.02606201171875
2015-09-28,140.5714111328125
2015-09-29,135.6344451904297
2015-09-30,136.4720001220703
2015-10-01,140.43919372558594
2015-10-05,138.85227966308594
2015-10-06,141.27671813964844
2015-10-07,141.7174835205078
2015-10-08,143.4366455078125
2015-10-09,146.12551879882812
2015-10-12,163.22857666015625
2015-10-13,169.84060668945312
2015-10-14,171.86830139160156
2015-10-15,167.76882934570312
2015-10-16,167.5043487548828
2015-10-19,167.98924255371094
2015-10-20,171.51564025878906
2015-10-21,172.00051879882812
2015-10-23,169.0030975341797
2015-10-26,171.33929443359375
2015-10-27,169.39981079101562
2015-10-28,168.82675170898438
2015-10-29,165.21217346191406
2015-10-30,165.0799560546875
2015-11-02,166.0937957763672
2015-11-03,164.94772338867188
2015-11-04,162.17068481445312
2015-11-05,158.5561065673828
2015-11-06,159.21731567382812
2015-11-09,162.17068481445312
2015-11-10,168.73858642578125
2015-11-13,166.8872528076172
2015-11-16,167.76882934570312
2015-11-17,165.16810607910156
2015-11-18,163.84573364257812
2015-11-19,166.00563049316406
2015-11-20,164.15426635742188
2015-11-23,164.33058166503906
2015-11-24,167.6365966796875
2015-11-26,169.8846893310547
2015-11-27,168.9149169921875
2015-11-30,171.7801513671875
2015-12-01,171.6038055419922
2015-12-02,172.83804321289062
2015-12-03,172.52947998046875
2015-12-04,172.17681884765625
2015-12-07,170.14915466308594
2015-12-08,167.15170288085938
2015-12-09,161.64170837402344
2015-12-10,162.39105224609375
2015-12-11,161.55355834960938
2015-12-14,164.19837951660156
2015-12-15,161.72984313964844
2015-12-16,162.25881958007812
2015-12-17,164.63912963867188
2015-12-18,165.4766845703125
2015-12-21,168.3418731689453
2015-12-22,168.87081909179688
2015-12-23,167.72474670410156
2015-12-24,166.8872528076172
2015-12-28,166.66680908203125
2015-12-29,167.23988342285156
2015-12-30,166.57867431640625
2015-12-31,165.9615478515625
2016-01-01,167.4602508544922
2016-01-04,166.5345916748047
2016-01-05,163.84573364257812
2016-01-06,163.757568359375
2016-01-07,156.66065979003906
2016-01-08,159.9666290283203
2016-01-11,157.76263427734375
2016-01-12,155.1178741455078
2016-01-13,151.63551330566406
2016-01-14,151.2388153076172
2016-01-15,147.7564697265625
2016-01-18,144.49453735351562
2016-01-19,145.46429443359375
2016-01-20,146.8748779296875
2016-01-21,145.90509033203125
2016-01-22,146.30186462402344
2016-01-25,145.15576171875
2016-01-27,151.01841735839844
2016-01-28,146.96302795410156
2016-01-29,149.12295532226562
2016-02-01,148.32952880859375
2016-02-02,147.5801544189453
2016-02-03,148.7703094482422
2016-02-04,147.49200439453125
2016-02-05,148.32952880859375
2016-02-08,149.56375122070312
2016-02-09,151.94407653808594
2016-02-10,145.3320770263672
2016-02-11,140.0865478515625
2016-02-12,143.70108032226562
2016-02-15,148.99069213867188
2016-02-16,149.03480529785156
2016-02-17,152.07635498046875
2016-02-18,147.88870239257812
2016-02-19,147.31565856933594
2016-02-22,145.9932403564453
2016-02-23,147.71240234375
2016-02-24,148.90257263183594
2016-02-25,150.09274291992188
2016-02-26,149.9163818359375
2016-02-29,150.57757568359375
2016-03-01,151.59141540527344
2016-03-02,148.63807678222656
2016-03-03,149.7400665283203
2016-03-04,152.34078979492188
2016-03-08,153.57505798339844
2016-03-09,151.7677764892578
2016-03-10,152.3848876953125
2016-03-11,151.45921325683594
2016-03-14,151.7677764892578
