Date,HAVELLS.NS
2015-08-03,259.3454284667969
2015-08-04,255.08778381347656
2015-08-05,259.8133544921875
2015-08-06,259.2987060546875
2015-08-07,259.7198181152344
2015-08-10,259.9537353515625
2015-08-11,258.03546142578125
2015-08-12,253.0758819580078
2015-08-13,254.19882202148438
2015-08-14,253.4034423828125
2015-08-17,249.75396728515625
2015-08-18,257.24005126953125
2015-08-19,251.95301818847656
2015-08-20,249.05213928222656
2015-08-21,248.91177368164062
2015-08-24,231.4599151611328
2015-08-25,240.06883239746094
2015-08-26,242.4082489013672
2015-08-27,246.47879028320312
2015-08-28,247.83566284179688
2015-08-31,243.4376220703125
2015-09-01,241.84681701660156
2015-09-02,240.6302947998047
2015-09-03,241.2385711669922
2015-09-04,240.86427307128906
2015-09-07,244.2329864501953
2015-09-08,242.50186157226562
2015-09-09,250.12828063964844
2015-09-10,243.25047302246094
2015-09-11,243.110107421875
2015-09-14,244.56056213378906
2015-09-15,244.27980041503906
2015-09-16,237.21481323242188
2015-09-18,235.20294189453125
2015-09-21,237.44876098632812
2015-09-22,234.31393432617188
2015-09-23,235.0157470703125
2015-09-24,233.6121368408203
2015-09-28,230.10302734375
2015-09-29,234.5010986328125
2015-09-30,236.0451202392578
2015-10-01,235.34326171875
2015-10-05,242.64219665527344
2015-10-06,238.89918518066406
2015-10-07,241.519287109375
2015-10-08,239.08633422851562
2015-10-09,243.7183380126953
2015-10-12,242.36146545410156
2015-10-13,248.77142333984375
2015-10-14,242.36146545410156
2015-10-15,239.88172912597656
2015-10-16,243.25047302246094
2015-10-19,243.0633087158203
2015-10-20,242.50186157226562
2015-10-21,240.1624298095703
2015-10-23,241.4257354736328
2015-10-26,240.7706756591797
2015-10-27,241.4257354736328
2015-10-28,239.3202667236328
2015-10-29,236.27903747558594
2015-10-30,237.30836486816406
2015-11-02,237.8230743408203
2015-11-03,233.2846221923828
2015-11-04,232.72315979003906
2015-11-05,227.99757385253906
2015-11-06,226.2664031982422
2015-11-09,241.61288452148438
2015-11-10,242.78256225585938
2015-11-13,239.50738525390625
2015-11-16,241.5660400390625
2015-11-17,239.9752960205078
2015-11-18,246.4320526123047
2015-11-19,257.00616455078125
2015-11-20,275.20660400390625
2015-11-23,276.5634460449219
2015-11-24,270.9956970214844
2015-11-26,274.55157470703125
2015-11-27,268.703125
2015-11-30,267.3929748535156
2015-12-01,275.81488037109375
2015-12-02,270.5278625488281
2015-12-03,280.6807861328125
2015-12-04,280.6340026855469
2015-12-07,276.2826843261719
2015-12-08,273.05438232421875
2015-12-09,264.8664245605469
2015-12-10,285.4064025878906
2015-12-11,281.3357849121094
2015-12-14,283.81549072265625
2015-12-15,282.8330993652344
2015-12-16,281.6165466308594
2015-12-17,286.57611083984375
2015-12-18,285.2659606933594
2015-12-21,285.4064025878906
2015-12-22,284.423828125
2015-12-23,284.0027770996094
2015-12-24,285.3595886230469
2015-12-28,281.1486511230469
2015-12-29,282.1312255859375
2015-12-30,280.5872497558594
2015-12-31,285.12567138671875
2016-01-01,300.14453125
2016-01-04,287.465087890625
2016-01-05,288.6347961425781
2016-01-06,283.9091796875
2016-01-07,276.5634460449219
2016-01-08,283.5816650390625
2016-01-11,276.8909606933594
2016-01-12,271.2296447753906
2016-01-13,265.9893493652344
2016-01-14,270.20025634765625
2016-01-15,262.9481506347656
2016-01-18,258.5033264160156
2016-01-19,266.1297912597656
2016-01-20,268.0948486328125
2016-01-21,270.7149353027344
2016-01-22,279.0900573730469
2016-01-25,282.6459045410156
2016-01-27,280.9615478515625
2016-01-28,276.4698791503906
2016-01-29,277.6395263671875
2016-02-01,284.51739501953125
2016-02-02,285.5935363769531
2016-02-03,279.9789733886719
2016-02-04,278.90283203125
2016-02-05,284.2834777832031
2016-02-08,284.798095703125
2016-02-09,274.8791198730469
2016-02-10,267.9544982910156
2016-02-11,252.60800170898438
2016-02-12,255.78965759277344
2016-02-15,273.10113525390625
2016-02-16,263.790283203125
2016-02-17,263.9775085449219
2016-02-18,262.5270690917969
2016-02-19,263.0884704589844
2016-02-22,263.2288818359375
2016-02-23,261.450927734375
2016-02-24,257.38037109375
2016-02-25,253.45018005371094
2016-02-26,256.3510437011719
2016-02-29,254.71343994140625
2016-03-01,267.0655212402344
2016-03-02,265.24078369140625
2016-03-03,259.4390563964844
2016-03-04,262.8545837402344
2016-03-08,266.83160400390625
2016-03-09,267.1123046875
2016-03-10,265.24078369140625
2016-03-11,272.1186218261719
2016-03-14,275.6744689941406
2016-03-15,275.1130065917969
