Date,GE
2015-08-03,108.03312683105469
2015-08-04,108.15837860107422
2015-08-05,108.99362182617188
2015-08-06,108.70130920410156
2015-08-07,107.69903564453125
2015-08-10,109.57823944091797
2015-08-11,107.36495971679688
2015-08-12,107.99136352539062
2015-08-13,107.69903564453125
2015-08-14,108.91007995605469
2015-08-17,109.45296478271484
2015-08-18,108.86831665039062
2015-08-19,107.44851684570312
2015-08-20,105.19345092773438
2015-08-21,102.6878433227539
2015-08-24,99.68111419677734
2015-08-25,97.17552185058594
2015-08-26,100.26576232910156
2015-08-27,104.44176483154297
2015-08-28,105.06815338134766
2015-08-31,103.64832305908203
2015-09-01,99.7228775024414
2015-09-02,102.60433959960938
2015-09-03,102.35377502441406
2015-09-04,100.2239990234375
2015-09-08,104.23297882080078
2015-09-09,102.52080535888672
2015-09-10,103.06369018554688
2015-09-11,104.19121551513672
2015-09-14,103.43953704833984
2015-09-15,105.65279388427734
2015-09-16,108.28368377685547
2015-09-17,106.80902862548828
2015-09-18,104.49166107177734
2015-09-21,105.71354675292969
2015-09-22,105.79782104492188
2015-09-23,105.9241714477539
2015-09-24,104.95511627197266
2015-09-25,104.99726104736328
2015-09-28,102.4271011352539
2015-09-29,103.52259063720703
2015-09-30,106.26126861572266
2015-10-01,106.1348648071289
2015-10-02,107.31460571289062
2015-10-05,113.00264739990234
2015-10-06,114.98294067382812
2015-10-07,117.00538635253906
2015-10-08,118.10084533691406
2015-10-09,118.26937103271484
2015-10-12,118.3536605834961
2015-10-13,117.42670440673828
2015-10-14,116.28909301757812
2015-10-15,118.10084533691406
2015-10-16,122.10357666015625
2015-10-19,122.14572143554688
2015-10-20,121.26087951660156
2015-10-21,121.55581665039062
2015-10-22,124.63159942626953
2015-10-23,124.33662414550781
2015-10-26,124.50518798828125
2015-10-27,124.1259765625
2015-10-28,123.83100891113281
2015-10-29,123.62037658691406
2015-10-30,121.85079193115234
2015-11-02,123.8731689453125
2015-11-03,124.67369079589844
2015-11-04,124.46309661865234
2015-11-05,124.88438415527344
2015-11-06,126.0641098022461
2015-11-09,125.34783172607422
2015-11-10,126.90681457519531
2015-11-11,129.22415161132812
2015-11-12,127.07536315917969
2015-11-13,127.5809555053711
2015-11-16,127.91802215576172
2015-11-17,127.74944305419922
2015-11-18,128.59217834472656
2015-11-19,127.53880310058594
2015-11-20,129.18199157714844
2015-11-23,128.8870849609375
2015-11-24,129.18199157714844
2015-11-25,127.91802215576172
2015-11-27,127.91802215576172
2015-11-30,126.14842987060547
2015-12-01,127.11750030517578
2015-12-02,126.27476501464844
2015-12-03,126.52761840820312
2015-12-04,128.4657745361328
2015-12-07,127.96018981933594
2015-12-08,127.20171356201172
2015-12-09,128.3814697265625
2015-12-10,129.13987731933594
2015-12-11,127.4966812133789
2015-12-14,127.4966812133789
2015-12-15,127.74944305419922
2015-12-16,130.5302734375
2015-12-17,129.68128967285156
2015-12-18,128.53524780273438
2015-12-21,129.04457092285156
2015-12-22,129.4266357421875
2015-12-23,131.37924194335938
2015-12-24,130.8699493408203
2015-12-28,131.16700744628906
2015-12-29,132.7800750732422
2015-12-30,131.8037567138672
2015-12-31,132.2282257080078
2016-01-04,130.36048889160156
2016-01-05,130.48785400390625
2016-01-06,128.40785217285156
2016-01-07,122.97441864013672
2016-01-08,120.76702880859375
2016-01-11,121.31889343261719
2016-01-12,121.57360076904297
2016-01-13,119.8756332397461
2016-01-14,123.3564453125
2016-01-15,120.93685913085938
2016-01-19,120.93685913085938
2016-01-20,118.85690307617188
2016-01-21,121.36136627197266
2016-01-22,119.8756332397461
2016-01-25,119.02664184570312
2016-01-26,120.17278289794922
2016-01-27,118.85690307617188
2016-01-28,119.74827575683594
2016-01-29,123.5262680053711
2016-02-01,121.57360076904297
2016-02-02,119.8756332397461
2016-02-03,121.70098114013672
2016-02-04,123.86583709716797
2016-02-05,121.14913177490234
2016-02-08,119.57852935791016
2016-02-09,120.0454330444336
2016-02-10,120.13033294677734
2016-02-11,116.52220153808594
2016-02-12,119.96054077148438
2016-02-16,122.50745391845703
2016-02-17,124.54505157470703
2016-02-18,123.44137573242188
2016-02-19,123.18665313720703
2016-02-22,124.84220123291016
2016-02-23,124.03559112548828
2016-02-24,122.93193054199219
2016-02-25,125.07139587402344
2016-02-26,125.79881286621094
2016-02-29,124.68624877929688
2016-03-01,127.85265350341797
2016-03-02,129.13629150390625
2016-03-03,129.30743408203125
2016-03-04,130.3344268798828
2016-03-07,129.60696411132812
2016-03-08,128.62286376953125
2016-03-09,128.58006286621094
2016-03-10,128.10940551757812
2016-03-11,129.8209228515625
2016-03-14,129.52142333984375
