Date,JBL
2015-08-03,18.342384338378906
2015-08-04,18.122055053710938
2015-08-05,18.57189178466797
2015-08-06,18.2597599029541
2015-08-07,18.085336685180664
2015-08-10,18.49844741821289
2015-08-11,18.07615089416504
2015-08-12,18.06693458557129
2015-08-13,17.97475814819336
2015-08-14,18.2236385345459
2015-08-17,18.35268783569336
2015-08-18,18.057720184326172
2015-08-19,18.02084732055664
2015-08-20,17.64291000366211
2015-08-21,17.13593292236328
2015-08-24,16.43538475036621
2015-08-25,16.278675079345703
2015-08-26,17.108280181884766
2015-08-27,17.79961585998535
2015-08-28,17.947099685668945
2015-08-31,17.83649253845215
2015-09-01,17.21889305114746
2015-09-02,17.27420425415039
2015-09-03,17.8457088470459
2015-09-04,17.52307891845703
2015-09-08,18.103809356689453
2015-09-09,17.86414337158203
2015-09-10,18.06693458557129
2015-09-11,18.2236385345459
2015-09-14,18.168336868286133
2015-09-15,18.53704261779785
2015-09-16,18.878101348876953
2015-09-17,18.64765739440918
2015-09-18,18.44486427307129
2015-09-21,18.45408058166504
2015-09-22,17.790401458740234
2015-09-23,17.59682846069336
2015-09-24,17.97475814819336
2015-09-25,20.168596267700195
2015-09-28,19.956586837768555
2015-09-29,20.316083908081055
2015-09-30,20.620269775390625
2015-10-01,20.41748046875
2015-10-02,20.205472946166992
2015-10-05,20.74010467529297
2015-10-06,20.445138931274414
2015-10-07,20.915241241455078
2015-10-08,20.72166633605957
2015-10-09,20.75853729248047
2015-10-12,20.988985061645508
2015-10-13,20.813846588134766
2015-10-14,21.09960174560547
2015-10-15,21.385351181030273
2015-10-16,21.256303787231445
2015-10-19,21.081165313720703
2015-10-20,21.33926010131836
2015-10-21,20.84149932861328
2015-10-22,21.16412925720215
2015-10-23,21.320823669433594
2015-10-26,20.74932861328125
2015-10-27,20.896804809570312
2015-10-28,21.247085571289062
2015-10-29,21.03507423400879
2015-10-30,21.182558059692383
2015-11-02,21.219440460205078
2015-11-03,22.33478546142578
2015-11-04,22.06746482849121
2015-11-05,22.06746482849121
2015-11-06,22.344009399414062
