Date,KEC.NS
2015-08-21,127.40010833740234
2015-08-24,110.38562774658203
2015-08-25,111.40556335449219
2015-08-26,119.05513000488281
2015-08-27,122.43949890136719
2015-08-28,122.34676361083984
2015-08-31,120.90956115722656
2015-09-01,114.04814147949219
2015-09-02,121.46590423583984
2015-09-03,123.45942687988281
2015-09-04,119.56510925292969
2015-09-07,117.52520751953125
2015-09-08,121.51227569580078
2015-09-09,129.3936309814453
2015-09-10,128.7909393310547
2015-09-11,127.30738067626953
2015-09-14,128.18826293945312
2015-09-15,130.6453857421875
2015-09-16,134.0761260986328
2015-09-18,138.7122039794922
2015-09-21,139.31491088867188
2015-09-22,132.7316131591797
2015-09-23,129.94996643066406
2015-09-24,128.83731079101562
2015-09-28,126.93650817871094
2015-09-29,129.06912231445312
2015-09-30,131.71168518066406
2015-10-01,130.3208465576172
2015-10-05,136.0696258544922
2015-10-06,132.87074279785156
2015-10-07,134.86424255371094
2015-10-08,133.33432006835938
2015-10-09,132.685302734375
2015-10-12,133.93702697753906
2015-10-13,134.58609008789062
2015-10-14,134.2152099609375
2015-10-15,137.36773681640625
2015-10-16,134.40060424804688
2015-10-19,133.05618286132812
2015-10-20,133.42703247070312
2015-10-21,133.28794860839844
2015-10-23,135.09605407714844
2015-10-26,132.22166442871094
2015-10-27,132.4071044921875
2015-10-28,131.8507843017578
2015-10-29,127.67829132080078
2015-10-30,124.10847473144531
2015-11-02,121.74407196044922
2015-11-03,126.28744506835938
2015-11-04,126.14835357666016
2015-11-05,126.24107360839844
2015-11-06,127.16829681396484
2015-11-09,128.74459838867188
2015-11-10,126.6583480834961
2015-11-13,129.81088256835938
2015-11-16,133.2416229248047
2015-11-17,139.68577575683594
2015-11-18,137.55320739746094
2015-11-19,146.77903747558594
2015-11-20,142.6528778076172
2015-11-23,150.9515380859375
2015-11-24,147.1035614013672
2015-11-26,145.11004638671875
2015-11-27,142.5601806640625
2015-11-30,145.2027587890625
2015-12-01,144.64642333984375
2015-12-02,142.51380920410156
2015-12-03,140.10302734375
2015-12-04,141.77203369140625
2015-12-07,142.5601806640625
2015-12-08,138.24859619140625
2015-12-09,136.90411376953125
2015-12-10,139.5467071533203
2015-12-11,137.83135986328125
2015-12-14,140.2421417236328
2015-12-15,140.10302734375
2015-12-16,140.1494140625
2015-12-17,139.50033569335938
2015-12-18,148.44802856445312
2015-12-21,149.51431274414062
2015-12-22,146.08358764648438
2015-12-23,143.81192016601562
2015-12-24,144.32188415527344
2015-12-28,142.9774169921875
2015-12-29,146.31541442871094
2015-12-30,143.44102478027344
2015-12-31,144.22918701171875
2016-01-01,145.34182739257812
2016-01-04,141.07659912109375
2016-01-05,140.38121032714844
2016-01-06,139.87124633789062
2016-01-07,132.91709899902344
2016-01-08,132.45347595214844
2016-01-11,130.45994567871094
2016-01-12,128.14190673828125
2016-01-13,126.98287200927734
2016-01-14,122.99583435058594
2016-01-15,120.63141632080078
2016-01-18,111.45191955566406
2016-01-19,109.64384460449219
2016-01-20,104.21961212158203
2016-01-21,109.08750915527344
2016-01-22,108.25300598144531
2016-01-25,110.3392562866211
2016-01-27,112.7500228881836
2016-01-28,114.23358154296875
2016-01-29,114.04814147949219
2016-02-01,115.90257263183594
2016-02-02,111.86917877197266
2016-02-03,109.59748077392578
2016-02-04,104.54413604736328
2016-02-05,109.59748077392578
2016-02-08,106.76945495605469
2016-02-09,103.98779296875
2016-02-10,99.21260833740234
2016-02-11,94.29833221435547
2016-02-12,94.11289978027344
2016-02-15,100.97432708740234
2016-02-16,97.8681411743164
2016-02-17,97.45088195800781
2016-02-18,96.06005859375
2016-02-19,100.2325439453125
2016-02-22,95.4110107421875
2016-02-23,96.98727416992188
2016-02-24,95.27191162109375
2016-02-25,98.79535675048828
2016-02-26,95.92095947265625
2016-02-29,93.46385955810547
2016-03-01,100.74252319335938
2016-03-02,105.00772857666016
2016-03-03,106.63036346435547
2016-03-04,106.53765106201172
2016-03-08,105.37863159179688
2016-03-09,106.90853881835938
2016-03-10,106.213134765625
2016-03-11,108.94843292236328
2016-03-14,108.06756591796875
2016-03-15,112.98184204101562
2016-03-16,109.82927703857422
2016-03-17,110.15381622314453
2016-03-18,111.2664794921875
2016-03-21,112.28642272949219
2016-03-22,112.00594329833984
2016-03-23,112.80064392089844
2016-03-28,108.87388610839844
2016-03-29,109.71532440185547
2016-03-30,112.70714569091797
2016-03-31,114.34329223632812
2016-04-01,116.6806411743164
2016-04-04,118.78427124023438
2016-04-05,115.23149108886719
