Date,IOC.NS
2015-08-21,34.885032653808594
2015-08-24,33.4051628112793
2015-08-25,34.885032653808594
2015-08-26,34.80110168457031
2015-08-27,36.21029281616211
2015-08-28,35.80387496948242
2015-08-31,36.61669921875
2015-09-01,35.86572265625
2015-09-02,34.911537170410156
2015-09-03,35.317955017089844
2015-09-04,36.728328704833984
2015-09-07,35.430233001708984
2015-09-08,35.24607849121094
2015-09-09,36.166866302490234
2015-09-10,35.82550811767578
2015-09-11,35.87042236328125
2015-09-14,36.0994987487793
2015-09-15,35.76261901855469
2015-09-16,35.4886360168457
2015-09-18,35.039466857910156
2015-09-21,34.716068267822266
2015-09-22,35.09336471557617
2015-09-23,35.53804397583008
2015-09-24,35.4167594909668
2015-09-28,35.83000183105469
2015-09-29,35.45269775390625
2015-09-30,36.13093948364258
2015-10-01,36.04560089111328
2015-10-05,36.12644577026367
2015-10-06,36.22526168823242
2015-10-07,35.744651794433594
2015-10-08,35.924320220947266
2015-10-09,35.87042236328125
2015-10-12,35.86144256591797
2015-10-13,35.92880630493164
2015-10-14,35.92880630493164
2015-10-15,36.211788177490234
2015-10-16,36.575618743896484
2015-10-19,36.46781539916992
2015-10-20,36.15340042114258
2015-10-21,35.69075393676758
2015-10-23,35.915340423583984
2015-10-26,35.3089714050293
2015-10-27,35.838985443115234
2015-10-28,35.91982650756836
2015-10-29,35.25956344604492
2015-10-30,35.91084289550781
2015-11-02,35.69524383544922
2015-11-03,36.05009078979492
2015-11-04,36.84062576293945
2015-11-05,36.7373161315918
2015-11-06,36.988853454589844
2015-11-09,37.11910629272461
2015-11-10,35.84347915649414
2015-11-13,36.634010314941406
2015-11-16,36.139930725097656
2015-11-17,35.91982650756836
2015-11-18,36.265689849853516
2015-11-19,36.57111740112305
2015-11-20,36.96638488769531
2015-11-23,36.99333572387695
2015-11-24,37.586238861083984
2015-11-26,37.824302673339844
2015-11-27,37.680564880371094
2015-11-30,37.7748908996582
2015-12-01,38.92924880981445
2015-12-02,38.75856018066406
2015-12-03,38.677711486816406
2015-12-04,38.475589752197266
2015-12-07,38.51152420043945
2015-12-08,37.96354293823242
2015-12-09,37.110130310058594
2015-12-10,37.35267639160156
2015-12-11,37.31673812866211
2015-12-14,37.19097137451172
2015-12-15,37.572757720947266
2015-12-16,38.24651336669922
2015-12-17,38.6328010559082
2015-12-18,38.2330436706543
2015-12-21,39.117897033691406
2015-12-22,38.86635208129883
2015-12-23,38.90678405761719
2015-12-24,38.95171356201172
2015-12-28,38.70915222167969
2015-12-29,38.66423416137695
2015-12-30,38.2554931640625
2015-12-31,38.498046875
2016-01-01,38.920257568359375
2016-01-04,38.309391021728516
2016-01-05,39.76469802856445
2016-01-06,40.501319885253906
2016-01-07,39.66587829589844
2016-01-08,40.13750076293945
2016-01-11,39.78715896606445
2016-01-12,39.526641845703125
2016-01-13,39.454769134521484
2016-01-14,39.1134033203125
2016-01-15,38.32735824584961
2016-01-18,37.45149230957031
2016-01-19,37.28080749511719
2016-01-20,36.22076416015625
2016-01-21,35.58745574951172
2016-01-22,36.508243560791016
2016-01-25,35.52906036376953
2016-01-27,35.66381072998047
2016-01-28,35.80305099487305
2016-01-29,36.139930725097656
2016-02-01,36.27018737792969
2016-02-02,35.80754089355469
2016-02-03,35.605411529541016
2016-02-04,34.98556137084961
2016-02-05,35.44371795654297
2016-02-08,35.06641387939453
2016-02-09,34.8912353515625
2016-02-10,34.50046920776367
2016-02-11,33.43593978881836
2016-02-12,32.74870681762695
2016-02-15,34.90920639038086
2016-02-16,33.91655349731445
2016-02-17,34.361228942871094
2016-02-18,35.14726638793945
2016-02-19,33.53026580810547
2016-02-22,33.99291229248047
2016-02-23,33.0630989074707
2016-02-24,33.806034088134766
2016-02-25,33.19071578979492
2016-02-26,33.20895004272461
2016-02-29,33.51432800292969
2016-03-01,35.18708038330078
2016-03-02,35.46967697143555
2016-03-03,35.96192169189453
2016-03-04,35.4605598449707
2016-03-08,36.290096282958984
2016-03-09,35.5289306640625
2016-03-10,35.196197509765625
2016-03-11,35.17796325683594
2016-03-14,35.114158630371094
2016-03-15,35.75226593017578
2016-03-16,35.42409133911133
2016-03-17,36.331119537353516
2016-03-18,35.64743423461914
2016-03-21,35.966487884521484
2016-03-22,35.893558502197266
2016-03-23,35.83430862426758
2016-03-28,35.73403549194336
2016-03-29,35.93912887573242
2016-03-30,36.46329116821289
2016-03-31,35.879886627197266
2016-04-01,35.829750061035156
2016-04-04,36.60458755493164
2016-04-05,36.65928649902344
2016-04-06,37.43869400024414
2016-04-07,37.479713439941406
2016-04-08,37.6164436340332
2016-04-11,37.92183303833008
2016-04-12,37.82611846923828
2016-04-13,37.95829772949219
2016-04-18,39.115997314453125
2016-04-20,38.61463165283203
2016-04-21,38.73768615722656
2016-04-22,39.06130599975586
2016-04-25,39.102325439453125
2016-04-26,39.57635498046875
2016-04-27,39.849830627441406
2016-04-28,38.65109634399414
2016-04-29,39.49430847167969
2016-05-02,38.85619354248047
2016-05-03,38.25911331176758
2016-05-04,37.62556076049805
2016-05-05,37.3885498046875
2016-05-06,37.92183303833008
2016-05-09,38.23176956176758
2016-05-10,37.71216583251953
2016-05-11,37.3475341796875
2016-05-12,37.81243896484375
2016-05-13,37.77598190307617
2016-05-16,37.32929611206055
2016-05-17,37.16065979003906
2016-05-18,37.06493377685547
2016-05-19,37.552635192871094
2016-05-20,37.32929611206055
2016-05-23,36.86439895629883
2016-05-24,36.176143646240234
2016-05-25,36.750450134277344
2016-05-26,36.65928649902344
2016-05-27,37.643798828125
