Date,CHOLAFIN.NS
2015-08-21,119.83434295654297
2015-08-24,115.62979125976562
2015-08-25,117.04413604736328
2015-08-26,119.93054962158203
2015-08-27,116.67851257324219
2015-08-28,115.82221221923828
2015-08-31,116.53421020507812
2015-09-01,115.92805480957031
2015-09-02,116.06275939941406
2015-09-03,112.91658020019531
2015-09-04,115.0621337890625
2015-09-07,114.53297424316406
2015-09-08,117.73689270019531
2015-09-09,114.8023452758789
2015-09-10,118.92992401123047
2015-09-11,119.353271484375
2015-09-14,117.71762084960938
2015-09-15,119.15122985839844
2015-09-16,121.49883270263672
2015-09-18,116.27442169189453
2015-09-21,116.18782806396484
2015-09-22,117.40013122558594
2015-09-23,119.3147964477539
2015-09-24,120.87344360351562
2015-09-28,123.23066711425781
2015-09-29,124.4910888671875
2015-09-30,125.33778381347656
2015-10-01,124.72199249267578
2015-10-05,124.3275375366211
2015-10-06,123.61553955078125
2015-10-07,123.42311096191406
2015-10-08,120.80609130859375
2015-10-09,119.02613830566406
2015-10-12,119.0838623046875
2015-10-13,117.95817565917969
2015-10-14,119.4110107421875
2015-10-15,119.04537200927734
2015-10-16,116.07235717773438
2015-10-19,117.53482818603516
2015-10-20,114.88895416259766
2015-10-21,115.52396392822266
2015-10-23,114.62918090820312
2015-10-26,115.82221221923828
2015-10-27,115.8414535522461
2015-10-28,118.57394409179688
2015-10-29,121.10436248779297
2015-10-30,119.56493377685547
2015-11-02,120.92155456542969
2015-11-03,123.15372467041016
2015-11-04,123.70213317871094
2015-11-05,119.7862319946289
2015-11-06,117.94854736328125
2015-11-09,119.28591918945312
2015-11-10,116.54383087158203
2015-11-13,117.49635314941406
2015-11-16,117.28467559814453
2015-11-17,116.93830871582031
2015-11-18,116.11087799072266
2015-11-19,116.88057708740234
2015-11-20,123.14407348632812
2015-11-23,122.23006439208984
2015-11-24,123.74061584472656
2015-11-26,123.14407348632812
2015-11-27,124.69314575195312
2015-11-30,124.11585998535156
2015-12-01,123.59630584716797
2015-12-02,121.21019744873047
2015-12-03,120.25767517089844
2015-12-04,121.55656433105469
2015-12-07,122.58604431152344
2015-12-08,121.86444854736328
2015-12-09,119.74774932861328
2015-12-10,120.07488250732422
2015-12-11,121.61428833007812
2015-12-14,121.39301300048828
2015-12-15,124.04849243164062
2015-12-16,123.03825378417969
2015-12-17,122.7977294921875
2015-12-18,122.49947357177734
2015-12-21,124.68351745605469
2015-12-22,124.269775390625
2015-12-23,126.00167846679688
2015-12-24,126.26142883300781
2015-12-28,125.64566040039062
2015-12-29,123.3846206665039
2015-12-30,123.49047088623047
2015-12-31,123.50969696044922
2016-01-01,122.91319274902344
2016-01-04,123.23066711425781
2016-01-05,123.51933288574219
2016-01-06,124.66426849365234
2016-01-07,123.71176147460938
2016-01-08,124.86631774902344
2016-01-11,123.27880096435547
2016-01-12,123.95228576660156
2016-01-13,120.17109680175781
2016-01-14,120.42124938964844
2016-01-15,117.8138427734375
2016-01-18,115.2834243774414
2016-01-19,117.10186004638672
2016-01-20,114.48485565185547
2016-01-21,118.70862579345703
2016-01-22,117.87158966064453
2016-01-25,116.32254028320312
2016-01-27,119.81510162353516
2016-01-28,120.41162872314453
2016-01-29,121.61428833007812
2016-02-01,124.3756332397461
2016-02-02,123.78874969482422
2016-02-03,125.81880950927734
2016-02-04,129.39801025390625
2016-02-05,132.62118530273438
2016-02-08,135.01690673828125
2016-02-09,132.17808532714844
2016-02-10,133.18226623535156
2016-02-11,130.78761291503906
2016-02-12,134.7561798095703
2016-02-15,134.4761505126953
2016-02-16,130.2082977294922
2016-02-17,128.19021606445312
2016-02-18,124.65623474121094
2016-02-19,127.46604919433594
2016-02-22,128.17092895507812
2016-02-23,122.8505859375
2016-02-24,124.0768814086914
2016-02-25,121.90431213378906
2016-02-26,122.86026000976562
2016-02-29,124.40518188476562
2016-03-01,125.06177520751953
2016-03-02,126.44253540039062
2016-03-03,128.59579467773438
2016-03-04,128.34469604492188
2016-03-08,128.17092895507812
2016-03-09,129.0592498779297
2016-03-10,133.24021911621094
2016-03-11,129.44549560546875
2016-03-14,129.12681579589844
2016-03-15,128.80821228027344
2016-03-16,126.08529663085938
2016-03-17,131.13525390625
2016-03-18,129.4068603515625
2016-03-21,131.9656524658203
2016-03-22,132.3905029296875
2016-03-23,132.7187957763672
2016-03-28,134.37960815429688
2016-03-29,134.83340454101562
2016-03-30,135.065185546875
2016-03-31,139.28472900390625
2016-04-01,141.4476318359375
2016-04-04,142.95394897460938
2016-04-05,142.89598083496094
2016-04-06,140.3082275390625
2016-04-07,143.95814514160156
2016-04-08,142.55807495117188
2016-04-11,147.6852569580078
2016-04-12,152.27178955078125
2016-04-13,152.5518035888672
2016-04-18,153.0731964111328
2016-04-20,151.57656860351562
2016-04-21,147.57907104492188
2016-04-22,151.86622619628906
2016-04-25,151.79867553710938
2016-04-26,152.5614471435547
2016-04-27,153.75875854492188
2016-04-28,153.80709838867188
2016-04-29,154.33811950683594
2016-05-02,164.3318634033203
2016-05-03,163.39524841308594
2016-05-04,168.95700073242188
2016-05-05,169.56527709960938
2016-05-06,172.92552185058594
2016-05-09,174.71185302734375
2016-05-10,173.96832275390625
