Date,ITV.L
2015-08-24,237.16439819335938
2015-08-25,247.22048950195312
2015-08-26,243.33740234375
2015-08-27,248.91305541992188
2015-08-28,249.11219787597656
2015-09-01,237.96090698242188
2015-09-02,244.03439331054688
2015-09-03,245.03004455566406
2015-09-04,242.2421875
2015-09-07,244.6317901611328
2015-09-08,246.12525939941406
2015-09-09,249.80917358398438
2015-09-10,250.1078338623047
2015-09-11,246.52354431152344
2015-09-14,244.33309936523438
2015-09-15,246.12525939941406
2015-09-16,248.51480102539062
2015-09-17,245.62741088867188
2015-09-18,245.62741088867188
2015-09-21,247.81785583496094
2015-09-22,238.8570098876953
2015-09-23,241.94349670410156
2015-09-24,239.1557159423828
2015-09-25,247.1208953857422
2015-09-28,249.41087341308594
2015-09-29,242.14266967773438
2015-09-30,244.93045043945312
2015-10-01,245.92613220214844
2015-10-02,246.72267150878906
2015-10-05,251.10353088378906
2015-10-06,252.4974365234375
2015-10-07,247.91741943359375
2015-10-08,248.4152374267578
2015-10-09,245.42825317382812
2015-10-12,243.934814453125
2015-10-13,241.5452423095703
2015-10-14,239.2552490234375
2015-10-15,244.23348999023438
2015-10-16,247.61875915527344
2015-10-19,248.4152374267578
2015-10-20,249.70960998535156
2015-10-21,247.22048950195312
2015-10-22,247.71832275390625
2015-10-23,255.88267517089844
2015-10-26,252.99525451660156
2015-10-27,248.01699829101562
2015-10-28,251.90003967285156
2015-10-29,251.81935119628906
2015-10-30,251.32150268554688
2015-11-02,253.5121307373047
2015-11-03,254.20913696289062
2015-11-04,254.010009765625
2015-11-05,253.4125213623047
2015-11-06,254.90615844726562
2015-11-09,255.70269775390625
2015-11-10,260.3826599121094
2015-11-11,263.9671936035156
2015-11-12,261.776611328125
2015-11-13,258.8890686035156
2015-11-16,263.7680969238281
2015-11-17,268.7467041015625
2015-11-18,266.1578369140625
2015-11-19,266.05828857421875
2015-11-20,262.8719482421875
2015-11-23,261.37835693359375
2015-11-24,257.5946044921875
2015-11-25,263.3698425292969
2015-11-26,265.2616882324219
2015-11-27,266.4565734863281
2015-11-30,269.8420715332031
2015-12-01,271.4352111816406
2015-12-02,271.33563232421875
2015-12-03,267.3526916503906
2015-12-04,266.75531005859375
2015-12-07,269.14501953125
2015-12-08,264.9630126953125
2015-12-09,262.3741149902344
2015-12-10,263.0710754394531
2015-12-11,261.1791687011719
2015-12-14,260.2830505371094
2015-12-15,264.86346435546875
2015-12-16,264.86346435546875
2015-12-17,266.3569641113281
2015-12-18,262.67279052734375
2015-12-21,270.3398742675781
2015-12-22,267.6514892578125
2015-12-23,273.824951171875
2015-12-24,273.824951171875
2015-12-29,276.8121643066406
2015-12-30,275.3184814453125
2015-12-31,275.4181213378906
2016-01-04,268.64715576171875
2016-01-05,269.7424621582031
2016-01-06,267.6514892578125
2016-01-07,266.85479736328125
2016-01-08,265.36126708984375
2016-01-11,264.9630126953125
2016-01-12,268.0497131347656
2016-01-13,266.9544677734375
2016-01-14,258.68988037109375
2016-01-15,258.29156494140625
2016-01-18,256.39971923828125
2016-01-19,261.6771545410156
2016-01-20,253.1138153076172
2016-01-21,252.81509399414062
2016-01-22,261.07965087890625
2016-01-25,261.776611328125
2016-01-26,258.8890686035156
2016-01-27,265.5604248046875
2016-01-28,258.1920166015625
2016-01-29,265.6600036621094
2016-02-01,269.3441162109375
2016-02-02,266.9544677734375
2016-02-03,262.5732421875
2016-02-04,263.3698425292969
2016-02-05,254.40830993652344
2016-02-08,235.98731994628906
2016-02-09,240.46807861328125
2016-02-10,241.26467895507812
2016-02-11,236.98304748535156
2016-02-12,240.06980895996094
2016-02-15,242.45953369140625
2016-02-16,243.8535614013672
2016-02-17,250.92324829101562
2016-02-18,248.53350830078125
2016-02-19,251.1223907470703
2016-02-22,251.52066040039062
2016-02-23,248.03562927246094
2016-02-24,246.4424591064453
2016-02-25,251.4210968017578
2016-02-26,250.92324829101562
2016-02-29,247.53778076171875
2016-03-01,248.53350830078125
2016-03-02,239.87063598632812
2016-03-03,231.60614013671875
2016-03-04,229.71426391601562
2016-03-07,232.90057373046875
2016-03-08,229.0172576904297
2016-03-09,231.00869750976562
2016-03-10,228.4197998046875
2016-03-11,233.39842224121094
2016-03-14,238.1779022216797
2016-03-15,240.66722106933594
2016-03-16,243.05702209472656
2016-03-17,241.46380615234375
2016-03-18,242.9573974609375
2016-03-21,239.87063598632812
2016-03-22,241.46380615234375
2016-03-23,241.76255798339844
2016-03-24,236.684326171875
2016-03-29,242.2604217529297
2016-03-30,242.2604217529297
2016-03-31,240.1693572998047
2016-04-01,241.56341552734375
2016-04-04,242.65869140625
2016-04-05,238.4766387939453
2016-04-06,241.16513061523438
2016-04-07,237.6800537109375
2016-04-08,237.3813018798828
2016-04-11,239.67153930664062
2016-04-12,237.9788055419922
2016-04-13,239.1736297607422
2016-04-14,242.65869140625
2016-04-15,238.4766387939453
2016-04-18,236.2860565185547
2016-04-19,237.3813018798828
2016-04-20,232.50225830078125
2016-04-21,226.52789306640625
2016-04-22,225.6317901611328
2016-04-25,231.00869750976562
2016-04-26,231.80526733398438
2016-04-27,232.8009796142578
2016-04-28,224.67544555664062
2016-04-29,224.27708435058594
2016-05-03,227.0656280517578
2016-05-04,224.177490234375
2016-05-05,222.18568420410156
2016-05-06,215.81187438964844
2016-05-09,219.69590759277344
2016-05-10,217.4053497314453
2016-05-11,214.41763305664062
2016-05-12,209.13937377929688
2016-05-13,204.0602569580078
2016-05-16,203.7615203857422
2016-05-17,205.55410766601562
2016-05-18,204.6578369140625
2016-05-19,206.64964294433594
2016-05-20,211.92787170410156
2016-05-23,211.13116455078125
2016-05-24,215.81187438964844
2016-05-25,216.70823669433594
2016-05-26,217.90328979492188
2016-05-27,219.59632873535156
2016-05-31,213.91966247558594
2016-06-01,209.8365020751953
2016-06-02,211.6291046142578
2016-06-03,212.62501525878906
2016-06-06,210.5336151123047
2016-06-07,210.6332244873047
2016-06-08,207.34674072265625
