Date,SRF.NS
2015-08-21,240.8532257080078
2015-08-24,204.16758728027344
2015-08-25,219.0696563720703
2015-08-26,223.36936950683594
2015-08-27,227.1661376953125
2015-08-28,228.6339874267578
2015-08-31,224.63070678710938
2015-09-01,217.39625549316406
2015-09-02,212.54469299316406
2015-09-03,220.1222686767578
2015-09-04,210.7527313232422
2015-09-07,204.5476837158203
2015-09-08,208.9608154296875
2015-09-09,210.1140899658203
2015-09-10,211.15304565429688
2015-09-11,219.16912841796875
2015-09-14,220.5321044921875
2015-09-15,218.13970947265625
2015-09-16,213.74563598632812
2015-09-18,218.6067352294922
2015-09-21,217.415283203125
2015-09-22,214.6797332763672
2015-09-23,215.4327392578125
2015-09-24,215.10865783691406
2015-09-28,213.89816284179688
2015-09-29,215.4232177734375
2015-09-30,214.19361877441406
2015-10-01,215.3755645751953
2015-10-05,225.56480407714844
2015-10-06,226.14622497558594
2015-10-07,235.80172729492188
2015-10-08,234.5054168701172
2015-10-09,232.1034698486328
2015-10-12,233.74290466308594
2015-10-13,233.7047576904297
2015-10-14,241.84471130371094
2015-10-15,241.35862731933594
2015-10-16,248.34523010253906
2015-10-19,253.33033752441406
2015-10-20,249.4700164794922
2015-10-21,248.68838500976562
2015-10-23,246.17205810546875
2015-10-26,247.40162658691406
2015-10-27,248.6025390625
2015-10-28,258.8299865722656
2015-10-29,259.0015869140625
2015-10-30,252.07212829589844
2015-11-02,253.13963317871094
2015-11-03,254.6170654296875
2015-11-04,253.46372985839844
2015-11-05,251.2047119140625
2015-11-06,246.28643798828125
2015-11-09,246.24832153320312
2015-11-10,241.33953857421875
2015-11-13,233.35211181640625
2015-11-16,241.16799926757812
2015-11-17,244.856689453125
2015-11-18,235.5538787841797
2015-11-19,241.66358947753906
2015-11-20,243.37930297851562
2015-11-23,239.1949462890625
2015-11-24,239.11871337890625
2015-11-26,237.2314453125
2015-11-27,238.7946014404297
2015-11-30,243.1886749267578
2015-12-01,241.0822296142578
2015-12-02,235.372802734375
2015-12-03,234.37197875976562
2015-12-04,234.08599853515625
2015-12-07,233.1233367919922
2015-12-08,231.54110717773438
2015-12-09,227.09938049316406
2015-12-10,228.09068298339844
2015-12-11,226.5846710205078
2015-12-14,223.95396423339844
2015-12-15,223.5536346435547
2015-12-16,226.24151611328125
2015-12-17,236.8406524658203
2015-12-18,235.57293701171875
2015-12-21,237.22189331054688
2015-12-22,236.01144409179688
2015-12-23,234.38153076171875
2015-12-24,236.98365783691406
2015-12-28,243.1505584716797
2015-12-29,243.16958618164062
2015-12-30,242.01626586914062
2015-12-31,241.09173583984375
2016-01-01,240.7866973876953
2016-01-04,237.73663330078125
2016-01-05,244.42779541015625
2016-01-06,256.9331970214844
2016-01-07,248.83132934570312
2016-01-08,251.18565368652344
2016-01-11,246.95362854003906
2016-01-12,248.30714416503906
2016-01-13,240.51028442382812
2016-01-14,235.42996215820312
2016-01-15,231.2742156982422
2016-01-18,217.73936462402344
2016-01-19,216.3191680908203
2016-01-20,210.58116149902344
2016-01-21,212.5732421875
2016-01-22,216.3859100341797
2016-01-25,215.0419158935547
2016-01-27,211.82025146484375
2016-01-28,216.6337127685547
2016-01-29,222.38125610351562
2016-02-01,221.96185302734375
2016-02-02,219.23580932617188
2016-02-03,209.80906677246094
2016-02-04,207.92189025878906
2016-02-05,217.11978149414062
2016-02-08,216.53839111328125
2016-02-09,220.94200134277344
2016-02-10,220.70367431640625
2016-02-11,214.32708740234375
2016-02-12,208.6081085205078
2016-02-15,218.99737548828125
2016-02-16,207.7559051513672
2016-02-17,210.59019470214844
2016-02-18,209.34542846679688
2016-02-19,212.17970275878906
2016-02-22,209.10601806640625
2016-02-23,206.6260223388672
2016-02-24,201.23513793945312
2016-02-25,198.44869995117188
2016-02-26,201.2255401611328
2016-02-29,202.32669067382812
2016-03-01,210.88706970214844
2016-03-02,211.6339111328125
2016-03-03,219.8591766357422
2016-03-04,231.2441864013672
2016-03-08,226.49481201171875
2016-03-09,229.10887145996094
2016-03-10,226.21714782714844
2016-03-11,225.83416748046875
2016-03-14,228.50564575195312
2016-03-15,230.31541442871094
2016-03-16,230.13343811035156
2016-03-17,228.59182739257812
2016-03-18,231.46446228027344
2016-03-21,234.70089721679688
2016-03-22,234.968994140625
2016-03-23,239.36412048339844
2016-03-28,242.8207550048828
2016-03-29,244.01768493652344
2016-03-30,249.75332641601562
2016-03-31,250.57679748535156
2016-04-01,245.0135040283203
2016-04-04,244.8411407470703
2016-04-05,235.8690185546875
2016-04-06,246.4306640625
2016-04-07,241.3365936279297
2016-04-08,244.98477172851562
2016-04-11,247.88609313964844
2016-04-12,249.33197021484375
2016-04-13,263.1875
2016-04-18,265.4951171875
2016-04-20,267.6400146484375
2016-04-21,260.2190856933594
2016-04-22,259.4530944824219
2016-04-25,258.0551452636719
2016-04-26,258.3518981933594
2016-04-27,259.6349792480469
2016-04-28,257.1072082519531
2016-04-29,261.3394775390625
2016-05-02,260.2669982910156
2016-05-03,257.011474609375
2016-05-04,255.9389190673828
2016-05-05,264.97808837890625
2016-05-06,261.1670837402344
2016-05-09,271.33612060546875
2016-05-10,270.5030822753906
2016-05-11,275.33856201171875
2016-05-12,265.6579284667969
2016-05-13,241.52809143066406
2016-05-16,241.3270263671875
2016-05-17,242.15049743652344
2016-05-18,242.1409149169922
2016-05-19,236.0031280517578
2016-05-20,229.97068786621094
2016-05-23,226.9735870361328
2016-05-24,230.9186248779297
2016-05-25,236.51058959960938
2016-05-26,236.6350860595703
2016-05-27,241.40362548828125
