Date,UPL.NS
2015-08-21,323.6742248535156
2015-08-24,295.1253356933594
2015-08-25,302.0435485839844
2015-08-26,305.33642578125
2015-08-27,313.432861328125
2015-08-28,315.2454528808594
2015-08-31,303.64471435546875
2015-09-01,317.72271728515625
2015-09-02,320.8645935058594
2015-09-03,331.1059265136719
2015-09-04,320.0186767578125
2015-09-07,317.2394104003906
2015-09-08,313.4631042480469
2015-09-09,314.5506286621094
2015-09-10,299.7475280761719
2015-09-11,306.0011291503906
2015-09-14,303.4029846191406
2015-09-15,297.39111328125
2015-09-16,288.7509460449219
2015-09-18,290.6542053222656
2015-09-21,284.4308776855469
2015-09-22,279.506591796875
2015-09-23,280.9868469238281
2015-09-24,281.86297607421875
2015-09-28,274.5218811035156
2015-09-29,266.636962890625
2015-09-30,276.9084777832031
2015-10-01,274.31036376953125
2015-10-05,273.10198974609375
2015-10-06,280.80560302734375
2015-10-07,271.2289123535156
2015-10-08,268.6006164550781
2015-10-09,273.7061462402344
2015-10-12,282.2859191894531
2015-10-13,287.361328125
2015-10-14,284.15899658203125
2015-10-15,287.8748779296875
2015-10-16,287.935302734375
2015-10-19,294.8836975097656
2015-10-20,291.07708740234375
2015-10-21,289.8083190917969
2015-10-23,278.9930114746094
2015-10-26,270.7153625488281
2015-10-27,283.4339294433594
2015-10-28,286.4851989746094
2015-10-29,287.451904296875
2015-10-30,277.75433349609375
2015-11-02,276.81781005859375
2015-11-03,272.6789855957031
2015-11-04,274.6729431152344
2015-11-05,265.5795593261719
2015-11-06,271.0174255371094
2015-11-09,278.4189758300781
2015-11-10,273.887451171875
2015-11-13,262.8002624511719
2015-11-16,265.3680725097656
2015-11-17,268.72149658203125
2015-11-18,268.9027099609375
2015-11-19,271.8330993652344
2015-11-20,277.4522705078125
2015-11-23,267.02972412109375
2015-11-24,264.0690612792969
2015-11-26,260.0510559082031
2015-11-27,254.40176391601562
2015-11-30,251.19940185546875
2015-12-01,256.87896728515625
2015-12-02,256.5466613769531
2015-12-03,254.61314392089844
2015-12-04,253.10267639160156
2015-12-07,249.9910430908203
2015-12-08,244.43231201171875
2015-12-09,238.51101684570312
2015-12-10,246.7584991455078
2015-12-11,239.6288299560547
2015-12-14,244.7948760986328
2015-12-15,253.22352600097656
2015-12-16,256.42578125
2015-12-17,258.0269775390625
2015-12-18,255.06637573242188
2015-12-21,258.691650390625
2015-12-22,258.1175537109375
2015-12-23,262.31689453125
2015-12-24,261.6522521972656
2015-12-28,262.73980712890625
2015-12-29,262.1356201171875
2015-12-30,262.8002624511719
2015-12-31,264.7034912109375
2016-01-01,266.0629577636719
2016-01-04,262.1356201171875
2016-01-05,263.0116882324219
2016-01-06,267.8755798339844
2016-01-07,252.19635009765625
2016-01-08,257.0602722167969
2016-01-11,256.7279357910156
2016-01-12,256.7279357910156
2016-01-13,248.38992309570312
2016-01-14,240.8070526123047
2016-01-15,235.85256958007812
2016-01-18,234.4326629638672
2016-01-19,236.81927490234375
2016-01-20,225.64141845703125
2016-01-21,228.20932006835938
2016-01-22,241.19979858398438
2016-01-25,242.64990234375
2016-01-27,249.6284637451172
2016-01-28,248.11795043945312
2016-01-29,264.12945556640625
2016-02-01,264.7337341308594
2016-02-02,251.3505096435547
2016-02-03,247.18150329589844
2016-02-04,244.85525512695312
2016-02-05,248.93368530273438
2016-02-08,243.8280792236328
2016-02-09,235.82235717773438
2016-02-10,238.8433837890625
2016-02-11,234.2514190673828
2016-02-12,229.23648071289062
2016-02-15,244.70416259765625
2016-02-16,243.76766967773438
2016-02-17,239.0246124267578
2016-02-18,237.87664794921875
2016-02-19,240.50497436523438
2016-02-22,238.48086547851562
2016-02-23,238.26937866210938
2016-02-24,228.8135223388672
2016-02-25,230.92825317382812
2016-02-26,228.72291564941406
2016-02-29,230.595947265625
2016-03-01,245.4896697998047
2016-03-02,248.6617889404297
2016-03-03,256.6372985839844
2016-03-04,268.7516784667969
2016-03-08,263.1325378417969
2016-03-09,262.86065673828125
2016-03-10,270.3527526855469
2016-03-11,264.9451599121094
2016-03-14,265.85150146484375
2016-03-15,262.37725830078125
2016-03-16,260.0510559082031
2016-03-17,264.2201232910156
2016-03-18,266.4556884765625
2016-03-21,269.0235900878906
2016-03-22,268.5100402832031
2016-03-23,275.7302551269531
2016-03-28,272.8905029296875
2016-03-29,272.709228515625
2016-03-30,285.2465515136719
2016-03-31,288.630126953125
2016-04-01,281.8327941894531
2016-04-04,282.4671936035156
2016-04-05,277.08978271484375
2016-04-06,276.7272033691406
2016-04-07,279.5971984863281
2016-04-08,277.9356384277344
2016-04-11,287.5123291015625
2016-04-12,298.2672119140625
2016-04-13,304.39990234375
2016-04-18,306.4844055175781
2016-04-20,304.76251220703125
2016-04-21,310.6837158203125
2016-04-22,316.1819763183594
2016-04-25,316.967529296875
2016-04-26,308.4783630371094
2016-04-27,311.1368408203125
2016-04-28,312.34527587890625
2016-04-29,325.0033874511719
2016-05-02,359.4433288574219
2016-05-03,350.1082458496094
2016-05-04,349.8967590332031
2016-05-05,357.9629211425781
2016-05-06,358.23486328125
2016-05-09,354.7908935546875
2016-05-10,355.6366882324219
2016-05-11,358.6275939941406
2016-05-12,362.1319885253906
2016-05-13,352.7063293457031
2016-05-16,353.3710021972656
2016-05-17,350.5614013671875
2016-05-18,344.64019775390625
2016-05-19,338.99090576171875
2016-05-20,348.2049560546875
2016-05-23,344.82147216796875
2016-05-24,343.34112548828125
2016-05-25,355.4856872558594
2016-05-26,358.26507568359375
2016-05-27,359.745361328125
2016-05-30,357.5400390625
