Date,ISP.MI
2015-08-24,1.5234527587890625
2015-08-25,1.6486960649490356
2015-08-26,1.657935619354248
2015-08-27,1.6989988088607788
2015-08-28,1.6651215553283691
2015-08-31,1.6702548265457153
2015-09-01,1.6209784746170044
2015-09-02,1.661015272140503
2015-09-03,1.6907861232757568
2015-09-04,1.6117392778396606
2015-09-07,1.6117392778396606
2015-09-08,1.6466431617736816
2015-09-09,1.6476696729660034
2015-09-10,1.6445900201797485
2015-09-11,1.6230313777923584
2015-09-14,1.5942867994308472
2015-09-15,1.6281641721725464
2015-09-16,1.6281641721725464
2015-09-17,1.6425366401672363
2015-09-18,1.5809416770935059
2015-09-21,1.6220053434371948
2015-09-22,1.577862024307251
2015-09-23,1.5706756114959717
2015-09-24,1.550144076347351
2015-09-25,1.606606125831604
2015-09-28,1.5737556219100952
2015-09-29,1.5737556219100952
2015-09-30,1.6199514865875244
2015-10-01,1.6014734506607056
2015-10-02,1.6158455610275269
2015-10-05,1.6569089889526367
2015-10-06,1.6753870248794556
2015-10-07,1.6271380186080933
2015-10-08,1.6343238353729248
2015-10-09,1.6353505849838257
2015-10-12,1.629191279411316
2015-10-13,1.6332975625991821
2015-10-14,1.6230313777923584
2015-10-15,1.6466431617736816
2015-10-16,1.671281099319458
2015-10-19,1.6836001873016357
2015-10-20,1.674360990524292
2015-10-21,1.6538289785385132
2015-10-22,1.6630685329437256
2015-10-23,1.6507494449615479
2015-10-26,1.6476696729660034
2015-10-27,1.6528024673461914
2015-10-28,1.6794936656951904
2015-10-29,1.6517760753631592
2015-10-30,1.626111388206482
2015-11-02,1.6322709321975708
2015-11-03,1.6137925386428833
2015-11-04,1.5788884162902832
2015-11-05,1.5871009826660156
2015-11-06,1.6302177906036377
2015-11-09,1.6004468202590942
2015-11-10,1.626111388206482
2015-11-11,1.6230313777923584
2015-11-12,1.6024998426437378
2015-11-13,1.6035265922546387
2015-11-16,1.606606125831604
2015-11-17,1.6271380186080933
2015-11-18,1.6014734506607056
2015-11-19,1.6189253330230713
2015-11-20,1.5983936786651611
2015-11-23,1.6158455610275269
2015-11-24,1.5953137874603271
2015-11-25,1.6322709321975708
2015-11-26,1.6404838562011719
2015-11-27,1.6497225761413574
2015-11-30,1.6671745777130127
2015-12-01,1.6630685329437256
2015-12-02,1.655882477760315
2015-12-03,1.6076326370239258
2015-12-04,1.6250847578048706
2015-12-07,1.6271380186080933
2015-12-08,1.596340537071228
2015-12-09,1.5860744714736938
2015-12-10,1.5727287530899048
