Date,SW.PA
2015-08-24,40.498992919921875
2015-08-25,41.62958526611328
2015-08-26,40.146331787109375
2015-08-27,41.17319869995117
2015-08-28,40.758304595947266
2015-08-31,40.675323486328125
2015-09-01,40.001121520996094
2015-09-02,40.05816650390625
2015-09-03,40.42638397216797
2015-09-04,39.51361846923828
2015-09-07,39.66401672363281
2015-09-08,39.94925308227539
2015-09-09,40.62864685058594
2015-09-10,39.887020111083984
2015-09-11,38.75643539428711
2015-09-14,38.49712371826172
2015-09-15,38.471187591552734
2015-09-16,38.95350646972656
2015-09-17,39.21799850463867
2015-09-18,38.68901062011719
2015-09-21,38.538612365722656
2015-09-22,37.44951248168945
2015-09-23,37.330230712890625
2015-09-24,36.83235549926758
2015-09-25,37.90070724487305
2015-09-28,37.34059524536133
2015-09-29,36.99831008911133
2015-09-30,38.377838134765625
2015-10-01,38.14445877075195
2015-10-02,38.32598114013672
2015-10-05,39.430633544921875
2015-10-06,39.64845657348633
2015-10-07,39.50843048095703
2015-10-08,40.01148986816406
2015-10-09,40.244869232177734
2015-10-12,40.02704620361328
2015-10-13,39.53955078125
2015-10-14,38.886077880859375
2015-10-15,38.93275833129883
2015-10-16,39.05723190307617
2015-10-19,39.48250198364258
2015-10-20,39.632904052734375
2015-10-21,39.7418098449707
2015-10-22,40.79979705810547
2015-10-23,41.837032318115234
2015-10-26,41.41176223754883
2015-10-27,41.16282653808594
2015-10-28,40.91388702392578
2015-10-29,41.33396911621094
2015-10-30,41.99261474609375
2015-11-02,41.48955154418945
2015-11-03,41.69181823730469
2015-11-04,40.71681594848633
2015-11-05,40.44194793701172
2015-11-06,40.54566955566406
2015-11-09,40.042606353759766
2015-11-10,40.76348876953125
2015-11-11,41.204315185546875
2015-11-12,40.78942108154297
2015-11-13,40.20337677001953
2015-11-16,40.348594665527344
2015-11-17,41.42731857299805
2015-11-18,41.639957427978516
2015-11-19,45.74223709106445
2015-11-20,46.297157287597656
2015-11-23,47.05952072143555
2015-11-24,46.929874420166016
2015-11-25,47.806339263916016
2015-11-26,48.3249626159668
2015-11-27,48.14862823486328
2015-11-30,48.52204132080078
2015-12-01,48.95767593383789
2015-12-02,49.310340881347656
2015-12-03,48.10195541381836
2015-12-04,48.28865432739258
2015-12-07,48.26791763305664
2015-12-08,47.99822998046875
2015-12-09,47.531471252441406
2015-12-10,47.06990051269531
2015-12-11,46.758731842041016
2015-12-14,46.08452606201172
2015-12-15,46.45792770385742
2015-12-16,46.924686431884766
2015-12-17,47.661128997802734
2015-12-18,46.935062408447266
2015-12-21,46.323089599609375
2015-12-22,45.814842224121094
2015-12-23,46.49423599243164
2015-12-24,46.7120475769043
2015-12-28,46.68093490600586
2015-12-29,47.57815170288086
2015-12-30,47.43293380737305
2016-01-04,45.84077453613281
2016-01-05,46.582401275634766
2016-01-06,46.499420166015625
2016-01-07,45.68518829345703
2016-01-08,45.43625259399414
2016-01-11,45.695556640625
2016-01-12,46.06377410888672
2016-01-13,47.308467864990234
2016-01-14,44.912445068359375
2016-01-15,44.388641357421875
2016-01-18,44.72056198120117
2016-01-19,45.259918212890625
2016-01-20,43.58477783203125
2016-01-21,43.83890151977539
2016-01-22,45.529605865478516
2016-01-25,45.5555305480957
2016-01-26,45.68518829345703
2016-01-27,46.157127380371094
2016-01-28,45.960052490234375
2016-01-29,46.758731842041016
2016-02-01,47.448490142822266
2016-02-02,46.50979232788086
2016-02-03,46.38532257080078
2016-02-04,46.12601089477539
2016-02-05,46.411251068115234
2016-02-08,45.03388977050781
2016-02-09,45.103668212890625
2016-02-10,45.51697540283203
2016-02-11,43.879859924316406
2016-02-12,44.88896560668945
2016-02-15,47.003787994384766
2016-02-16,47.572750091552734
2016-02-17,48.5120735168457
2016-02-18,48.53891372680664
2016-02-19,48.03436279296875
2016-02-22,48.64089584350586
2016-02-23,48.28126907348633
2016-02-24,47.878700256347656
2016-02-25,48.76435470581055
2016-02-26,49.37625503540039
2016-02-29,50.27800369262695
2016-03-01,50.685951232910156
2016-03-02,50.22432327270508
2016-03-03,49.67683792114258
2016-03-04,49.60706329345703
2016-03-07,49.521175384521484
2016-03-08,49.580223083496094
2016-03-09,49.83249282836914
2016-03-10,49.2313346862793
2016-03-11,51.238800048828125
2016-03-14,51.52864074707031
