Date,HINDCOPPER.NS
2015-08-21,55.257144927978516
2015-08-24,49.56398391723633
2015-08-25,48.70283889770508
2015-08-26,49.27693557739258
2015-08-27,50.42513656616211
2015-08-28,51.334129333496094
2015-08-31,50.999237060546875
2015-09-01,49.0855712890625
2015-09-02,49.229095458984375
2015-09-03,49.75535583496094
2015-09-04,48.36793899536133
2015-09-07,48.46363067626953
2015-09-08,49.0855712890625
2015-09-09,50.807865142822266
2015-09-10,49.70751190185547
2015-09-11,50.138084411621094
2015-09-14,51.04707336425781
2015-09-15,50.28160858154297
2015-09-16,50.855712890625
2015-09-18,53.487003326416016
2015-09-21,54.204627990722656
2015-09-22,53.199954986572266
2015-09-23,53.056427001953125
2015-09-24,52.147438049316406
2015-09-28,50.95139694213867
2015-09-29,50.807865142822266
2015-09-30,50.999237060546875
2015-10-01,51.334129333496094
2015-10-05,52.147438049316406
2015-10-06,55.16146469116211
2015-10-07,55.35282897949219
2015-10-08,55.257144927978516
2015-10-09,55.879093170166016
2015-10-12,57.69707489013672
2015-10-13,57.3621826171875
2015-10-14,56.644561767578125
2015-10-15,56.54887008666992
2015-10-16,56.596717834472656
2015-10-19,56.166141510009766
2015-10-20,56.26182174682617
2015-10-21,56.40534973144531
2015-10-23,56.40534973144531
2015-10-26,55.01793670654297
2015-10-27,55.30499267578125
2015-10-28,55.974769592285156
2015-10-29,55.113616943359375
2015-10-30,54.53952407836914
2015-11-02,54.58736038208008
2015-11-03,54.39599609375
2015-11-04,54.300315856933594
2015-11-05,52.6258544921875
2015-11-06,51.19060516357422
2015-11-09,52.003910064697266
2015-11-10,51.573341369628906
2015-11-13,50.807865142822266
2015-11-16,52.43448257446289
2015-11-17,52.86506652832031
2015-11-18,51.95606994628906
2015-11-19,52.6258544921875
2015-11-20,51.908226013183594
2015-11-23,52.386653900146484
2015-11-24,52.195281982421875
2015-11-26,53.82189178466797
2015-11-27,56.070457458496094
2015-11-30,55.01793670654297
2015-12-01,55.92693328857422
2015-12-02,57.41002655029297
2015-12-03,56.02260971069336
2015-12-04,54.300315856933594
2015-12-07,54.53952407836914
2015-12-08,53.726219177246094
2015-12-09,52.0995979309082
2015-12-10,53.247798919677734
2015-12-11,52.29096603393555
2015-12-14,52.24312210083008
2015-12-15,52.0517578125
2015-12-16,52.24312210083008
