Date,DIXON.NS
2017-09-18,575.664794921875
2017-09-19,575.8539428710938
2017-09-20,558.8023071289062
2017-09-21,550.3411254882812
2017-09-22,529.4968872070312
2017-09-25,520.1597900390625
2017-09-26,524.5794677734375
2017-09-27,517.5816650390625
2017-09-28,524.3704833984375
2017-09-29,527.326904296875
2017-10-03,536.7138061523438
2017-10-04,542.0691528320312
2017-10-05,536.9625854492188
2017-10-06,532.9908447265625
2017-10-09,523.9224853515625
2017-10-10,530.1141357421875
2017-10-11,531.0498046875
2017-10-12,546.0309448242188
2017-10-13,544.308837890625
2017-10-16,531.9257202148438
2017-10-17,527.8046264648438
2017-10-18,530.1041259765625
2017-10-19,528.5413818359375
2017-10-23,528.7603149414062
2017-10-24,549.5347900390625
2017-10-25,551.0977172851562
2017-10-26,548.3303833007812
2017-10-27,544.9559326171875
2017-10-30,544.8363647460938
2017-10-31,542.3677368164062
2017-11-01,539.9788208007812
2017-11-02,538.3263549804688
2017-11-03,535.2106323242188
2017-11-06,536.0169677734375
2017-11-07,531.0797119140625
2017-11-08,534.1954345703125
2017-11-09,533.0704956054688
2017-11-10,536.5943603515625
2017-11-13,538.4955444335938
2017-11-14,543.7415771484375
2017-11-15,535.5292358398438
2017-11-16,550.1719970703125
2017-11-17,576.1625366210938
2017-11-20,620.5485229492188
2017-11-21,614.7949829101562
2017-11-22,618.358642578125
2017-11-23,636.3359985351562
2017-11-24,644.0604858398438
2017-11-27,655.7567138671875
2017-11-28,669.842041015625
2017-11-29,686.356201171875
2017-11-30,700.7101440429688
2017-12-01,677.34765625
2017-12-04,674.9784545898438
2017-12-05,675.37646484375
2017-12-06,684.4150390625
2017-12-07,698.261474609375
2017-12-08,701.1482543945312
2017-12-11,686.823974609375
2017-12-12,671.0664672851562
2017-12-13,650.052978515625
2017-12-14,638.00830078125
2017-12-15,636.1369018554688
2017-12-18,697.0470581054688
2017-12-19,723.1470947265625
2017-12-20,763.4518432617188
2017-12-21,767.0453491210938
2017-12-22,803.7168579101562
2017-12-26,874.8300170898438
2017-12-27,839.3630981445312
2017-12-28,852.811279296875
2017-12-29,834.3560180664062
2018-01-01,833.67919921875
2018-01-02,823.6353149414062
2018-01-03,836.2474365234375
2018-01-04,821.7041015625
2018-01-05,809.9183959960938
2018-01-08,812.8946533203125
2018-01-09,806.21533203125
2018-01-10,801.6762084960938
2018-01-11,776.5816040039062
2018-01-12,765.412841796875
2018-01-15,756.0260620117188
2018-01-16,737.3418579101562
2018-01-17,725.4663696289062
2018-01-18,755.4386596679688
2018-01-19,762.5261840820312
2018-01-22,761.4710083007812
2018-01-23,754.6722412109375
2018-01-24,748.1820678710938
2018-01-25,759.2412109375
2018-01-29,753.3085327148438
2018-01-30,753.9954223632812
2018-01-31,746.63916015625
2018-02-01,761.6103515625
2018-02-02,734.1763916015625
2018-02-05,736.0875854492188
2018-02-06,721.1163330078125
2018-02-07,766.9259643554688
2018-02-08,699.4061889648438
2018-02-09,688.4962768554688
2018-02-12,684.1362915039062
2018-02-14,668.1796875
2018-02-15,653.9051513671875
2018-02-16,640.0887451171875
2018-02-19,628.4821166992188
2018-02-20,619.9811401367188
2018-02-21,642.9256591796875
2018-02-22,650.1923217773438
2018-02-23,654.0844116210938
2018-02-26,670.0709838867188
2018-02-27,688.1976928710938
2018-02-28,687.78955078125
2018-03-01,705.4483642578125
2018-03-05,692.0799560546875
2018-03-06,701.0286865234375
2018-03-07,691.9006958007812
2018-03-08,688.0980834960938
2018-03-09,687.1923217773438
2018-03-12,688.6256103515625
2018-03-13,694.8471069335938
2018-03-14,699.7146606445312
2018-03-15,690.785888671875
2018-03-16,686.356201171875
2018-03-19,677.6163330078125
2018-03-20,655.47802734375
2018-03-21,658.5639038085938
2018-03-22,655.2689208984375
2018-03-23,637.9286499023438
2018-03-26,648.00244140625
2018-03-27,650.7796630859375
2018-03-28,655.1994018554688
2018-04-02,646.3898315429688
2018-04-03,656.622802734375
2018-04-04,667.38330078125
2018-04-05,718.5680541992188
2018-04-06,705.8265991210938
2018-04-09,730.4833374023438
2018-04-10,724.0430297851562
2018-04-11,725.6157836914062
2018-04-12,718.0305786132812
2018-04-13,716.1790161132812
2018-04-16,705.1895141601562
2018-04-17,685.2312622070312
2018-04-18,687.0628051757812
2018-04-19,682.8920288085938
2018-04-20,675.8246459960938
2018-04-23,680.0650024414062
2018-04-24,682.7626953125
2018-04-25,675.6353759765625
2018-04-26,687.7994995117188
2018-04-27,689.4718627929688
2018-04-30,721.584228515625
2018-05-02,694.6978149414062
2018-05-03,681.9762573242188
2018-05-04,721.8231811523438
2018-05-07,730.911376953125
2018-05-08,731.0706787109375
2018-05-09,734.9926147460938
2018-05-10,729.0897827148438
2018-05-11,718.4685668945312
2018-05-14,730.682373046875
2018-05-15,724.22216796875
2018-05-16,726.7604370117188
2018-05-17,721.38525390625
2018-05-18,706.8121337890625
2018-05-21,690.6563720703125
2018-05-22,690.7559204101562
2018-05-23,675.177490234375
2018-05-24,677.6760864257812
2018-05-25,680.1047973632812
2018-05-28,681.7174072265625
2018-05-29,678.6515502929688
2018-05-30,679.1891479492188
2018-05-31,647.3154907226562
2018-06-01,651.446533203125
2018-06-04,643.2242431640625
2018-06-05,633.4193725585938
2018-06-06,634.4845581054688
2018-06-07,638.5259399414062
2018-06-08,636.2862548828125
2018-06-11,637.74951171875
2018-06-12,636.992919921875
2018-06-13,633.9768676757812
2018-06-14,627.4368896484375
2018-06-15,621.7529296875
2018-06-18,610.255859375
2018-06-19,590.3175048828125
