Date,JD.L
2015-08-24,32.205509185791016
2015-08-25,33.80479049682617
2015-08-26,33.66485595703125
2015-08-27,35.02423858642578
2015-08-28,35.02423858642578
2015-09-01,34.96426010131836
2015-09-02,34.4644889831543
2015-09-03,34.844322204589844
2015-09-04,34.904293060302734
2015-09-07,34.684383392333984
2015-09-08,34.66439437866211
2015-09-09,34.66439437866211
2015-09-10,34.72437286376953
2015-09-11,35.18416213989258
2015-09-14,35.18416213989258
2015-09-15,35.72392654418945
2015-09-16,36.903385162353516
2015-09-17,36.58353805541992
2015-09-18,36.783451080322266
2015-09-21,37.3032112121582
2015-09-22,37.183265686035156
2015-09-23,37.143287658691406
2015-09-24,37.183265686035156
2015-09-25,37.60307312011719
2015-09-28,37.703033447265625
2015-09-29,37.84296798706055
2015-09-30,38.18281555175781
2015-10-01,38.642608642578125
2015-10-02,38.94247817993164
2015-10-05,39.262332916259766
2015-10-06,39.36228561401367
2015-10-07,38.76255416870117
2015-10-08,38.50267028808594
2015-10-09,37.44314956665039
2015-10-12,38.38272476196289
2015-10-13,38.4826774597168
2015-10-14,38.322757720947266
2015-10-15,38.38272476196289
2015-10-16,38.062870025634766
2015-10-19,37.60307312011719
2015-10-20,38.24279022216797
2015-10-21,38.342735290527344
2015-10-22,37.6430549621582
2015-10-23,38.10285186767578
2015-10-26,38.222801208496094
2015-10-27,38.28277587890625
2015-10-28,38.58262634277344
2015-10-29,38.662593841552734
2015-10-30,38.602622985839844
2015-11-02,38.602622985839844
2015-11-03,38.602622985839844
2015-11-04,38.38272476196289
2015-11-05,38.70258712768555
2015-11-06,38.70258712768555
2015-11-09,38.4826774597168
2015-11-10,38.362735748291016
2015-11-11,38.1428337097168
2015-11-12,38.16282653808594
2015-11-13,38.16282653808594
2015-11-16,38.02288818359375
2015-11-17,38.18281555175781
2015-11-18,38.18281555175781
2015-11-19,38.4826774597168
2015-11-20,38.58262634277344
2015-11-23,38.50267028808594
2015-11-24,38.38272476196289
2015-11-25,38.662593841552734
2015-11-26,38.54265213012695
2015-11-27,38.70258712768555
2015-11-30,38.80253219604492
2015-12-01,38.58262634277344
2015-12-02,39.38227844238281
2015-12-03,40.3023567199707
2015-12-04,42.18153381347656
2015-12-07,42.90121078491211
2015-12-08,42.58135223388672
2015-12-09,41.50181579589844
2015-12-10,41.14198303222656
2015-12-11,40.86210632324219
2015-12-14,40.70217514038086
2015-12-15,41.10199737548828
2015-12-16,40.86210632324219
2015-12-17,41.14198303222656
2015-12-18,41.14198303222656
2015-12-21,40.86210632324219
2015-12-22,40.78213882446289
2015-12-23,40.66219711303711
2015-12-24,40.4622802734375
2015-12-29,41.34189224243164
2015-12-30,41.581787109375
2015-12-31,41.621768951416016
2016-01-04,41.022029876708984
2016-01-05,40.58222961425781
2016-01-06,41.26192855834961
2016-01-07,41.74171829223633
2016-01-08,41.30192184448242
2016-01-11,40.50225830078125
2016-01-12,40.74215316772461
2016-01-13,42.301475524902344
2016-01-14,44.06070327758789
2016-01-15,45.30016326904297
2016-01-18,43.10111999511719
2016-01-19,43.540924072265625
2016-01-20,43.26105880737305
2016-01-21,43.540924072265625
2016-01-22,43.860801696777344
2016-01-25,45.380130767822266
2016-01-26,45.380130767822266
2016-01-27,45.69998550415039
2016-01-28,44.98029708862305
2016-01-29,45.73997116088867
2016-02-01,45.9798698425293
2016-02-02,46.5796012878418
2016-02-03,45.66000747680664
2016-02-04,45.06026840209961
2016-02-05,44.2606201171875
2016-02-08,41.221954345703125
2016-02-09,41.621768951416016
2016-02-10,41.781707763671875
2016-02-11,41.38188171386719
2016-02-12,42.26150131225586
2016-02-15,43.141109466552734
2016-02-16,42.7812614440918
2016-02-17,43.460968017578125
2016-02-18,44.06070327758789
2016-02-19,44.620452880859375
2016-02-22,43.8208122253418
2016-02-23,44.540504455566406
2016-02-24,44.300601959228516
2016-02-25,45.100250244140625
2016-02-26,45.30016326904297
2016-02-29,45.81993865966797
2016-03-01,45.77994918823242
2016-03-02,44.82037353515625
2016-03-03,45.54005813598633
2016-03-04,46.05983352661133
2016-03-07,44.98029708862305
2016-03-08,45.66000747680664
2016-03-09,46.01984405517578
2016-03-10,45.14023971557617
2016-03-11,45.50008010864258
2016-03-14,45.73997116088867
2016-03-15,45.69998550415039
2016-03-16,45.9798698425293
2016-03-17,45.9798698425293
2016-03-18,45.14023971557617
2016-03-21,45.460086822509766
2016-03-22,45.50008010864258
2016-03-23,44.22063064575195
2016-03-24,44.14067077636719
2016-03-29,44.540504455566406
2016-03-30,45.18022155761719
2016-03-31,45.02028274536133
2016-04-01,44.540504455566406
2016-04-04,44.82037353515625
2016-04-05,44.940311431884766
2016-04-06,46.01984405517578
2016-04-07,45.54005813598633
2016-04-08,45.620025634765625
2016-04-11,45.69998550415039
2016-04-12,45.69998550415039
2016-04-13,46.41967010498047
2016-04-14,47.69912338256836
2016-04-15,48.0589485168457
2016-04-18,48.45877456665039
2016-04-19,48.61871337890625
2016-04-20,48.85860061645508
2016-04-21,49.25843048095703
2016-04-22,48.97855758666992
2016-04-25,49.33839416503906
2016-04-26,49.53831100463867
2016-04-27,49.85816955566406
2016-04-28,50.297969818115234
2016-04-29,49.93812942504883
2016-05-03,50.01810073852539
2016-05-04,50.297969818115234
2016-05-05,50.577850341796875
2016-05-06,50.577850341796875
2016-05-09,50.93769073486328
2016-05-10,50.65782165527344
2016-05-11,50.49789810180664
2016-05-12,50.09806442260742
2016-05-13,50.3779411315918
2016-05-16,50.1380500793457
2016-05-17,50.1380500793457
2016-05-18,51.21758270263672
2016-05-19,50.53786849975586
2016-05-20,50.857730865478516
2016-05-23,51.17758560180664
2016-05-24,51.97723388671875
2016-05-25,51.37750244140625
2016-05-26,51.97723388671875
2016-05-27,51.81731414794922
2016-05-31,52.5369987487793
2016-06-01,51.97723388671875
2016-06-02,52.13716125488281
2016-06-03,52.257110595703125
2016-06-06,52.257110595703125
2016-06-07,52.377071380615234
2016-06-08,52.73689651489258
2016-06-09,52.576969146728516
2016-06-10,51.657371520996094
2016-06-13,50.817752838134766
2016-06-14,49.698238372802734
2016-06-15,49.778194427490234
2016-06-16,48.97855758666992
2016-06-17,49.53831100463867
2016-06-20,53.136722564697266
2016-06-21,53.136722564697266
2016-06-22,53.256675720214844
2016-06-23,53.17918395996094
2016-06-24,44.62253189086914
2016-06-27,41.46377182006836
2016-06-28,42.70329666137695
2016-06-29,43.66291809082031
2016-06-30,46.101959228515625
2016-07-01,46.261898040771484
2016-07-04,45.70211410522461
2016-07-05,42.90320587158203
2016-07-06,42.303443908691406
2016-07-07,43.70289611816406
2016-07-08,44.542579650878906
2016-07-11,47.10157012939453
2016-07-12,47.34148025512695
2016-07-13,46.98161697387695
2016-07-14,47.10157012939453
2016-07-15,46.98161697387695
2016-07-18,47.301490783691406
2016-07-19,47.14154815673828
2016-07-20,49.10078048706055
2016-07-21,48.58098220825195
2016-07-22,48.46103286743164
2016-07-25,49.540618896484375
2016-07-26,48.86087417602539
2016-07-27,49.420654296875
2016-07-28,49.70055389404297
2016-07-29,50.30031204223633
2016-08-01,50.30031204223633
2016-08-02,50.54022216796875
2016-08-03,51.0200309753418
