Date,PAGEIND.NS
2015-08-21,13385.8251953125
2015-08-24,12166.40625
2015-08-25,12596.4130859375
2015-08-26,12656.0185546875
2015-08-27,13271.912109375
2015-08-28,13003.0546875
2015-08-31,12963.2119140625
2015-09-01,12905.0693359375
2015-09-02,13049.970703125
2015-09-03,12972.248046875
2015-09-04,12878.5078125
2015-09-07,12428.6484375
2015-09-08,11922.056640625
2015-09-09,12391.087890625
2015-09-10,12198.80859375
2015-09-11,12130.947265625
2015-09-14,11815.9462890625
2015-09-15,11815.9462890625
2015-09-16,11618.01171875
2015-09-18,11840.9599609375
2015-09-21,12056.8251953125
2015-09-22,11878.6083984375
2015-09-23,11852.6416015625
2015-09-24,12204.65234375
2015-09-28,12046.6513671875
2015-09-29,11948.755859375
2015-09-30,12114.423828125
2015-10-01,12230.02734375
2015-10-05,12369.6806640625
2015-10-06,12745.6962890625
2015-10-07,12932.22265625
2015-10-08,13012.13671875
2015-10-09,13024.8232421875
2015-10-12,13378.615234375
2015-10-13,13082.6474609375
2015-10-14,13161.0537109375
2015-10-15,12871.5703125
2015-10-16,13026.1044921875
2015-10-19,12994.4755859375
2015-10-20,13124.271484375
2015-10-21,13211.6708984375
2015-10-23,13192.31640625
2015-10-26,13142.298828125
2015-10-27,13071.2861328125
2015-10-28,12891.2822265625
2015-10-29,13047.5048828125
2015-10-30,12846.28515625
2015-11-02,12490.9404296875
2015-11-03,12617.8154296875
2015-11-04,12567.6142578125
2015-11-05,12416.7802734375
2015-11-06,12297.9365234375
2015-11-09,11944.7841796875
2015-11-10,11605.322265625
2015-11-13,11067.8818359375
2015-11-16,11250.5673828125
2015-11-17,11331.9501953125
2015-11-18,11665.6904296875
2015-11-19,12100.515625
2015-11-20,12037.65234375
2015-11-23,11750.677734375
2015-11-24,11713.6005859375
2015-11-26,11905.1142578125
2015-11-27,12096.125
2015-11-30,12096.125
2015-12-01,11813.5888671875
2015-12-02,11846.1396484375
2015-12-03,12039.43359375
2015-12-04,11884.8623046875
2015-12-07,11750.6298828125
2015-12-08,11721.9228515625
2015-12-09,11617.8720703125
2015-12-10,11613.0244140625
2015-12-11,11683.2421875
2015-12-14,11559.2578125
2015-12-15,11905.7978515625
2015-12-16,11988.595703125
2015-12-17,12037.92578125
2015-12-18,11841.84375
2015-12-21,11843.8544921875
2015-12-22,11654.125
2015-12-23,11870.1416015625
2015-12-24,11858.0234375
2015-12-28,11860.998046875
2015-12-29,11948.40625
2015-12-30,11976.7529296875
2015-12-31,12224.638671875
2016-01-01,12353.287109375
2016-01-04,12396.90234375
2016-01-05,12644.2333984375
2016-01-06,12499.400390625
2016-01-07,12063.5693359375
2016-01-08,12171.23828125
2016-01-11,12184.7236328125
2016-01-12,11943.6552734375
2016-01-13,12047.798828125
2016-01-14,11953.3935546875
2016-01-15,11562.3671875
2016-01-18,11432.6201171875
2016-01-19,11661.439453125
2016-01-20,11414.1015625
2016-01-21,11125.7158203125
2016-01-22,11256.333984375
2016-01-25,11415.3388671875
2016-01-27,11129.9208984375
2016-01-28,10965.2919921875
2016-01-29,11066.6943359375
2016-02-01,11227.30078125
2016-02-02,11245.3603515625
2016-02-03,11030.7607421875
2016-02-04,10900.2822265625
2016-02-05,10788.95703125
2016-02-08,10946.3642578125
2016-02-09,10712.333984375
2016-02-10,10550.9521484375
2016-02-11,9760.212890625
2016-02-12,9382.447265625
2016-02-15,9874.1455078125
2016-02-16,9829.2001953125
2016-02-17,9695.6259765625
2016-02-18,9553.21484375
2016-02-19,9400.3076171875
2016-02-22,9671.5341796875
2016-02-23,9411.3466796875
2016-02-24,9394.4921875
2016-02-25,9173.01171875
2016-02-26,9170.1259765625
2016-02-29,9052.4033203125
2016-03-01,9149.7431640625
2016-03-02,9465.0830078125
2016-03-03,9480.2431640625
2016-03-04,9575.201171875
2016-03-08,9814.8671875
2016-03-09,10262.265625
2016-03-10,10455.48046875
2016-03-11,10413.8427734375
2016-03-14,10553.1904296875
2016-03-15,10331.3896484375
