Date,GM
2015-08-03,25.029796600341797
2015-08-04,24.903390884399414
2015-08-05,24.966594696044922
2015-08-06,25.172012329101562
2015-08-07,25.07720184326172
2015-08-10,25.23522186279297
2015-08-11,24.358232498168945
2015-08-12,24.389835357666016
2015-08-13,24.53995132446289
2015-08-14,24.879684448242188
2015-08-17,24.97449493408203
2015-08-18,25.053499221801758
2015-08-19,24.99029541015625
2015-08-20,24.366132736206055
2015-08-21,23.386430740356445
2015-08-24,21.96428108215332
2015-08-25,21.553442001342773
2015-08-26,22.20130729675293
2015-08-27,22.580547332763672
2015-08-28,22.912376403808594
2015-08-31,23.26001739501953
2015-09-01,22.627948760986328
2015-09-02,23.078298568725586
2015-09-03,22.99929428100586
2015-09-04,22.81756591796875
2015-09-08,23.60765266418457
2015-09-09,23.402233123779297
2015-09-10,23.99408721923828
2015-09-11,24.114055633544922
2015-09-14,24.569944381713867
2015-09-15,24.785890579223633
2015-09-16,24.953847885131836
2015-09-17,25.04183006286621
2015-09-18,24.401987075805664
2015-09-21,24.489959716796875
2015-09-22,24.01807975769043
2015-09-23,23.7701416015625
2015-09-24,23.546199798583984
2015-09-25,23.522199630737305
2015-09-28,22.842370986938477
2015-09-29,23.314250946044922
2015-09-30,24.010074615478516
2015-10-01,24.529953002929688
2015-10-02,25.37774085998535
2015-10-05,25.40174102783203
2015-10-06,25.769643783569336
2015-10-07,26.433483123779297
2015-10-08,26.737415313720703
2015-10-09,26.35350227355957
2015-10-12,26.40949249267578
2015-10-13,26.497467041015625
2015-10-14,26.65742301940918
2015-10-15,26.64943504333496
2015-10-16,26.513465881347656
2015-10-19,26.58544921875
2015-10-20,26.77739906311035
2015-10-21,28.329021453857422
2015-10-22,28.329021453857422
2015-10-23,28.75291633605957
2015-10-26,28.52896499633789
2015-10-27,27.96910285949707
2015-10-28,28.169055938720703
2015-10-29,27.793149948120117
2015-10-30,27.921117782592773
2015-11-02,28.4489803314209
2015-11-03,28.616952896118164
2015-11-04,28.329021453857422
2015-11-05,28.345008850097656
2015-11-06,28.592947006225586
2015-11-09,28.52896499633789
2015-11-10,28.488969802856445
