Date,NEM
2015-08-03,12.928221702575684
2015-08-04,12.912473678588867
2015-08-05,12.873109817504883
2015-08-06,12.880983352661133
2015-08-07,12.707763671875
2015-08-10,13.345512390136719
2015-08-11,13.4085054397583
2015-08-12,14.28245735168457
2015-08-13,13.770676612854004
2015-08-14,13.66044807434082
2015-08-17,14.05412769317627
2015-08-18,13.810050010681152
2015-08-19,14.117115020751953
2015-08-20,14.605265617370605
2015-08-21,14.28245735168457
2015-08-24,13.298273086547852
2015-08-25,12.73138427734375
2015-08-26,12.4479398727417
2015-08-27,13.148679733276367
2015-08-28,13.518732070922852
2015-08-31,13.439994812011719
2015-09-01,13.1722993850708
2015-09-02,12.762879371643066
2015-09-03,12.747130393981934
2015-09-04,12.361330032348633
2015-09-08,12.586084365844727
2015-09-09,12.317957878112793
2015-09-10,12.270644187927246
2015-09-11,12.806893348693848
2015-09-14,12.5308837890625
2015-09-15,12.593971252441406
2015-09-16,13.358915328979492
2015-09-17,13.595491409301758
2015-09-18,13.390454292297363
2015-09-21,13.114444732666016
2015-09-22,12.294301986694336
2015-09-23,12.262754440307617
2015-09-24,13.232739448547363
2015-09-25,13.082902908325195
2015-09-28,12.633402824401855
2015-09-29,12.47568130493164
2015-09-30,12.67282772064209
2015-10-01,12.491451263427734
2015-10-02,13.461429595947266
2015-10-05,14.155399322509766
2015-10-06,14.470839500427246
2015-10-07,14.936116218566895
2015-10-08,14.715312004089355
2015-10-09,14.928230285644531
2015-10-12,14.549697875976562
2015-10-13,14.486615180969238
2015-10-14,15.35407829284668
2015-10-15,15.220014572143555
2015-10-16,14.975544929504395
2015-10-19,14.628558158874512
2015-10-20,14.857258796691895
2015-10-21,14.526044845581055
2015-10-22,15.007095336914062
2015-10-23,15.417159080505371
2015-10-26,14.825709342956543
2015-10-27,14.802057266235352
2015-10-28,15.10172176361084
2015-10-29,15.685290336608887
2015-10-30,15.346186637878418
2015-11-02,15.480247497558594
2015-11-03,15.156925201416016
2015-11-04,14.99131965637207
2015-11-05,13.800529479980469
2015-11-06,13.832075119018555
2015-11-09,14.08442497253418
2015-11-10,13.768986701965332
2015-11-11,14.029231071472168
2015-11-12,13.66646957397461
2015-11-13,13.800529479980469
2015-11-16,13.903047561645508
2015-11-17,13.311594009399414
2015-11-18,13.903047561645508
2015-11-19,14.234258651733398
2015-11-20,13.94247817993164
2015-11-23,13.84784984588623
2015-11-24,14.19483470916748
2015-11-25,14.123857498168945
2015-11-27,13.71377944946289
