Date,TITAN.NS
2015-08-21,330.99090576171875
2015-08-24,319.74322509765625
2015-08-25,314.3596496582031
2015-08-26,312.1966857910156
2015-08-27,333.6346435546875
2015-08-28,328.3952941894531
2015-08-31,324.7421875
2015-09-01,322.0023498535156
2015-09-02,310.6104736328125
2015-09-03,314.5519714355469
2015-09-04,320.0796813964844
2015-09-07,319.5509338378906
2015-09-08,309.5528869628906
2015-09-09,317.7724304199219
2015-09-10,313.3503112792969
2015-09-11,313.8309631347656
2015-09-14,316.2823791503906
2015-09-15,313.3983459472656
2015-09-16,315.0806579589844
2015-09-18,309.4568176269531
2015-09-21,306.38055419921875
2015-09-22,306.5246887207031
2015-09-23,307.53411865234375
2015-09-24,312.2927551269531
2015-09-28,313.4944763183594
2015-09-29,308.7839050292969
2015-09-30,305.5633850097656
2015-10-01,314.6000061035156
2015-10-05,318.06085205078125
2015-10-06,335.0285949707031
2015-10-07,331.80810546875
2015-10-08,327.8665466308594
2015-10-09,329.9335021972656
2015-10-12,329.40472412109375
2015-10-13,330.17376708984375
2015-10-14,334.98052978515625
2015-10-15,339.3065490722656
2015-10-16,340.2679138183594
2015-10-19,337.3839111328125
2015-10-20,338.4894714355469
2015-10-21,334.3556213378906
2015-10-23,330.41412353515625
2015-10-26,331.4715881347656
2015-10-27,327.24169921875
2015-10-28,337.2396545410156
2015-10-29,338.6816711425781
2015-10-30,336.4225158691406
2015-11-02,342.81549072265625
2015-11-03,334.93243408203125
2015-11-04,334.54791259765625
2015-11-05,335.2689208984375
2015-11-06,336.5186462402344
2015-11-09,340.7005310058594
2015-11-10,339.162353515625
2015-11-13,340.9407958984375
2015-11-16,345.7956848144531
2015-11-17,344.5459289550781
2015-11-18,346.85308837890625
2015-11-19,355.6013488769531
2015-11-20,357.3317565917969
2015-11-23,365.5993347167969
2015-11-24,363.436279296875
2015-11-26,373.5304260253906
2015-11-27,365.2148132324219
2015-11-30,366.7529602050781
2015-12-01,363.2921142578125
2015-12-02,362.13848876953125
2015-12-03,357.6201171875
2015-12-04,352.57305908203125
2015-12-07,353.6305847167969
2015-12-08,351.6597900390625
2015-12-09,345.8917541503906
2015-12-10,348.72772216796875
2015-12-11,338.9219970703125
2015-12-14,339.54693603515625
2015-12-15,349.9774475097656
2015-12-16,341.7099609375
2015-12-17,339.498779296875
2015-12-18,347.814453125
2015-12-21,341.3735046386719
2015-12-22,347.3818359375
2015-12-23,344.3536376953125
2015-12-24,337.095458984375
2015-12-28,336.9512634277344
2015-12-29,337.7203369140625
2015-12-30,336.326416015625
2015-12-31,333.730712890625
2016-01-01,338.4413146972656
2016-01-04,337.8164978027344
2016-01-05,334.2594909667969
2016-01-06,334.40374755859375
2016-01-07,330.7506103515625
2016-01-08,334.54791259765625
2016-01-11,331.7119445800781
2016-01-12,333.4904479980469
2016-01-13,336.4225158691406
2016-01-14,328.491455078125
2016-01-15,322.8675842285156
2016-01-18,321.3294677734375
2016-01-19,326.0880432128906
2016-01-20,327.67431640625
2016-01-21,330.1257019042969
2016-01-22,334.16339111328125
2016-01-25,340.74853515625
2016-01-27,336.13409423828125
2016-01-28,325.8957824707031
2016-01-29,349.6410217285156
2016-02-01,346.0359802246094
2016-02-02,338.39324951171875
2016-02-03,340.364013671875
2016-02-04,348.0066833496094
2016-02-05,355.264892578125
2016-02-08,357.2356872558594
2016-02-09,352.66925048828125
2016-02-10,356.0820007324219
2016-02-11,342.57513427734375
2016-02-12,342.0944519042969
2016-02-15,344.834228515625
2016-02-16,334.115234375
2016-02-17,314.2154541015625
2016-02-18,320.7526550292969
2016-02-19,321.7620544433594
2016-02-22,324.83837890625
2016-02-23,316.7149963378906
2016-02-24,314.3116149902344
2016-02-25,311.2352600097656
2016-02-26,317.38787841796875
2016-02-29,304.5539245605469
2016-03-01,324.45379638671875
2016-03-02,320.9928894042969
2016-03-03,328.9240417480469
2016-03-04,325.3670654296875
2016-03-08,328.3471984863281
2016-03-09,326.7129821777344
2016-03-10,325.9438781738281
2016-03-11,332.62518310546875
2016-03-14,327.9626770019531
2016-03-15,330.5102233886719
2016-03-16,326.5206298828125
2016-03-17,326.3764953613281
2016-03-18,324.7421875
2016-03-21,328.8760070800781
2016-03-22,346.969482421875
2016-03-23,341.26080322265625
2016-03-28,316.7813720703125
2016-03-29,319.05511474609375
2016-03-30,327.27947998046875
2016-03-31,328.1019287109375
2016-04-01,328.4405822753906
2016-04-04,333.3751220703125
2016-04-05,334.39105224609375
2016-04-06,336.8100280761719
2016-04-07,328.2954406738281
2016-04-08,324.95733642578125
2016-04-11,333.3751220703125
2016-04-12,339.035400390625
2016-04-13,341.4059143066406
2016-04-18,350.065673828125
2016-04-20,361.6764831542969
2016-04-21,357.37078857421875
2016-04-22,359.5962219238281
2016-04-25,361.48297119140625
2016-04-26,359.7897644042969
2016-04-27,359.4511413574219
2016-04-28,357.5643005371094
2016-04-29,344.3570556640625
2016-05-02,355.7259521484375
2016-05-03,348.42083740234375
2016-05-04,348.3724365234375
2016-05-05,347.5500183105469
2016-05-06,353.5972900390625
2016-05-09,353.64569091796875
2016-05-10,359.7897644042969
2016-05-11,359.93487548828125
2016-05-12,361.8699951171875
2016-05-13,352.87164306640625
2016-05-16,353.01678466796875
2016-05-17,352.9200134277344
2016-05-18,353.4037780761719
2016-05-19,352.14599609375
2016-05-20,354.1778564453125
2016-05-23,350.8397216796875
2016-05-24,350.8397216796875
2016-05-25,352.7264404296875
2016-05-26,350.16241455078125
2016-05-27,348.7594909667969
2016-05-30,351.75885009765625
