Date,JYOTHYLAB.NS
2015-08-21,136.56153869628906
2015-08-24,118.9872817993164
2015-08-25,128.62619018554688
2015-08-26,128.0223846435547
2015-08-27,133.17604064941406
2015-08-28,137.27310180664062
2015-08-31,136.02244567871094
2015-09-01,136.9712371826172
2015-09-02,133.08981323242188
2015-09-03,132.6800994873047
2015-09-04,137.96315002441406
2015-09-07,129.72589111328125
2015-09-08,130.99815368652344
2015-09-09,133.5857696533203
2015-09-10,134.16796875
2015-09-11,132.52914428710938
2015-09-14,134.53457641601562
2015-09-15,133.8660888671875
2015-09-16,133.84451293945312
2015-09-18,134.96580505371094
2015-09-21,134.0817108154297
2015-09-22,135.33241271972656
2015-09-23,133.305419921875
2015-09-24,133.2191925048828
2015-09-28,132.2272491455078
2015-09-29,132.63694763183594
2015-09-30,137.12217712402344
2015-10-01,136.17340087890625
2015-10-05,135.5911865234375
2015-10-06,137.59657287597656
2015-10-07,137.44564819335938
2015-10-08,135.54806518554688
2015-10-09,137.7690887451172
2015-10-12,138.00628662109375
2015-10-13,135.9362030029297
2015-10-14,135.4402313232422
2015-10-15,134.6208038330078
2015-10-16,134.4698486328125
2015-10-19,134.81488037109375
2015-10-20,135.00892639160156
2015-10-21,134.21112060546875
2015-10-23,132.93887329101562
2015-10-26,134.5129852294922
2015-10-27,134.70709228515625
2015-10-28,135.56961059570312
2015-10-29,134.23263549804688
2015-10-30,132.63694763183594
2015-11-02,131.77442932128906
2015-11-03,130.91189575195312
2015-11-04,131.17063903808594
2015-11-05,131.12753295898438
2015-11-06,130.7825469970703
2015-11-09,131.25689697265625
2015-11-10,128.38897705078125
2015-11-13,129.7906036376953
2015-11-16,128.7555389404297
2015-11-17,129.4240264892578
2015-11-18,129.5533905029297
2015-11-19,129.16526794433594
2015-11-20,129.51026916503906
2015-11-23,130.61001586914062
2015-11-24,129.44558715820312
2015-11-26,128.86337280273438
2015-11-27,133.1544952392578
2015-11-30,134.81488037109375
2015-12-01,135.8068084716797
2015-12-02,136.02244567871094
2015-12-03,135.5049285888672
2015-12-04,135.48336791992188
2015-12-07,133.1329345703125
2015-12-08,131.5587921142578
2015-12-09,130.43751525878906
2015-12-10,130.04934692382812
2015-12-11,129.8553009033203
2015-12-14,130.91189575195312
2015-12-15,131.21377563476562
2015-12-16,128.36741638183594
2015-12-17,130.09246826171875
2015-12-18,130.82566833496094
2015-12-21,130.65313720703125
2015-12-22,128.99273681640625
2015-12-23,127.26769256591797
2015-12-24,128.841796875
2015-12-28,129.51026916503906
2015-12-29,128.43209838867188
2015-12-30,130.61001586914062
2015-12-31,135.35394287109375
2016-01-01,137.51031494140625
2016-01-04,132.572265625
2016-01-05,132.0547637939453
2016-01-06,132.87417602539062
2016-01-07,132.61541748046875
2016-01-08,131.94692993164062
2016-01-11,131.5587921142578
2016-01-12,130.7609405517578
2016-01-13,129.44558715820312
2016-01-14,126.81483459472656
2016-01-15,126.98736572265625
2016-01-18,120.00078582763672
2016-01-19,119.54794311523438
2016-01-20,117.77976989746094
2016-01-21,115.04118347167969
2016-01-22,117.4994125366211
2016-01-25,122.9549560546875
2016-01-27,124.59378051757812
2016-01-28,121.9415054321289
2016-01-29,123.7096939086914
2016-02-01,122.15711975097656
2016-02-02,121.1867446899414
2016-02-03,121.33771514892578
2016-02-04,123.51559448242188
2016-02-05,123.6234130859375
2016-02-08,121.9415054321289
2016-02-09,122.3511962890625
2016-02-10,120.23797607421875
2016-02-11,115.6880874633789
2016-02-12,114.17862701416016
2016-02-15,117.47785186767578
2016-02-16,117.43470764160156
2016-02-17,116.87408447265625
2016-02-18,118.16788482666016
2016-02-19,117.88756561279297
2016-02-22,116.2271499633789
2016-02-23,116.4212417602539
2016-02-24,113.91987609863281
2016-02-25,111.44007110595703
2016-02-26,112.75544738769531
2016-02-29,109.93061828613281
2016-03-01,113.83362579345703
2016-03-02,120.79862976074219
2016-03-03,120.43205261230469
2016-03-04,118.96572875976562
2016-03-08,118.77167510986328
2016-03-09,121.25142669677734
2016-03-10,123.8822021484375
2016-03-11,123.4725112915039
2016-03-14,125.54259490966797
2016-03-15,122.58838653564453
2016-03-16,123.7096939086914
2016-03-17,124.10333251953125
2016-03-18,123.44728088378906
2016-03-21,125.48102569580078
2016-03-22,126.4651107788086
2016-03-23,124.6063003540039
2016-03-28,122.63814544677734
2016-03-29,122.8568344116211
2016-03-30,123.4691162109375
2016-03-31,127.4491958618164
2016-04-01,130.13900756835938
2016-04-04,132.12904357910156
2016-04-05,129.70164489746094
2016-04-06,129.04559326171875
2016-04-07,130.75132751464844
2016-04-08,130.79505920410156
2016-04-11,131.97598266601562
2016-04-12,133.20057678222656
2016-04-13,133.81292724609375
