Date,M&M.NS
2015-08-21,603.5899047851562
2015-08-24,567.5274658203125
2015-08-25,571.0424194335938
2015-08-26,554.8600463867188
2015-08-27,561.5701904296875
2015-08-28,563.2821655273438
2015-08-31,557.3248901367188
2015-09-01,537.3765869140625
2015-09-02,517.9073486328125
2015-09-03,520.6919555664062
2015-09-04,506.9744567871094
2015-09-07,507.1114807128906
2015-09-08,523.0884399414062
2015-09-09,534.36376953125
2015-09-10,534.1353759765625
2015-09-11,532.4920654296875
2015-09-14,535.3450927734375
2015-09-15,525.8273315429688
2015-09-16,533.1539916992188
2015-09-18,547.4420776367188
2015-09-21,541.0740966796875
2015-09-22,542.0326538085938
2015-09-23,551.5504150390625
2015-09-24,557.37060546875
2015-09-28,557.64453125
2015-09-29,570.471923828125
2015-09-30,576.9082641601562
2015-10-01,570.6316528320312
2015-10-05,580.0579833984375
2015-10-06,577.1136474609375
2015-10-07,587.8867797851562
2015-10-08,580.9482421875
2015-10-09,581.2677612304688
2015-10-12,581.975341796875
2015-10-13,585.6499633789062
2015-10-14,588.0009155273438
2015-10-15,581.9524536132812
2015-10-16,588.3433227539062
2015-10-19,584.8740234375
2015-10-20,570.9054565429688
2015-10-21,573.6444702148438
2015-10-23,569.0795288085938
2015-10-26,568.4633178710938
2015-10-27,570.6316528320312
2015-10-28,560.06396484375
2015-10-29,560.474853515625
2015-10-30,540.2979125976562
2015-11-02,551.8243408203125
2015-11-03,562.82568359375
2015-11-04,572.5717163085938
2015-11-05,575.0595092773438
2015-11-06,570.4033813476562
2015-11-09,570.1980590820312
2015-11-10,575.6986694335938
2015-11-13,571.2478637695312
2015-11-16,583.3447875976562
2015-11-17,588.3204956054688
2015-11-18,583.5274047851562
2015-11-19,589.826904296875
2015-11-20,600.39453125
2015-11-23,604.1605224609375
2015-11-24,602.3574829101562
2015-11-26,614.545654296875
2015-11-27,616.8052978515625
2015-11-30,623.3331298828125
2015-12-01,624.8850708007812
2015-12-02,625.5925903320312
2015-12-03,614.2945556640625
2015-12-04,600.4173583984375
2015-12-07,604.2518310546875
2015-12-08,599.9381713867188
2015-12-09,598.95654296875
2015-12-10,589.1876831054688
2015-12-11,576.0410766601562
2015-12-14,586.4945678710938
2015-12-15,588.4345703125
2015-12-16,556.02392578125
2015-12-17,569.4903564453125
2015-12-18,567.5502319335938
2015-12-21,583.7784423828125
2015-12-22,573.598876953125
2015-12-23,571.453369140625
2015-12-24,574.146484375
2015-12-28,570.3348999023438
2015-12-29,577.2733764648438
2015-12-30,576.5431518554688
2015-12-31,580.8112182617188
2016-01-01,577.615966796875
2016-01-04,567.18505859375
2016-01-05,570.2435913085938
2016-01-06,559.7215576171875
2016-01-07,546.620361328125
2016-01-08,546.8714599609375
2016-01-11,530.7117309570312
2016-01-12,539.5220336914062
2016-01-13,550.0897827148438
2016-01-14,542.5576782226562
2016-01-15,537.3765869140625
2016-01-18,532.1041259765625
2016-01-19,526.1011962890625
2016-01-20,525.3023681640625
2016-01-21,519.8016967773438
2016-01-22,547.2822875976562
2016-01-25,537.878662109375
2016-01-27,537.148193359375
2016-01-28,549.6788330078125
2016-01-29,562.962646484375
2016-02-01,559.8128662109375
2016-02-02,550.8199462890625
2016-02-03,549.1539916992188
2016-02-04,549.8386840820312
2016-02-05,556.6859741210938
2016-02-08,548.583251953125
2016-02-09,540.115478515625
2016-02-10,539.70458984375
2016-02-11,514.2783203125
2016-02-12,531.92138671875
2016-02-15,560.0182495117188
2016-02-16,550.546142578125
2016-02-17,547.9669799804688
2016-02-18,553.99267578125
2016-02-19,561.5930786132812
2016-02-22,564.697265625
2016-02-23,551.7557983398438
2016-02-24,556.2750244140625
2016-02-25,561.04541015625
2016-02-26,561.5018310546875
