Date,FACC.VI
2015-08-24,6.168717384338379
2015-08-25,6.178508758544922
2015-08-26,6.168717384338379
2015-08-27,6.168717384338379
2015-08-28,6.168717384338379
2015-08-31,6.21767520904541
2015-09-01,6.1677374839782715
2015-09-02,6.0737385749816895
2015-09-03,6.149134159088135
2015-09-04,6.12563419342041
2015-09-07,6.132488250732422
2015-09-08,6.255862712860107
2015-09-09,6.252925395965576
2015-09-10,6.252925395965576
2015-09-11,6.254883766174316
2015-09-14,6.178508758544922
2015-09-15,6.254883766174316
2015-09-16,6.197113037109375
2015-09-17,6.21767520904541
2015-09-18,6.254883766174316
2015-09-21,6.22648811340332
2015-09-22,6.168717384338379
2015-09-23,6.206904888153076
2015-09-24,6.205924987792969
2015-09-25,6.253904342651367
2015-09-28,6.21767520904541
2015-09-29,6.315591335296631
2015-09-30,6.354757785797119
2015-10-01,6.36454963684082
2015-10-02,6.41350793838501
2015-10-05,6.588778018951416
2015-10-06,6.805172443389893
2015-10-07,6.609339714050293
2015-10-08,6.658298015594482
2015-10-09,6.677881717681885
2015-10-12,6.805172443389893
2015-10-13,6.756214141845703
2015-10-14,6.903088569641113
2015-10-15,6.961838245391846
2015-10-16,6.854130268096924
2015-10-19,6.921692371368408
2015-10-20,6.88448429107666
2015-10-21,7.0891289710998535
2015-10-22,7.138087272644043
2015-10-23,7.145920276641846
2015-10-27,7.101858139038086
2015-10-28,7.1890034675598145
2015-10-29,7.191940784454346
2015-10-30,7.333919048309326
2015-11-02,7.343710899353027
2015-11-03,7.383856296539307
2015-11-04,7.441627025604248
2015-11-05,7.490585803985596
2015-11-06,7.490585803985596
2015-11-09,7.529751777648926
2015-11-10,7.441627025604248
2015-11-11,7.441627025604248
2015-11-12,7.392669200897217
2015-11-13,7.434772968292236
2015-11-16,7.36329460144043
2015-11-17,7.3897318840026855
2015-11-18,7.391689777374268
2015-11-19,7.300628185272217
2015-11-20,7.36329460144043
2015-11-23,7.236003398895264
2015-11-24,7.236003398895264
2015-11-25,7.236003398895264
2015-11-26,7.177253246307373
2015-11-27,7.275169372558594
2015-11-30,7.322169303894043
2015-12-01,7.313356876373291
2015-12-02,7.294752597808838
2015-12-03,7.2712531089782715
2015-12-04,7.286919593811035
2015-12-07,7.244815826416016
2015-12-09,7.21544075012207
2015-12-10,7.205649375915527
2015-12-11,7.098920822143555
2015-12-14,6.929525852203369
2015-12-15,7.010796070098877
2015-12-16,7.010796070098877
2015-12-17,7.137108325958252
2015-12-18,7.001983642578125
2015-12-21,7.009817123413086
2015-12-22,6.945192337036133
2015-12-23,7.098920822143555
2015-12-28,6.934421062469482
2015-12-29,7.049962043762207
2015-12-30,7.020587921142578
2016-01-04,7.003942012786865
2016-01-05,6.88056755065918
2016-01-07,6.735651969909668
2016-01-08,6.831610202789307
2016-01-11,6.707255840301514
2016-01-12,6.800276279449463
2016-01-13,6.642631530761719
2016-01-14,6.451695442199707
2016-01-15,6.291112899780273
2016-01-18,6.2950286865234375
2016-01-19,6.255862712860107
2016-01-20,5.209139347076416
2016-01-21,5.385387897491455
2016-01-22,5.483304023742676
2016-01-25,5.282576084136963
2016-01-26,5.042681694030762
2016-01-27,4.797891139984131
2016-01-28,4.797891139984131
2016-01-29,4.841953754425049
2016-02-01,4.882099151611328
2016-02-02,4.7489333152771
2016-02-03,4.602058410644531
2016-02-04,4.602058410644531
2016-02-05,4.476726055145264
2016-02-08,4.403289318084717
2016-02-09,4.493371963500977
2016-02-10,4.831182956695557
2016-02-11,4.580517768859863
2016-02-12,4.6294755935668945
2016-02-15,4.69997501373291
2016-02-16,4.788099765777588
2016-02-17,4.796912670135498
2016-02-18,4.861536502838135
2016-02-19,4.968265533447266
2016-02-22,5.08184814453125
2016-02-23,5.140597343444824
2016-02-24,5.12982702255249
2016-02-25,5.065202236175537
2016-02-26,5.091639518737793
2016-02-29,5.116118431091309
2016-03-01,5.170951843261719
2016-03-02,5.483304023742676
2016-03-03,5.434346675872803
2016-03-04,5.453929901123047
2016-03-07,5.385387897491455
2016-03-08,5.31684684753418
2016-03-09,5.326638698577881
2016-03-10,5.189556121826172
2016-03-11,5.287471771240234
2016-03-14,5.287471771240234
2016-03-15,5.287471771240234
2016-03-16,5.434346675872803
2016-03-17,5.394200325012207
2016-03-18,5.482324600219727
2016-03-21,5.294325828552246
2016-03-22,5.3609089851379395
2016-03-23,5.31390905380249
2016-03-24,5.384408950805664
2016-03-29,5.139618396759033
2016-03-30,5.091639518737793
2016-03-31,4.993723392486572
2016-04-01,5.060306549072266
2016-04-04,5.042681694030762
2016-04-05,4.89580774307251
2016-04-06,5.036806583404541
2016-04-07,4.970223903656006
2016-04-08,4.910494804382324
2016-04-11,4.954556941986084
2016-04-12,5.0328898429870605
2016-04-13,5.023098468780518
2016-04-14,5.008410453796387
2016-04-15,4.926161289215088
2016-04-18,4.89580774307251
2016-04-19,4.8585991859436035
2016-04-20,4.89580774307251
2016-04-21,4.866432189941406
2016-04-22,4.867412090301514
2016-04-25,4.944765567779541
2016-04-26,4.954556941986084
2016-04-27,4.871327877044678
2016-04-28,4.846848964691162
2016-04-29,4.89580774307251
2016-05-02,4.982953071594238
2016-05-03,4.846848964691162
2016-05-04,4.797891139984131
2016-05-06,4.643184185028076
2016-05-09,4.69997501373291
2016-05-10,4.61674690246582
2016-05-11,4.7215166091918945
2016-05-12,4.602058410644531
2016-05-13,4.562892436981201
2016-05-17,4.553101062774658
2016-05-18,4.553101062774658
2016-05-19,4.528621673583984
2016-05-20,4.46987247467041
2016-05-23,4.4659552574157715
