Date,ALPHAETF.NS
2023-10-27,16.709999084472656
2023-10-30,17.110000610351562
2023-10-31,16.790000915527344
2023-11-01,16.700000762939453
2023-11-02,16.989999771118164
2023-11-03,18.059999465942383
2023-11-06,17.200000762939453
2023-11-07,17.270000457763672
2023-11-08,17.56999969482422
2023-11-09,17.700000762939453
2023-11-10,17.639999389648438
2023-11-13,18.040000915527344
2023-11-15,18.280000686645508
2023-11-16,18.3799991607666
2023-11-17,18.579999923706055
2023-11-20,18.469999313354492
2023-11-21,18.450000762939453
2023-11-22,18.31999969482422
2023-11-23,18.579999923706055
2023-11-24,18.530000686645508
2023-11-28,18.6200008392334
2023-11-29,19.079999923706055
2023-11-30,19.0
2023-12-01,19.6200008392334
2023-12-04,20.0
2023-12-05,20.06999969482422
2023-12-06,20.010000228881836
2023-12-07,20.049999237060547
2023-12-11,20.270000457763672
2023-12-12,20.100000381469727
2023-12-13,20.5
2023-12-14,20.729999542236328
2023-12-15,20.65999984741211
2023-12-18,20.81999969482422
2023-12-19,20.780000686645508
2023-12-20,20.06999969482422
2023-12-21,20.31999969482422
2023-12-22,20.290000915527344
2023-12-26,20.40999984741211
2023-12-27,20.579999923706055
2023-12-28,20.760000228881836
2023-12-29,20.920000076293945
2024-01-01,21.030000686645508
2024-01-02,20.969999313354492
2024-01-03,21.010000228881836
2024-01-04,21.350000381469727
2024-01-05,21.420000076293945
2024-01-08,21.290000915527344
2024-01-09,21.260000228881836
2024-01-10,21.200000762939453
2024-01-11,21.149999618530273
2024-01-12,21.34000015258789
2024-01-15,21.440000534057617
2024-01-16,21.290000915527344
2024-01-17,21.270000457763672
2024-01-19,21.540000915527344
2024-01-23,20.90999984741211
2024-01-24,21.3700008392334
2024-01-25,21.540000915527344
2024-01-29,21.860000610351562
2024-01-30,21.940000534057617
2024-01-31,22.06999969482422
2024-02-01,21.899999618530273
2024-02-02,22.079999923706055
2024-02-05,22.219999313354492
2024-02-06,22.389999389648438
2024-02-07,22.65999984741211
2024-02-08,22.84000015258789
2024-02-09,22.510000228881836
2024-02-12,22.260000228881836
2024-02-13,22.399999618530273
2024-02-14,22.559999465942383
2024-02-15,23.010000228881836
2024-02-16,23.219999313354492
2024-02-19,23.239999771118164
2024-02-20,23.15999984741211
2024-02-21,23.209999084472656
2024-02-22,23.149999618530273
