Date,MGL.NS
2016-07-01,421.0927734375
2016-07-04,429.79302978515625
2016-07-05,418.8266296386719
2016-07-07,409.68121337890625
2016-07-08,406.6866455078125
2016-07-11,407.4150085449219
2016-07-12,402.0331115722656
2016-07-13,404.86572265625
2016-07-14,409.9644470214844
2016-07-15,410.16680908203125
2016-07-18,412.67572021484375
2016-07-19,412.3115539550781
2016-07-20,412.8375549316406
2016-07-21,407.8197937011719
2016-07-22,411.2189025878906
2016-07-25,408.3458557128906
2016-07-26,404.17779541015625
2016-07-27,403.044677734375
2016-07-28,409.8026123046875
2016-07-29,411.785400390625
2016-08-01,414.65850830078125
2016-08-02,420.3644104003906
2016-08-03,413.8492736816406
2016-08-04,418.4219970703125
2016-08-05,420.48565673828125
2016-08-08,429.18597412109375
2016-08-09,437.279296875
2016-08-10,433.0706787109375
2016-08-11,430.9665832519531
2016-08-12,434.4870300292969
2016-08-16,434.6893615722656
2016-08-17,444.6036682128906
2016-08-18,462.04473876953125
2016-08-19,467.2648010253906
2016-08-22,478.75726318359375
2016-08-23,469.7737121582031
2016-08-24,482.27789306640625
2016-08-25,474.87249755859375
2016-08-26,482.60150146484375
2016-08-29,496.8457336425781
2016-08-30,519.4663696289062
2016-08-31,527.8834228515625
2016-09-01,514.8532104492188
2016-09-02,514.1653442382812
2016-09-06,527.5596313476562
2016-09-07,523.6344604492188
2016-09-08,525.5362548828125
2016-09-09,520.963623046875
2016-09-12,501.7421875
2016-09-14,510.9683837890625
2016-09-15,501.59381103515625
2016-09-16,498.0574951171875
2016-09-19,499.90777587890625
2016-09-20,495.63153076171875
2016-09-21,495.8372802734375
2016-09-22,504.75970458984375
2016-09-23,509.77593994140625
2016-09-26,511.5442199707031
2016-09-27,522.029052734375
2016-09-28,544.0681762695312
2016-09-29,532.2262573242188
2016-09-30,542.875732421875
2016-10-03,550.5647583007812
2016-10-04,593.7791748046875
2016-10-05,574.3717651367188
2016-10-06,574.577392578125
2016-10-07,578.2779541015625
2016-10-10,589.5443115234375
2016-10-13,568.5331420898438
2016-10-14,596.3286743164062
2016-10-17,624.0418701171875
2016-10-18,621.2870483398438
2016-10-19,625.2342529296875
2016-10-20,624.2473754882812
2016-10-21,649.2469482421875
2016-10-24,650.6038208007812
2016-10-25,632.470947265625
2016-10-26,628.8526611328125
2016-10-27,619.1077880859375
2016-10-28,624.8231201171875
2016-11-01,636.9117431640625
2016-11-02,623.5073852539062
2016-11-03,621.3692626953125
2016-11-04,591.5589599609375
2016-11-07,582.9244384765625
2016-11-08,588.3106079101562
2016-11-09,599.0012817382812
2016-11-10,614.7080688476562
2016-11-11,614.5438842773438
2016-11-15,612.1177978515625
2016-11-16,603.277587890625
2016-11-17,633.5401000976562
2016-11-18,615.8594970703125
2016-11-21,609.3628540039062
2016-11-22,605.8678588867188
2016-11-23,601.05712890625
2016-11-24,605.00439453125
2016-11-25,633.663330078125
2016-11-28,634.1156616210938
2016-11-29,639.99560546875
2016-11-30,632.5121459960938
2016-12-01,613.927001953125
2016-12-02,603.81201171875
