Date,TRENT.NS
2015-08-21,127.7960433959961
2015-08-24,117.36327362060547
2015-08-25,119.82982635498047
2015-08-26,119.82493591308594
2015-08-27,119.88355255126953
2015-08-28,120.66503143310547
2015-08-31,120.77247619628906
2015-09-01,121.71514892578125
2015-09-02,121.62721252441406
2015-09-03,121.64675903320312
2015-09-04,120.53314971923828
2015-09-07,115.40470886230469
2015-09-08,115.63916015625
2015-09-09,116.6111068725586
2015-09-10,113.99803924560547
2015-09-11,116.518310546875
2015-09-14,116.459716796875
2015-09-15,116.4499282836914
2015-09-16,121.26579284667969
2015-09-18,125.32948303222656
2015-09-21,126.02301788330078
2015-09-22,122.98504638671875
2015-09-23,126.33073425292969
2015-09-24,128.6361083984375
2015-09-28,125.77394104003906
2015-09-29,125.6908950805664
2015-09-30,127.32221984863281
2015-10-01,126.37958526611328
2015-10-05,128.74844360351562
2015-10-06,128.65562438964844
2015-10-07,127.2831802368164
2015-10-08,126.9998779296875
2015-10-09,130.60934448242188
2015-10-12,129.925537109375
2015-10-13,132.03065490722656
2015-10-14,133.20774841308594
2015-10-15,131.556884765625
2015-10-16,134.8781280517578
2015-10-19,134.64373779296875
2015-10-20,134.6583709716797
2015-10-21,135.79148864746094
2015-10-23,135.78663635253906
2015-10-26,137.42283630371094
2015-10-27,136.3678436279297
2015-10-28,136.29458618164062
2015-10-29,136.79278564453125
2015-10-30,136.27505493164062
2015-11-02,136.78298950195312
2015-11-03,139.55726623535156
2015-11-04,139.3130340576172
2015-11-05,136.75857543945312
2015-11-06,136.77813720703125
2015-11-09,136.8220977783203
2015-11-10,136.7683563232422
2015-11-13,135.92825317382812
2015-11-16,139.25929260253906
2015-11-17,136.7683563232422
2015-11-18,139.27398681640625
2015-11-19,139.62078857421875
2015-11-20,138.37037658691406
2015-11-23,138.74160766601562
2015-11-24,142.13612365722656
2015-11-26,149.57969665527344
2015-11-27,151.1866455078125
2015-11-30,157.8340301513672
2015-12-01,153.5701141357422
2015-12-02,152.8716583251953
2015-12-03,154.2197265625
2015-12-04,151.2061309814453
2015-12-07,151.4405975341797
2015-12-08,149.73110961914062
2015-12-09,148.93988037109375
2015-12-10,151.37709045410156
2015-12-11,147.7481231689453
2015-12-14,147.26458740234375
2015-12-15,149.19873046875
2015-12-16,147.67971801757812
2015-12-17,152.03648376464844
2015-12-18,153.6385040283203
