Date,HUM
2015-08-03,168.91868591308594
2015-08-04,168.85386657714844
2015-08-05,171.82664489746094
2015-08-06,170.8820343017578
2015-08-07,170.4560546875
2015-08-10,172.4933624267578
2015-08-11,172.08590698242188
2015-08-12,172.3360137939453
2015-08-13,172.30821228027344
2015-08-14,172.72491455078125
2015-08-17,175.72544860839844
2015-08-18,176.44776916503906
2015-08-19,175.4012908935547
2015-08-20,172.3360137939453
2015-08-21,168.29820251464844
2015-08-24,162.2322998046875
2015-08-25,162.49160766601562
2015-08-26,167.3721466064453
2015-08-27,171.15057373046875
2015-08-28,170.40972900390625
2015-08-31,169.2798614501953
2015-09-01,166.00148010253906
2015-09-02,168.2704315185547
2015-09-03,168.69644165039062
2015-09-04,168.1038055419922
2015-09-08,171.30799865722656
2015-09-09,171.4654541015625
2015-09-10,171.52102661132812
2015-09-11,173.47506713867188
2015-09-14,173.1786651611328
2015-09-15,173.8177032470703
2015-09-16,173.7528533935547
2015-09-17,174.65115356445312
2015-09-18,174.0029296875
2015-09-21,174.8827362060547
2015-09-22,174.7067413330078
2015-09-23,174.73452758789062
2015-09-24,172.22482299804688
2015-09-25,167.76107788085938
2015-09-28,161.54637145996094
2015-09-29,163.0304412841797
2015-09-30,166.03579711914062
2015-10-01,167.0283203125
2015-10-02,170.21913146972656
2015-10-05,170.08004760742188
2015-10-06,165.94302368164062
2015-10-07,167.8167266845703
2015-10-08,167.2416229248047
2015-10-09,167.92803955078125
2015-10-12,168.364013671875
2015-10-13,171.09107971191406
2015-10-14,169.30088806152344
2015-10-15,169.9779815673828
2015-10-16,170.85911560058594
2015-10-19,173.15025329589844
2015-10-20,172.45460510253906
2015-10-21,164.31980895996094
2015-10-22,153.1517791748047
2015-10-23,156.01795959472656
2015-10-26,157.91024780273438
2015-10-27,162.47396850585938
2015-10-28,165.10821533203125
2015-10-29,167.4921112060547
2015-10-30,165.69259643554688
2015-11-02,167.55706787109375
2015-11-03,165.599853515625
2015-11-04,164.06932067871094
2015-11-05,166.08216857910156
2015-11-06,164.40330505371094
2015-11-09,164.7835235595703
2015-11-10,163.6611785888672
2015-11-11,158.70797729492188
2015-11-12,156.806396484375
2015-11-13,155.2388153076172
2015-11-16,156.79713439941406
2015-11-17,157.24240112304688
2015-11-18,158.68946838378906
2015-11-19,152.3540802001953
2015-11-20,155.470703125
2015-11-23,155.89739990234375
2015-11-24,156.21278381347656
2015-11-25,156.1942138671875
2015-11-27,156.66725158691406
2015-11-30,156.4446258544922
2015-12-01,160.98048400878906
2015-12-02,160.59091186523438
2015-12-03,156.38906860351562
2015-12-04,158.40187072753906
2015-12-07,157.19602966308594
2015-12-08,157.72471618652344
2015-12-09,158.36474609375
2015-12-10,159.56137084960938
2015-12-11,160.26629638671875
2015-12-14,162.22341918945312
2015-12-15,162.9376983642578
2015-12-16,163.5869903564453
2015-12-17,164.06932067871094
2015-12-18,162.67794799804688
2015-12-21,163.34584045410156
2015-12-22,163.34584045410156
2015-12-23,166.1656494140625
2015-12-24,165.38650512695312
2015-12-28,165.2471160888672
2015-12-29,166.40846252441406
2015-12-30,166.3062286376953
2015-12-31,165.8510284423828
2016-01-04,167.00311279296875
2016-01-05,166.89161682128906
2016-01-06,164.0857391357422
2016-01-07,162.72926330566406
2016-01-08,160.6481475830078
2016-01-11,157.02468872070312
2016-01-12,156.85748291015625
2016-01-13,152.26779174804688
2016-01-14,155.37098693847656
2016-01-15,150.6604766845703
2016-01-19,152.3700714111328
2016-01-20,153.05755615234375
2016-01-21,154.33035278320312
2016-01-22,154.4325714111328
2016-01-25,151.71034240722656
2016-01-26,152.9832305908203
2016-01-27,149.86148071289062
2016-01-28,148.45858764648438
2016-01-29,151.24583435058594
2016-02-01,155.6961212158203
2016-02-02,155.03646850585938
2016-02-03,154.9529266357422
2016-02-04,156.6902313232422
2016-02-05,153.09471130371094
2016-02-08,145.8292236328125
2016-02-09,148.2169952392578
2016-02-10,149.64776611328125
2016-02-11,146.81407165527344
2016-02-12,148.99745178222656
2016-02-16,154.8228302001953
2016-02-17,156.3743896484375
2016-02-18,155.85409545898438
2016-02-19,153.614990234375
2016-02-22,159.5704345703125
2016-02-23,160.57382202148438
2016-02-24,160.07212829589844
2016-02-25,164.07644653320312
2016-02-26,166.036865234375
2016-02-29,164.4202423095703
2016-03-01,168.37811279296875
2016-03-02,169.743896484375
2016-03-03,170.22702026367188
2016-03-04,170.25486755371094
2016-03-07,171.18392944335938
2016-03-08,169.57669067382812
2016-03-09,171.3511962890625
2016-03-10,171.6578369140625
2016-03-11,173.65533447265625
2016-03-14,173.11648559570312
2016-03-15,170.8680419921875
2016-03-16,170.38499450683594
2016-03-17,169.5952911376953
2016-03-18,171.50914001464844
2016-03-21,170.7008819580078
2016-03-22,171.28619384765625
2016-03-23,170.5707550048828
2016-03-24,171.01678466796875
2016-03-28,169.9575653076172
2016-03-29,172.8609619140625
2016-03-30,172.05136108398438
2016-03-31,170.24603271484375
2016-04-01,171.9117889404297
2016-04-04,172.59109497070312
2016-04-05,168.45938110351562
2016-04-06,167.82662963867188
2016-04-07,160.5961456298828
2016-04-08,159.15377807617188
2016-04-11,155.83172607421875
2016-04-12,158.57687377929688
2016-04-13,158.15806579589844
2016-04-14,156.55752563476562
2016-04-15,158.07432556152344
2016-04-18,159.79591369628906
2016-04-19,162.63404846191406
2016-04-20,162.3828887939453
2016-04-21,161.40576171875
2016-04-22,163.12728881835938
2016-04-25,163.88101196289062
2016-04-26,166.08645629882812
2016-04-27,165.23033142089844
2016-04-28,165.51876831054688
2016-04-29,164.7743682861328
2016-05-02,165.27682495117188
2016-05-03,164.6440887451172
2016-05-04,163.49948120117188
2016-05-05,162.0199432373047
2016-05-06,158.82810974121094
2016-05-09,159.3864288330078
2016-05-10,161.489501953125
2016-05-11,158.25108337402344
2016-05-12,154.2962646484375
2016-05-13,153.75656127929688
2016-05-16,159.6097412109375
2016-05-17,158.9397735595703
