Date,IR
2017-05-12,21.003450393676758
2017-05-15,21.91923713684082
2017-05-16,21.998872756958008
2017-05-17,21.998872756958008
2017-05-18,22.397045135498047
2017-05-19,22.61603546142578
2017-05-22,22.785255432128906
2017-05-23,23.342695236206055
2017-05-24,23.243154525756836
2017-05-25,22.406997680664062
2017-05-26,22.924617767333984
2017-05-30,22.844982147216797
2017-05-31,22.825077056884766
2017-06-01,22.825077056884766
2017-06-02,22.546358108520508
2017-06-05,22.526443481445312
2017-06-06,22.188005447387695
2017-06-07,21.66042709350586
2017-06-08,21.550931930541992
2017-06-09,22.3870849609375
2017-06-12,22.924617767333984
2017-06-13,23.382511138916016
2017-06-14,23.143611907958984
2017-06-15,22.884801864624023
2017-06-16,23.810543060302734
2017-06-19,23.810543060302734
2017-06-20,22.516490936279297
2017-06-21,20.625185012817383
2017-06-22,20.9636287689209
2017-06-23,20.376331329345703
2017-06-26,20.406192779541016
2017-06-27,21.192581176757812
2017-06-28,21.172670364379883
2017-06-29,21.331937789916992
2017-06-30,21.511112213134766
2017-07-03,22.237773895263672
2017-07-05,21.720151901245117
2017-07-06,20.874040603637695
2017-07-07,20.575410842895508
2017-07-10,21.242347717285156
2017-07-11,21.63055992126465
2017-07-12,22.02873420715332
2017-07-13,21.959056854248047
2017-07-14,21.978965759277344
2017-07-17,22.864891052246094
2017-07-18,22.934568405151367
2017-07-19,23.31283187866211
2017-07-20,23.44223976135254
2017-07-21,22.904706954956055
2017-07-24,23.03411102294922
2017-07-25,23.342695236206055
2017-07-26,22.715576171875
2017-07-27,23.123699188232422
2017-07-28,22.98434066772461
2017-07-31,22.854934692382812
2017-08-01,22.397045135498047
2017-08-02,22.914661407470703
2017-08-03,23.153566360473633
2017-08-04,23.959857940673828
2017-08-07,23.929996490478516
2017-08-08,24.019582748413086
2017-08-09,23.492008209228516
2017-08-10,22.55630874633789
2017-08-11,22.576213836669922
2017-08-14,22.486631393432617
2017-08-15,22.58617401123047
2017-08-16,22.645898818969727
2017-08-17,21.899328231811523
2017-08-18,21.86946678161621
2017-08-21,22.28754234313965
2017-08-22,22.675764083862305
2017-08-23,22.854934692382812
2017-08-24,22.596128463745117
2017-08-25,22.874845504760742
2017-08-28,22.844982147216797
2017-08-29,22.954479217529297
2017-08-30,23.193378448486328
2017-08-31,23.382511138916016
2017-09-01,23.591552734375
2017-09-05,23.014204025268555
2017-09-06,23.243154525756836
2017-09-07,23.50196075439453
2017-09-08,23.651275634765625
2017-09-11,23.780677795410156
2017-09-12,24.417749404907227
2017-09-13,24.557113647460938
2017-09-14,24.85573959350586
2017-09-15,24.975189208984375
2017-09-18,25.662033081054688
2017-09-19,25.70184898376465
2017-09-20,25.861116409301758
2017-09-21,25.73171043395996
2017-09-22,26.159738540649414
2017-09-25,26.279193878173828
2017-09-26,26.189607620239258
2017-09-27,26.94612693786621
2017-09-28,27.204940795898438
2017-09-29,27.39406967163086
2017-10-02,27.423934936523438
2017-10-03,27.503564834594727
2017-10-04,26.766952514648438
2017-10-05,26.667409896850586
2017-10-06,26.4782772064209
2017-10-09,26.657459259033203
2017-10-10,26.776906967163086
2017-10-11,26.73709487915039
2017-10-12,26.766952514648438
2017-10-13,26.836631774902344
2017-10-16,26.796817779541016
2017-10-17,26.86649513244629
2017-10-18,26.627592086791992
2017-10-19,26.239377975463867
2017-10-20,26.458372116088867
2017-10-23,26.299100875854492
2017-10-24,26.4782772064209
2017-10-25,26.49818992614746
2017-10-26,28.966838836669922
2017-10-27,30.28080177307129
2017-10-30,28.986751556396484
2017-10-31,28.717985153198242
2017-11-01,28.807573318481445
2017-11-02,29.175878524780273
2017-11-03,28.44921875
2017-11-06,27.83205795288086
2017-11-07,27.87187385559082
2017-11-08,27.941553115844727
2017-11-09,28.011234283447266
2017-11-10,28.628400802612305
2017-11-13,29.275423049926758
2017-11-14,28.528852462768555
2017-11-15,27.41398048400879
2017-11-16,28.757802963256836
2017-11-17,29.912492752075195
2017-11-20,30.430112838745117
2017-11-21,30.589380264282227
2017-11-22,30.83823585510254
2017-11-24,30.99750518798828
2017-11-27,31.3160400390625
2017-11-28,31.08709144592285
2017-11-29,31.00745964050293
2017-11-30,32.26169967651367
2017-12-01,31.933208465576172
2017-12-04,31.30609130859375
2017-12-05,31.017412185668945
2017-12-06,31.32599639892578
2017-12-07,32.03274917602539
2017-12-08,32.18206024169922
2017-12-11,31.883432388305664
2017-12-12,31.5350399017334
2017-12-13,31.68434715270996
2017-12-14,31.54498863220215
2017-12-15,32.46078109741211
2017-12-18,33.227264404296875
2017-12-19,33.13766860961914
2017-12-20,33.854373931884766
2017-12-21,34.27245330810547
2017-12-22,34.04349899291992
2017-12-26,33.8742790222168
2017-12-27,33.953914642333984
