Date,TATAMOTORS.NS
2015-08-21,327.3991394042969
2015-08-24,303.61248779296875
2015-08-25,323.9025573730469
2015-08-26,330.05853271484375
2015-08-27,329.0242919921875
2015-08-28,334.93402099609375
2015-08-31,335.03253173828125
2015-09-01,324.9367370605469
2015-09-02,319.5687561035156
2015-09-03,328.5318298339844
2015-09-04,318.04205322265625
2015-09-07,317.9927978515625
2015-09-08,325.9217224121094
2015-09-09,339.7110900878906
2015-09-10,348.7726745605469
2015-09-11,339.41558837890625
2015-09-14,341.5824890136719
2015-09-15,329.31982421875
2015-09-16,332.964111328125
2015-09-18,325.281494140625
2015-09-21,326.70965576171875
2015-09-22,311.0488586425781
2015-09-23,305.631591796875
2015-09-24,298.83544921875
2015-09-28,280.7122497558594
2015-09-29,284.40582275390625
2015-09-30,294.1076354980469
2015-10-01,293.27044677734375
2015-10-05,310.40863037109375
2015-10-06,328.6795959472656
2015-10-07,336.2145080566406
2015-10-08,338.0859375
2015-10-09,351.08734130859375
2015-10-12,356.8985595703125
2015-10-13,355.6673889160156
2015-10-14,346.9997253417969
2015-10-15,375.5634765625
2015-10-16,380.93145751953125
2015-10-19,373.0025939941406
2015-10-20,377.3856201171875
2015-10-21,375.7112121582031
2015-10-23,377.2378845214844
2015-10-26,378.8138122558594
2015-10-27,377.5826110839844
2015-10-28,380.48822021484375
2015-10-29,385.3145446777344
2015-10-30,379.1585388183594
2015-11-02,382.11346435546875
2015-11-03,376.3021545410156
2015-11-04,398.7591552734375
2015-11-05,397.92193603515625
2015-11-06,390.1900329589844
2015-11-09,405.55535888671875
2015-11-10,401.320068359375
2015-11-13,397.8727111816406
2015-11-16,394.2283630371094
2015-11-17,401.3692932128906
2015-11-18,400.1380920410156
2015-11-19,400.8275451660156
2015-11-20,396.7892761230469
2015-11-23,396.0505065917969
2015-11-24,394.9178466796875
2015-11-26,418.0150451660156
2015-11-27,411.3665771484375
2015-11-30,417.1285400390625
2015-12-01,411.0710754394531
2015-12-02,406.93426513671875
2015-12-03,399.4978942871094
2015-12-04,393.9328918457031
2015-12-07,393.1448974609375
2015-12-08,396.3459777832031
2015-12-09,388.0231628417969
2015-12-10,383.7386169433594
2015-12-11,372.2638854980469
2015-12-14,366.0093994140625
2015-12-15,373.79052734375
2015-12-16,374.72625732421875
2015-12-17,377.18865966796875
2015-12-18,372.559326171875
2015-12-21,374.4307556152344
2015-12-22,372.4115905761719
2015-12-23,372.75634765625
2015-12-24,376.64691162109375
2015-12-28,388.0724182128906
2015-12-29,385.95477294921875
2015-12-30,387.53070068359375
2015-12-31,385.4129943847656
2016-01-01,395.853515625
2016-01-04,371.37738037109375
2016-01-05,368.8165283203125
2016-01-06,360.3951721191406
2016-01-07,338.38140869140625
2016-01-08,348.033935546875
2016-01-11,354.7809143066406
2016-01-12,349.65911865234375
2016-01-13,359.11468505859375
2016-01-14,348.96966552734375
2016-01-15,336.1652526855469
2016-01-18,335.081787109375
2016-01-19,348.8219299316406
2016-01-20,337.1009216308594
2016-01-21,323.6070556640625
2016-01-22,334.3923034667969
2016-01-25,327.5961608886719
2016-01-27,331.97918701171875
2016-01-28,329.17205810546875
2016-01-29,331.8314514160156
2016-02-01,333.4073791503906
2016-02-02,324.5920104980469
2016-02-03,315.48114013671875
2016-02-04,320.6029357910156
2016-02-05,332.0284423828125
2016-02-08,318.6330261230469
2016-02-09,305.97637939453125
2016-02-10,287.1636657714844
2016-02-11,272.1923828125
2016-02-12,293.86138916015625
2016-02-15,312.47711181640625
2016-02-16,296.6192626953125
2016-02-17,305.4838562011719
2016-02-18,309.2759704589844
2016-02-19,313.41278076171875
2016-02-22,314.0530090332031
2016-02-23,313.7574768066406
2016-02-24,301.6917724609375
2016-02-25,293.7136535644531
2016-02-26,297.259521484375
2016-02-29,295.1911315917969
2016-03-01,310.6056823730469
2016-03-02,312.329345703125
2016-03-03,331.6344299316406
2016-03-04,338.3321228027344
2016-03-08,340.8437805175781
2016-03-09,342.4689636230469
2016-03-10,343.2569274902344
2016-03-11,348.92041015625
2016-03-14,360.9368896484375
2016-03-15,354.9778747558594
2016-03-16,354.14068603515625
2016-03-17,355.4703674316406
2016-03-18,360.5428771972656
2016-03-21,369.06280517578125
2016-03-22,371.525146484375
2016-03-23,371.328125
2016-03-28,357.8342590332031
2016-03-29,366.8466491699219
2016-03-30,382.75360107421875
2016-03-31,380.78369140625
2016-04-01,373.9382629394531
2016-04-04,382.556640625
2016-04-05,364.9259338378906
2016-04-06,371.0326843261719
2016-04-07,369.55523681640625
2016-04-08,365.86163330078125
2016-04-11,380.8329772949219
2016-04-12,389.84527587890625
2016-04-13,402.6004943847656
2016-04-18,401.2215270996094
2016-04-20,398.0204162597656
2016-04-21,405.3091125488281
2016-04-22,410.7263488769531
2016-04-25,405.9986267089844
2016-04-26,412.7454833984375
2016-04-27,412.2530212402344
2016-04-28,405.1613464355469
2016-04-29,402.2065124511719
2016-05-02,401.5662841796875
2016-05-03,403.4869384765625
2016-05-04,376.055908203125
2016-05-05,385.2652587890625
2016-05-06,392.7016906738281
2016-05-09,397.28173828125
2016-05-10,383.0983581542969
2016-05-11,374.13525390625
2016-05-12,381.2269287109375
2016-05-13,384.0833435058594
2016-05-16,386.7919616699219
2016-05-17,383.8370666503906
2016-05-18,379.06005859375
2016-05-19,381.0791931152344
2016-05-20,378.66607666015625
2016-05-23,376.0066833496094
2016-05-24,383.2461242675781
2016-05-25,391.0272216796875
2016-05-26,393.2433776855469
2016-05-27,397.8234558105469
2016-05-30,414.9123840332031
