Date,HOLM-B.ST
2015-08-24,86.14968872070312
2015-08-25,88.19525909423828
2015-08-26,90.9095687866211
2015-08-27,92.95513916015625
2015-08-28,95.51207733154297
2015-08-31,93.78121185302734
2015-09-01,93.42718505859375
2015-09-02,93.505859375
2015-09-03,94.8826675415039
2015-09-04,95.3940658569336
2015-09-07,96.65287780761719
2015-09-08,96.84957122802734
2015-09-09,96.92823028564453
2015-09-10,95.51207733154297
2015-09-11,94.05659484863281
2015-09-14,93.23049926757812
2015-09-15,92.83711242675781
2015-09-16,93.34850311279297
2015-09-17,94.05659484863281
2015-09-18,92.99446105957031
2015-09-21,93.93858337402344
2015-09-22,92.01101684570312
2015-09-23,93.11248779296875
2015-09-24,92.71910095214844
2015-09-25,93.6632080078125
2015-09-28,91.18492126464844
2015-09-29,91.2242660522461
2015-09-30,92.24703979492188
2015-10-01,91.2242660522461
2015-10-02,92.05035400390625
2015-10-05,94.60731506347656
2015-10-06,96.10215759277344
2015-10-07,95.74810028076172
2015-10-08,97.04625701904297
2015-10-09,97.16426086425781
2015-10-12,98.18704223632812
2015-10-13,96.25949096679688
2015-10-14,96.73155212402344
2015-10-15,97.87236022949219
2015-10-16,97.83301544189453
2015-10-19,98.34439849853516
2015-10-20,98.65910339355469
2015-10-21,98.9344711303711
2015-10-22,99.8392333984375
2015-10-23,101.57011413574219
2015-10-26,102.00281524658203
2015-10-27,99.91790771484375
2015-10-28,100.19327545166016
2015-10-29,100.31128692626953
2015-10-30,101.3734130859375
2015-11-02,101.25538635253906
2015-11-03,100.9406967163086
2015-11-04,101.53076934814453
2015-11-05,102.19949340820312
2015-11-06,105.0711669921875
2015-11-09,105.66124725341797
2015-11-10,107.35274505615234
2015-11-11,108.33619689941406
2015-11-12,107.706787109375
2015-11-13,107.9034652709961
2015-11-16,107.9034652709961
2015-11-17,109.16228485107422
2015-11-18,109.240966796875
2015-11-19,107.6674575805664
2015-11-20,107.9034652709961
2015-11-23,107.9034652709961
2015-11-24,106.05460357666016
2015-11-25,105.93659973144531
2015-11-26,106.44798278808594
2015-11-27,107.43142700195312
2015-11-30,107.43142700195312
2015-12-01,107.62810516357422
2015-12-02,106.52665710449219
2015-12-03,104.79579162597656
2015-12-04,103.73368072509766
