Date,LRCX
2015-08-03,6.547579765319824
2015-08-04,6.3184919357299805
2015-08-05,6.401483058929443
2015-08-06,6.269216537475586
2015-08-07,6.2605719566345215
2015-08-10,6.472369194030762
2015-08-11,6.310714244842529
2015-08-12,6.276996612548828
2015-08-13,6.225128650665283
2015-08-14,6.285641670227051
2015-08-17,6.430875778198242
2015-08-18,6.24760627746582
2015-08-19,6.259708404541016
2015-08-20,6.13954496383667
2015-08-21,6.029756546020508
2015-08-24,5.819685935974121
2015-08-25,5.826602935791016
2015-08-26,6.116203308105469
2015-08-27,6.320221424102783
2015-08-28,6.3037943840026855
2015-08-31,6.290828227996826
2015-09-01,6.013329982757568
2015-09-02,6.146459579467773
2015-09-03,6.202652931213379
2015-09-04,6.055072784423828
2015-09-08,6.305088996887207
2015-09-09,6.12799596786499
2015-09-10,6.241716384887695
2015-09-11,6.2356414794921875
2015-09-14,6.293803691864014
2015-09-15,6.42575740814209
2015-09-16,6.48999547958374
2015-09-17,6.305957794189453
2015-09-18,6.182683944702148
2015-09-21,5.909231185913086
2015-09-22,5.69827938079834
2015-09-23,5.528997421264648
2015-09-24,5.50295352935791
2015-09-25,5.476043224334717
2015-09-28,5.362320423126221
2015-09-29,5.456944465637207
2015-09-30,5.671368598937988
2015-10-01,5.594106674194336
2015-10-02,5.701751708984375
2015-10-05,5.67918062210083
2015-10-06,5.664422988891602
2015-10-07,5.778146266937256
2015-10-08,5.843254566192627
2015-10-09,5.770330429077148
2015-10-12,5.771200180053711
2015-10-13,5.610599040985107
2015-10-14,5.841519355773926
2015-10-15,5.856274604797363
2015-10-16,5.92746114730835
2015-10-19,5.871902942657471
2015-10-20,6.079380512237549
2015-10-21,6.145357608795166
2015-10-22,6.3033528327941895
2015-10-23,6.473502159118652
2015-10-26,6.516908645629883
2015-10-27,6.519514560699463
2015-10-28,6.575072765350342
2015-10-29,6.583752632141113
2015-10-30,6.648859977722168
2015-11-02,6.649728298187256
2015-11-03,6.6271586418151855
2015-11-04,6.685321807861328
2015-11-05,6.690530300140381
2015-11-06,6.675771713256836
2015-11-09,6.684453964233398
2015-11-10,6.634104251861572
2015-11-11,6.668827056884766
2015-11-12,6.549027442932129
2015-11-13,6.5603132247924805
2015-11-16,6.720047473907471
2015-11-17,6.750430107116699
2015-11-18,6.808592796325684
2015-11-19,6.76431941986084
2015-11-20,6.804253101348877
2015-11-23,6.683586120605469
2015-11-24,6.709628105163574
2015-11-25,6.708761692047119
2015-11-27,6.739144802093506
2015-11-30,6.7886271476745605
2015-12-01,6.909294605255127
2015-12-02,6.827692031860352
2015-12-03,6.63584041595459
2015-12-04,6.743485450744629
2015-12-07,6.787929534912109
2015-12-08,7.006670951843262
2015-12-09,6.825404167175293
2015-12-10,6.974426746368408
2015-12-11,6.875077724456787
2015-12-14,6.759173393249512
2015-12-15,6.9657111167907715
2015-12-16,6.993598461151123
2015-12-17,6.8585205078125
2015-12-18,6.7138543128967285
2015-12-21,6.862878322601318
2015-12-22,6.988370895385742
2015-12-23,7.008414268493652
2015-12-24,7.005799293518066
2015-12-28,6.974426746368408
2015-12-29,7.037171840667725
2015-12-30,6.986626625061035
2015-12-31,6.921266555786133
2016-01-04,6.773986339569092
2016-01-05,6.810589790344238
2016-01-06,6.410580158233643
2016-01-07,6.249359130859375
2016-01-08,6.142166614532471
2016-01-11,6.183125972747803
2016-01-12,6.225829124450684
2016-01-13,6.020159721374512
2016-01-14,6.2702741622924805
2016-01-15,5.922554016113281
2016-01-19,5.8789801597595215
2016-01-20,6.06286096572876
2016-01-21,5.936498165130615
2016-01-22,5.9887847900390625
2016-01-25,5.926041126251221
2016-01-26,5.990530490875244
2016-01-27,5.8824663162231445
2016-01-28,6.052403926849365
2016-01-29,6.25632905960083
2016-02-01,6.328663349151611
2016-02-02,6.14826774597168
2016-02-03,6.2232136726379395
2016-02-04,6.228442192077637
2016-02-05,6.010574817657471
2016-02-08,5.758716106414795
2016-02-09,5.715143203735352
2016-02-10,5.706427097320557
2016-02-11,5.595750331878662
2016-02-12,5.756102085113525
2016-02-16,5.889437198638916
2016-02-17,6.034976959228516
2016-02-18,5.905996799468994
2016-02-19,6.080292701721191
2016-02-22,6.1299662590026855
2016-02-23,6.033231735229492
2016-02-24,6.142166614532471
2016-02-25,6.312103748321533
2016-02-26,6.432368278503418
2016-02-29,6.387922763824463
2016-03-01,6.585747718811035
2016-03-02,6.496856689453125
2016-03-03,6.524744987487793
2016-03-04,6.477685451507568
2016-03-07,6.566061496734619
2016-03-08,6.417311668395996
2016-03-09,6.45843505859375
2016-03-10,6.5826873779296875
2016-03-11,6.66493558883667
2016-03-14,6.73056173324585
2016-03-15,6.751561164855957
2016-03-16,6.808436870574951
2016-03-17,6.935315132141113
2016-03-18,6.949315547943115
2016-03-21,6.979064464569092
2016-03-22,7.015815258026123
2016-03-23,6.944065093994141
2016-03-24,6.902064323425293
2016-03-28,6.923939228057861
2016-03-29,7.169816970825195
2016-03-30,7.191690444946289
2016-03-31,7.227567195892334
2016-04-01,7.256443023681641
2016-04-04,7.241567134857178
2016-04-05,7.147942543029785
2016-04-06,7.229317665100098
2016-04-07,7.106815338134766
2016-04-08,7.098066806793213
2016-04-11,7.120815277099609
2016-04-12,7.122565746307373
2016-04-13,7.245943546295166
2016-04-14,7.1409406661987305
2016-04-15,7.143565654754639
2016-04-18,7.180317401885986
2016-04-19,7.242442607879639
2016-04-20,7.2336931228637695
2016-04-21,7.071815490722656
2016-04-22,7.056940078735352
2016-04-25,7.019314765930176
