Date,BRKM5.SA
2015-08-24,8.88586139678955
2015-08-25,8.986916542053223
2015-08-26,9.311745643615723
2015-08-27,9.93974781036377
2015-08-28,9.687103271484375
2015-08-31,10.156299591064453
2015-09-01,10.5388765335083
2015-09-02,10.618278503417969
2015-09-03,10.726552963256836
2015-09-04,11.19575023651123
2015-09-08,10.993635177612305
2015-09-09,11.123565673828125
2015-09-10,11.32568073272705
2015-09-11,11.008071899414062
2015-09-14,11.224623680114746
2015-09-15,11.008071899414062
2015-09-16,11.520578384399414
2015-09-17,11.116348266601562
2015-09-18,11.130785942077637
2015-09-21,11.340119361877441
2015-09-22,11.340119361877441
2015-09-23,11.773223876953125
2015-09-24,11.72269344329834
2015-09-25,12.126924514770508
2015-09-28,11.773223876953125
2015-09-29,11.715476036071777
2015-09-30,12.033085823059082
2015-10-01,12.596121788024902
2015-10-02,12.985917091369629
2015-10-05,13.043663024902344
2015-10-06,13.664445877075195
2015-10-07,13.671664237976074
2015-10-08,13.751066207885742
2015-10-09,13.67888355255127
2015-10-13,13.606698989868164
2015-10-14,13.657227516174316
2015-10-15,13.483986854553223
2015-10-16,14.299665451049805
2015-10-19,15.043163299560547
2015-10-20,14.703896522521973
2015-10-21,14.73998737335205
2015-10-22,14.956542015075684
2015-10-23,14.898792266845703
2015-10-26,15.303025245666504
2015-10-27,15.671161651611328
2015-10-28,15.490702629089355
2015-10-29,15.295806884765625
2015-10-30,15.721691131591797
2015-11-03,15.512358665466309
2015-11-04,15.635071754455566
2015-11-05,15.74334716796875
2015-11-06,16.060958862304688
2015-11-09,16.11148452758789
2015-11-10,15.98155403137207
2015-11-11,17.042661666870117
2015-11-12,16.984912872314453
2015-11-13,16.83332633972168
2015-11-16,17.179811477661133
2015-11-17,18.13985824584961
2015-11-18,18.161514282226562
2015-11-19,19.12156105041504
2015-11-23,18.551307678222656
2015-11-24,18.471904754638672
2015-11-25,18.349191665649414
2015-11-26,18.298664093017578
2015-11-27,18.507997512817383
2015-11-30,18.926666259765625
2015-12-01,18.529653549194336
2015-12-02,18.529653549194336
2015-12-03,18.81117057800293
2015-12-04,19.179309844970703
2015-12-07,19.489700317382812
2015-12-08,18.753421783447266
2015-12-09,18.962759017944336
2015-12-10,18.695674896240234
2015-12-11,18.486343383789062
2015-12-14,18.572961807250977
2015-12-15,18.738985061645508
2015-12-16,19.034942626953125
2015-12-17,19.135997772216797
2015-12-18,19.70625114440918
2015-12-21,20.031082153320312
2015-12-22,20.485841751098633
2015-12-23,20.89729118347168
2015-12-28,21.193246841430664
2015-12-29,20.853979110717773
2015-12-30,19.93724250793457
2016-01-04,19.5618839263916
2016-01-05,18.717330932617188
2016-01-06,20.031082153320312
2016-01-07,19.489700317382812
2016-01-08,19.54022979736328
2016-01-11,20.038299560546875
2016-01-12,19.215404510498047
2016-01-13,18.760639190673828
2016-01-14,18.190387725830078
2016-01-15,18.147075653076172
2016-01-18,17.69231605529785
2016-01-19,17.685096740722656
2016-01-20,17.937742233276367
2016-01-21,17.7717227935791
2016-01-22,17.295305252075195
2016-01-26,16.898292541503906
2016-01-27,17.165374755859375
2016-01-28,16.818891525268555
2016-01-29,17.32417869567871
2016-02-01,16.992130279541016
2016-02-02,16.530153274536133
2016-02-03,17.10762596130371
2016-02-04,17.30974006652832
2016-02-05,17.259214401245117
2016-02-10,16.826107025146484
2016-02-11,16.70339584350586
2016-02-12,16.573463439941406
2016-02-15,16.602338790893555
2016-02-16,17.32417869567871
2016-02-17,17.396360397338867
2016-02-18,18.659584045410156
2016-02-19,18.28422737121582
2016-02-22,18.601839065551758
2016-02-23,18.118202209472656
2016-02-24,18.24813461303711
2016-02-25,18.269790649414062
2016-02-26,18.002708435058594
2016-02-29,18.406940460205078
2016-03-01,18.406940460205078
2016-03-02,18.370847702026367
2016-03-03,18.262569427490234
2016-03-04,18.1037654876709
2016-03-07,18.406940460205078
2016-03-08,17.620134353637695
2016-03-09,17.540729522705078
2016-03-10,17.576824188232422
2016-03-11,17.367488861083984
2016-03-14,18.45024871826172
2016-03-15,18.529653549194336
2016-03-16,18.370847702026367
2016-03-17,19.294803619384766
2016-03-18,19.359771728515625
2016-03-21,19.85062026977539
2016-03-22,19.9949893951416
2016-03-23,17.64900779724121
2016-03-24,16.674522399902344
2016-03-28,16.86941909790039
2016-03-29,16.992130279541016
2016-03-30,17.10762596130371
2016-03-31,16.898292541503906
2016-04-01,17.44689178466797
2016-04-04,16.060958862304688
2016-04-05,16.551809310913086
2016-04-06,16.71783447265625
2016-04-07,17.745725631713867
2016-04-08,17.707565307617188
2016-04-11,17.76862335205078
2016-04-12,17.86784553527832
2016-04-13,18.547143936157227
2016-04-14,18.66926383972168
2016-04-15,18.814285278320312
2016-04-18,19.40199089050293
2016-04-19,19.455419540405273
2016-04-20,19.24170684814453
2016-04-22,19.157751083374023
2016-04-25,18.867712020874023
2016-04-26,19.01272964477539
2016-04-27,19.211177825927734
2016-04-28,19.081422805786133
2016-04-29,18.737958908081055
2016-05-02,18.592941284179688
2016-05-03,18.16551399230957
2016-05-04,18.623470306396484
2016-05-05,18.280006408691406
2016-05-06,17.646501541137695
2016-05-09,16.471084594726562
2016-05-10,16.181049346923828
2016-05-11,15.72309398651123
2016-05-12,16.05129623413086
2016-05-13,15.616239547729492
2016-05-16,15.34146499633789
2016-05-17,14.929305076599121
2016-05-18,15.051426887512207
2016-05-19,15.303302764892578
2016-05-20,15.440689086914062
2016-05-23,15.143016815185547
2016-05-24,15.784154891967773
2016-05-25,16.08945655822754
