Date,SKA-B.ST
2015-08-24,108.93544006347656
2015-08-25,112.3440170288086
2015-08-26,111.64839935302734
2015-08-27,115.26565551757812
2015-08-28,115.54389953613281
2015-08-31,115.47434997558594
2015-09-01,112.5527114868164
2015-09-02,112.48313903808594
2015-09-03,115.68302917480469
2015-09-04,113.52656555175781
2015-09-07,113.94395446777344
2015-09-08,114.98741912841797
2015-09-09,119.85682678222656
2015-09-10,119.16116333007812
2015-09-11,119.02205657958984
2015-09-14,116.9351806640625
2015-09-15,116.8656234741211
2015-09-16,116.23953247070312
2015-09-17,116.7960433959961
2015-09-18,114.91786193847656
2015-09-21,117.14385986328125
2015-09-22,114.50047302246094
2015-09-23,114.01351165771484
2015-09-24,110.88319396972656
2015-09-25,114.29180145263672
2015-09-28,112.97008514404297
2015-09-29,112.48313903808594
2015-09-30,114.01351165771484
2015-10-01,113.31791687011719
2015-10-02,113.80484008789062
2015-10-05,117.2829818725586
2015-10-06,119.16116333007812
2015-10-07,120.48285675048828
2015-10-08,121.10894012451172
2015-10-09,123.96101379394531
2015-10-12,122.7784423828125
2015-10-13,121.66544342041016
2015-10-14,110.88319396972656
2015-10-15,108.5180892944336
2015-10-16,106.77898406982422
2015-10-19,105.31817626953125
2015-10-20,105.73554229736328
2015-10-21,106.84856414794922
2015-10-22,108.65718841552734
2015-10-23,109.14411926269531
2015-10-26,108.72675323486328
2015-10-27,107.26593017578125
2015-10-28,112.2744369506836
2015-10-29,114.63958740234375
2015-10-30,115.82215881347656
2015-11-02,116.9351806640625
2015-11-03,117.2829818725586
2015-11-04,117.70036315917969
2015-11-05,118.18729400634766
2015-11-06,118.46554565429688
2015-11-09,116.65691375732422
2015-11-10,115.54389953613281
2015-11-11,116.10041046142578
2015-11-12,113.66570281982422
2015-11-13,112.13532257080078
2015-11-16,112.13532257080078
2015-11-17,114.63958740234375
2015-11-18,116.58735656738281
2015-11-19,115.89173889160156
2015-11-20,115.12651824951172
2015-11-23,115.12651824951172
2015-11-24,114.15266418457031
2015-11-25,117.9090576171875
2015-11-26,119.64812469482422
2015-11-27,119.92636108398438
2015-11-30,119.92636108398438
2015-12-01,122.15238952636719
2015-12-02,121.94369506835938
2015-12-03,118.81336975097656
2015-12-04,118.25686645507812
2015-12-07,118.25686645507812
2015-12-08,117.8394775390625
