Date,SAF.PA
2015-08-24,56.527767181396484
2015-08-25,58.018394470214844
2015-08-26,57.64350891113281
2015-08-27,60.0356559753418
2015-08-28,59.937461853027344
2015-08-31,62.14216232299805
2015-09-01,60.69615173339844
2015-09-02,59.678619384765625
2015-09-03,60.95501708984375
2015-09-04,59.482234954833984
2015-09-07,59.35728454589844
2015-09-08,59.526859283447266
2015-09-09,60.15169143676758
2015-09-10,59.75893783569336
2015-09-11,59.69646072387695
2015-09-14,59.66968536376953
2015-09-15,61.026424407958984
2015-09-16,61.84760284423828
2015-09-17,62.71342086791992
2015-09-18,62.12431335449219
2015-09-21,62.15108871459961
2015-09-22,60.81219482421875
2015-09-23,60.7764892578125
2015-09-24,58.86634826660156
2015-09-25,60.678306579589844
2015-09-28,60.25880432128906
2015-09-29,59.616127014160156
2015-09-30,60.071353912353516
2015-10-01,61.00857162475586
2015-10-02,61.73157501220703
2015-10-05,63.534603118896484
2015-10-06,64.04338073730469
2015-10-07,63.60600662231445
2015-10-08,63.37392807006836
2015-10-09,63.37392807006836
2015-10-12,60.160606384277344
2015-10-13,60.972862243652344
2015-10-14,60.00886917114258
2015-10-15,60.678306579589844
2015-10-16,61.6690788269043
2015-10-19,61.79404830932617
2015-10-20,61.71371078491211
2015-10-21,61.98149871826172
2015-10-22,61.59768295288086
2015-10-23,62.78481674194336
2015-10-26,62.026126861572266
2015-10-27,61.27634811401367
2015-10-28,60.79434585571289
2015-10-29,61.29420852661133
2015-10-30,61.68693542480469
2015-11-02,62.07967758178711
2015-11-03,60.50872802734375
2015-11-04,60.58013153076172
2015-11-05,60.46408462524414
2015-11-06,62.96334457397461
2015-11-09,61.96363830566406
2015-11-10,62.25819396972656
2015-11-11,62.86516189575195
2015-11-12,60.69615173339844
2015-11-13,59.187679290771484
2015-11-16,59.223392486572266
2015-11-17,60.89253234863281
2015-11-18,60.31234359741211
2015-11-19,59.68752670288086
2015-11-20,60.00886917114258
2015-11-23,60.69615173339844
2015-11-24,60.071353912353516
2015-11-25,60.73187255859375
2015-11-26,61.46378707885742
2015-11-27,61.490562438964844
2015-11-30,62.37422561645508
2015-12-01,60.847904205322266
2015-12-02,60.69615173339844
2015-12-03,58.77708435058594
2015-12-04,58.00054168701172
2015-12-07,58.152278900146484
2015-12-08,57.43820571899414
2015-12-09,55.93865966796875
2015-12-10,56.384944915771484
2015-12-11,55.3227653503418
2015-12-14,54.3498420715332
2015-12-15,56.518836975097656
2015-12-16,57.393577575683594
2015-12-17,57.634578704833984
2015-12-18,56.67058563232422
2015-12-21,56.40024948120117
2015-12-22,56.120906829833984
2015-12-23,56.70662307739258
2015-12-24,56.7336540222168
2015-12-28,56.40925216674805
2015-12-29,57.48157501220703
2015-12-30,57.445533752441406
2016-01-04,56.11188888549805
2016-01-05,55.81452941894531
