Date,HWM
2016-11-01,13.874473571777344
2016-11-02,13.155820846557617
2016-11-03,12.825819969177246
2016-11-04,12.965152740478516
2016-11-07,12.7158203125
2016-11-08,12.83376693725586
2016-11-09,12.922223091125488
2016-11-10,13.600403785705566
2016-11-11,13.902633666992188
2016-11-14,14.072178840637207
2016-11-15,14.676639556884766
2016-11-16,14.45549488067627
2016-11-17,14.374406814575195
2016-11-18,14.676639556884766
2016-11-21,14.875670433044434
2016-11-22,14.661896705627441
2016-11-23,14.949384689331055
2016-11-25,15.13366985321045
2016-11-28,14.85355281829834
2016-11-29,14.499720573425293
2016-11-30,14.21223258972168
2016-12-01,14.374406814575195
2016-12-02,14.51446533203125
2016-12-05,14.934640884399414
2016-12-06,14.97886848449707
2016-12-07,15.391672134399414
2016-12-08,15.413790702819824
2016-12-09,16.069852828979492
2016-12-12,15.907678604125977
2016-12-13,15.620192527770996
2016-12-14,15.295842170715332
2016-12-15,15.155782699584961
2016-12-16,14.934640884399414
2016-12-19,14.757726669311523
2016-12-20,14.81669807434082
2016-12-21,14.757726669311523
2016-12-22,14.794583320617676
2016-12-23,14.580812454223633
2016-12-27,14.580812454223633
2016-12-28,14.190119743347168
2016-12-29,13.784688949584961
2016-12-30,13.666743278503418
2017-01-03,14.145892143249512
2017-01-04,14.52183723449707
2017-01-05,14.81669807434082
2017-01-06,15.207385063171387
2017-01-09,15.030472755432129
2017-01-10,15.266358375549316
2017-01-11,15.553847312927246
2017-01-12,15.480131149291992
2017-01-13,15.57596206665039
2017-01-17,15.288472175598145
2017-01-18,15.391672134399414
2017-01-19,15.708647727966309
2017-01-20,15.693906784057617
2017-01-23,15.723393440246582
2017-01-24,16.342594146728516
2017-01-25,16.725915908813477
2017-01-26,16.851226806640625
2017-01-27,16.659568786621094
2017-01-30,16.58585548400879
2017-01-31,16.799625396728516
2017-02-01,18.6843204498291
2017-02-02,18.625192642211914
2017-02-03,19.142560958862305
2017-02-06,19.36429214477539
2017-02-07,19.67470932006836
2017-02-08,20.177288055419922
2017-02-09,20.665096282958984
2017-02-10,21.891998291015625
2017-02-13,21.91416358947754
2017-02-14,21.818084716796875
2017-02-15,21.588964462280273
2017-02-16,21.795909881591797
