Date,STJ.L
2015-08-24,855.7966918945312
2015-08-25,910.5916748046875
2015-08-26,898.1383056640625
2015-08-27,928.5244750976562
2015-08-28,912.0861206054688
2015-09-01,871.737060546875
2015-09-02,874.7257690429688
2015-09-03,876.825439453125
2015-09-04,853.4103393554688
2015-09-07,857.3958129882812
2015-09-08,871.8435668945312
2015-09-09,881.309326171875
2015-09-10,881.807373046875
2015-09-11,870.3489990234375
2015-09-14,865.8652954101562
2015-09-15,880.8110961914062
2015-09-16,886.2913208007812
2015-09-17,886.7894287109375
2015-09-18,869.3524780273438
2015-09-21,874.8326416015625
2015-09-22,845.4391479492188
2015-09-23,852.9120483398438
2015-09-24,833.4823608398438
2015-09-25,870.3489990234375
2015-09-28,842.449951171875
2015-09-29,826.5076293945312
2015-09-30,846.9337768554688
2015-10-01,848.9264526367188
2015-10-02,853.9083862304688
2015-10-05,896.2551879882812
2015-10-06,886.2913208007812
2015-10-07,890.7750854492188
2015-10-08,891.7714233398438
2015-10-09,874.8326416015625
2015-10-12,870.3489990234375
2015-10-13,857.8941040039062
2015-10-14,835.973388671875
2015-10-15,863.374267578125
2015-10-16,874.8326416015625
2015-10-19,878.3201293945312
2015-10-20,877.82177734375
2015-10-21,885.2948608398438
2015-10-22,895.7569580078125
2015-10-23,920.1685180664062
2015-10-26,927.1432495117188
2015-10-27,935.6127319335938
2015-10-28,955.0423583984375
2015-10-29,962.01708984375
2015-10-30,961.0206909179688
2015-11-02,960.5225830078125
2015-11-03,960.024169921875
2015-11-04,956.0386352539062
2015-11-05,948.067626953125
2015-11-06,958.5296020507812
2015-11-09,950.5584716796875
2015-11-10,943.583740234375
2015-11-11,967.4971923828125
2015-11-12,949.5623168945312
2015-11-13,939.1000366210938
2015-11-16,942.5874633789062
2015-11-17,971.4827270507812
2015-11-18,961.518798828125
2015-11-19,964.5081176757812
2015-11-20,974.471923828125
2015-11-23,975.4682006835938
2015-11-24,962.515380859375
2015-11-25,996.3925170898438
2015-11-26,1000.378173828125
2015-11-27,1005.3601684570312
2015-11-30,1012.3348999023438
2015-12-01,1017.31689453125
2015-12-02,1019.3095092773438
2015-12-03,995.3961791992188
2015-12-04,985.9305419921875
2015-12-07,1000.378173828125
2015-12-08,985.4322509765625
2015-12-09,979.4539184570312
2015-12-10,967.9954833984375
2015-12-11,943.583740234375
2015-12-14,923.656005859375
2015-12-15,966.500732421875
2015-12-16,968.49365234375
2015-12-17,984.9339599609375
2015-12-18,969.9880981445312
2015-12-21,962.01708984375
2015-12-22,966.500732421875
2015-12-23,988.9196166992188
2015-12-24,992.406982421875
2015-12-29,1019.3095092773438
2015-12-30,1010.3419799804688
2015-12-31,1004.3638305664062
2016-01-04,973.4755249023438
2016-01-05,966.500732421875
2016-01-06,948.5657958984375
2016-01-07,923.1577758789062
2016-01-08,918.1757202148438
2016-01-11,903.72802734375
2016-01-12,914.6883544921875
2016-01-13,933.1217651367188
2016-01-14,914.6883544921875
2016-01-15,889.2804565429688
2016-01-18,896.2551879882812
2016-01-19,921.6632080078125
2016-01-20,876.3272705078125
2016-01-21,889.2804565429688
2016-01-22,905.7208862304688
2016-01-25,905.7208862304688
2016-01-26,909.208251953125
2016-01-27,926.14697265625
2016-01-28,911.6992797851562
2016-01-29,949.5623168945312
2016-02-01,942.5874633789062
2016-02-02,912.1974487304688
2016-02-03,897.7495727539062
2016-02-04,889.2804565429688
2016-02-05,869.3524780273438
2016-02-08,828.0022583007812
2016-02-09,808.5725708007812
2016-02-10,840.9553833007812
2016-02-11,798.110595703125
2016-02-12,827.0059814453125
2016-02-15,851.9156494140625
2016-02-16,856.8975830078125
2016-02-17,895.7569580078125
2016-02-18,893.2660522460938
2016-02-19,888.7821655273438
2016-02-22,895.7569580078125
2016-02-23,874.8326416015625
2016-02-24,853.4103393554688
2016-02-25,871.3453979492188
2016-02-26,866.861572265625
2016-02-29,854.90478515625
2016-03-01,852.4138793945312
2016-03-02,844.4429321289062
2016-03-03,852.9120483398438
2016-03-04,855.9012451171875
2016-03-07,884.796630859375
2016-03-08,876.825439453125
2016-03-09,861.8795776367188
2016-03-10,850.4212036132812
2016-03-11,890.7750854492188
2016-03-14,900.2406616210938
2016-03-15,896.75341796875
2016-03-16,931.1288452148438
2016-03-17,925.1505126953125
2016-03-18,936.6089477539062
2016-03-21,937.107177734375
2016-03-22,936.6089477539062
2016-03-23,932.1253051757812
2016-03-24,906.7173461914062
2016-03-29,918.6740112304688
2016-03-30,922.659423828125
2016-03-31,915.1865844726562
2016-04-01,904.7244262695312
2016-04-04,903.2299194335938
2016-04-05,886.7894287109375
2016-04-06,901.2371215820312
2016-04-07,871.01318359375
2016-04-08,881.9754638671875
2016-04-11,892.93798828125
2016-04-12,905.3952026367188
2016-04-13,942.268798828125
2016-04-14,932.302978515625
2016-04-15,914.3646240234375
2016-04-18,909.8798828125
2016-04-19,915.859375
2016-04-20,917.8524780273438
2016-04-21,907.388427734375
2016-04-22,903.9003295898438
2016-04-25,912.371337890625
2016-04-26,914.8627319335938
2016-04-27,904.8969116210938
2016-04-28,877.9891357421875
2016-04-29,864.0371704101562
