Date,CS.PA
2015-08-24,12.201930046081543
2015-08-25,12.783388137817383
2015-08-26,12.658995628356934
2015-08-27,12.954065322875977
2015-08-28,13.014814376831055
2015-08-31,13.003243446350098
2015-09-01,12.49410629272461
2015-09-02,12.604033470153809
2015-09-03,12.925137519836426
2015-09-04,12.569319725036621
2015-09-07,12.676352500915527
2015-09-08,12.904886245727539
2015-09-09,13.188382148742676
2015-09-10,13.032173156738281
2015-09-11,12.864384651184082
2015-09-14,12.734209060668945
2015-09-15,12.959851264953613
2015-09-16,12.988779067993164
2015-09-17,13.08134937286377
2015-09-18,12.462285041809082
2015-09-21,12.693713188171387
2015-09-22,12.280037879943848
2015-09-23,12.314749717712402
2015-09-24,12.173002243041992
2015-09-25,12.566426277160645
2015-09-28,12.308964729309082
2015-09-29,12.196144104003906
2015-09-30,12.517250061035156
2015-10-01,12.459391593933105
2015-10-02,12.508569717407227
2015-10-05,13.017706871032715
2015-10-06,13.159456253051758
2015-10-07,13.153669357299805
2015-10-08,13.147884368896484
2015-10-09,13.116064071655273
2015-10-12,13.185491561889648
2015-10-13,12.933815956115723
2015-10-14,12.739997863769531
2015-10-15,12.965636253356934
2015-10-16,13.197062492370605
2015-10-19,13.24334716796875
2015-10-20,13.2578125
2015-10-21,13.36195182800293
2015-10-22,13.781411170959473
2015-10-23,13.914482116699219
2015-10-26,13.97523307800293
2015-10-27,13.78430461883545
2015-10-28,14.012838363647461
2015-10-29,14.09383773803711
2015-10-30,14.073586463928223
2015-11-02,14.14590835571289
2015-11-03,14.195087432861328
2015-11-04,14.033085823059082
2015-11-05,14.09673023223877
2015-11-06,14.313692092895508
2015-11-09,14.163264274597168
2015-11-10,14.226908683776855
2015-11-11,14.553796768188477
2015-11-12,14.276086807250977
2015-11-13,14.122766494750977
2015-11-16,14.171945571899414
2015-11-17,14.417834281921387
2015-11-18,14.409156799316406
2015-11-19,14.313692092895508
2015-11-20,14.362870216369629
2015-11-23,14.420726776123047
2015-11-24,14.166155815124512
2015-11-25,14.68975830078125
2015-11-26,14.802579879760742
2015-11-27,14.779436111450195
2015-11-30,14.817045211791992
2015-12-01,14.82861328125
2015-12-02,14.74472427368164
2015-12-03,14.151693344116211
2015-12-04,14.608759880065918
2015-12-07,14.929864883422852
2015-12-08,14.764974594116211
2015-12-09,14.617440223693848
2015-12-10,14.600082397460938
2015-12-11,14.261622428894043
2015-12-14,13.95787239074707
2015-12-15,14.281868934631348
2015-12-16,14.212446212768555
2015-12-17,14.53065299987793
2015-12-18,14.449654579162598
2015-12-21,14.426511764526367
2015-12-22,14.322370529174805
2015-12-23,14.521974563598633
2015-12-24,14.51618766784668
2015-12-28,14.423619270324707
2015-12-29,14.747614860534668
2015-12-30,14.634794235229492
2016-01-04,14.079371452331543
2016-01-05,14.085158348083496
2016-01-06,14.033085823059082
2016-01-07,13.706198692321777
2016-01-08,13.448739051818848
2016-01-11,13.51816463470459
2016-01-12,13.706198692321777
2016-01-13,13.842161178588867
2016-01-14,13.5355224609375
2016-01-15,13.173919677734375
2016-01-18,12.954065322875977
2016-01-19,13.24913501739502
2016-01-20,12.609817504882812
2016-01-21,12.766031265258789
2016-01-22,12.988779067993164
2016-01-25,12.988779067993164
2016-01-26,12.985885620117188
2016-01-27,13.035064697265625
2016-01-28,12.81810188293457
2016-01-29,13.173919677734375
2016-02-01,13.026383399963379
2016-02-02,12.711066246032715
2016-02-03,12.086217880249023
2016-02-04,12.094894409179688
2016-02-05,11.762221336364746
2016-02-08,11.331191062927246
2016-02-09,11.012979507446289
2016-02-10,11.74486255645752
2016-02-11,10.926196098327637
2016-02-12,11.19522762298584
2016-02-15,11.65807819366455
2016-02-16,11.582865715026855
2016-02-17,12.05150318145752
2016-02-18,12.037039756774902
2016-02-19,11.80272102355957
2016-02-22,12.016791343688965
2016-02-23,11.727509498596191
2016-02-24,11.282011985778809
2016-02-25,11.417975425720215
2016-02-26,11.750650405883789
2016-02-29,11.741972923278809
2016-03-01,12.0457181930542
2016-03-02,12.401535034179688
2016-03-03,12.488320350646973
2016-03-04,12.3523588180542
2016-03-07,12.181680679321289
2016-03-08,11.976290702819824
2016-03-09,12.025467872619629
2016-03-10,11.785365104675293
2016-03-11,12.514354705810547
2016-03-14,12.5056791305542
2016-03-15,12.572211265563965
2016-03-16,12.661890983581543
2016-03-17,12.465178489685059
2016-03-18,12.49121379852295
2016-03-21,12.557748794555664
2016-03-22,12.317645072937012
2016-03-23,12.23664379119873
2016-03-24,11.941576957702637
2016-03-29,11.993647575378418
2016-03-30,11.947361946105957
2016-03-31,11.970505714416504
2016-04-01,11.765113830566406
2016-04-04,11.741972923278809
2016-04-05,11.34565544128418
2016-04-06,11.478724479675293
2016-04-07,11.261762619018555
2016-04-08,11.52501106262207
2016-04-11,11.675436973571777
2016-04-12,11.984968185424805
2016-04-13,12.760246276855469
2016-04-14,12.742887496948242
2016-04-15,12.81231689453125
2016-04-18,12.783388137817383
2016-04-19,12.959851264953613
2016-04-20,13.14210033416748
2016-04-21,13.150776863098145
2016-04-22,13.228883743286133
2016-04-25,13.107385635375977
2016-04-26,13.214418411254883
2016-04-27,13.147884368896484
2016-04-28,13.208635330200195
2016-04-29,12.737102508544922
2016-05-02,12.913564682006836
2016-05-03,12.757352828979492
2016-05-04,12.6734619140625
2016-05-05,12.523032188415527
2016-05-06,12.452937126159668
2016-05-09,12.599225997924805
2016-05-10,12.736372947692871
2016-05-11,12.702850341796875
2016-05-12,12.611417770385742
2016-05-13,12.632752418518066
2016-05-16,12.541321754455566
