Date,BMW.DE
2015-08-24,45.61000442504883
2015-08-25,48.5091552734375
2015-08-26,47.79771041870117
2015-08-27,49.17911148071289
2015-08-28,49.173179626464844
2015-08-31,48.746315002441406
2015-09-01,47.48941421508789
2015-09-02,47.163326263427734
2015-09-03,48.71073913574219
2015-09-04,47.619850158691406
2015-09-07,47.98743438720703
2015-09-08,49.82535171508789
2015-09-09,50.714664459228516
2015-09-10,51.02296447753906
2015-09-11,50.70872497558594
2015-09-14,50.5960807800293
2015-09-15,51.71662902832031
2015-09-16,51.82926559448242
2015-09-17,52.32728958129883
2015-09-18,50.81544876098633
2015-09-21,50.038787841796875
2015-09-22,47.02696228027344
2015-09-23,47.30561447143555
2015-09-24,44.868900299072266
2015-09-25,46.77203369140625
2015-09-28,45.408416748046875
2015-09-29,45.277984619140625
2015-09-30,46.967681884765625
2015-10-01,46.44001770019531
2015-10-02,46.368873596191406
2015-10-05,48.12378692626953
2015-10-06,48.746315002441406
2015-10-07,50.83323287963867
2015-10-08,51.105960845947266
2015-10-09,52.0545654296875
2015-10-12,52.91423416137695
2015-10-13,52.23834991455078
2015-10-14,51.42611312866211
2015-10-15,51.5861930847168
2015-10-16,51.42611312866211
2015-10-19,51.989349365234375
2015-10-20,51.74626922607422
2015-10-21,52.17313766479492
2015-10-22,53.56639862060547
2015-10-23,55.3094482421875
2015-10-26,55.084163665771484
2015-10-27,54.769927978515625
2015-10-28,55.11973190307617
2015-10-29,55.3390998840332
2015-10-30,55.3509521484375
2015-11-02,55.94383239746094
2015-11-03,55.47547149658203
2015-11-04,54.811431884765625
2015-11-05,55.0070915222168
2015-11-06,56.933937072753906
2015-11-09,56.299560546875
2015-11-10,56.87464904785156
2015-11-11,57.02287673950195
2015-11-12,56.00312805175781
2015-11-13,56.05055236816406
2015-11-16,56.15134048461914
2015-11-17,57.66317367553711
2015-11-18,57.775821685791016
2015-11-19,58.534706115722656
2015-11-20,58.79557800292969
2015-11-23,58.36870193481445
2015-11-24,57.36674499511719
2015-11-25,58.9912223815918
2015-11-26,59.79159927368164
2015-11-27,60.176971435546875
2015-11-30,61.244144439697266
2015-12-01,61.244144439697266
2015-12-02,60.85877990722656
2015-12-03,58.3034782409668
2015-12-04,58.20269012451172
2015-12-07,59.28173065185547
2015-12-08,57.62760543823242
2015-12-09,57.59202575683594
2015-12-10,57.66910171508789
2015-12-11,55.79560089111328
2015-12-14,54.48535919189453
2015-12-15,56.13947677612305
2015-12-16,56.6137809753418
2015-12-17,58.528778076171875
2015-12-18,57.337093353271484
2015-12-21,56.61971664428711
2015-12-22,57.123653411865234
2015-12-23,58.4279899597168
2015-12-25,58.4279899597168
2015-12-28,57.716529846191406
2015-12-29,58.43391036987305
2015-12-30,57.88253402709961
2016-01-04,54.6928596496582
2016-01-05,54.437923431396484
2016-01-06,52.63557434082031
2016-01-07,50.65537643432617
2016-01-08,49.46961212158203
2016-01-11,49.2917594909668
2016-01-12,50.30557632446289
2016-01-13,49.14353561401367
2016-01-14,47.49534225463867
2016-01-15,46.256229400634766
2016-01-18,46.30365753173828
2016-01-19,46.75424575805664
2016-01-20,45.515140533447266
2016-01-21,46.65938949584961
2016-01-22,47.25819396972656
2016-01-25,46.789817810058594
2016-01-26,47.074405670166016
2016-01-27,47.406402587890625
2016-01-28,46.01908493041992
2016-01-29,45.449920654296875
2016-02-01,44.74439239501953
2016-02-02,43.89065170288086
2016-02-03,43.10212707519531
2016-02-04,42.38474655151367
2016-02-05,42.930198669433594
2016-02-08,41.08634948730469
2016-02-09,40.214820861816406
2016-02-10,40.95591354370117
2016-02-11,39.82944869995117
2016-02-12,41.65550994873047
2016-02-15,43.32741928100586
2016-02-16,43.17327117919922
2016-02-17,44.696964263916016
2016-02-18,44.673248291015625
2016-02-19,43.77207565307617
2016-02-22,44.584312438964844
2016-02-23,43.36298751831055
2016-02-24,41.61993408203125
2016-02-25,42.2721061706543
2016-02-26,43.80764389038086
2016-02-29,44.5546760559082
2016-03-01,46.428165435791016
2016-03-02,47.68506622314453
2016-03-03,48.1119384765625
2016-03-04,48.989383697509766
2016-03-07,48.53881072998047
2016-03-08,47.441978454589844
2016-03-09,46.56452941894531
2016-03-10,44.71474838256836
2016-03-11,46.67124557495117
2016-03-14,47.56648635864258
2016-03-15,47.16925811767578
2016-03-16,48.989383697509766
2016-03-17,48.03485870361328
2016-03-18,48.36686706542969
2016-03-21,48.14158630371094
2016-03-22,48.248291015625
2016-03-23,48.05857467651367
2016-03-24,47.18111801147461
2016-03-29,47.696922302246094
2016-03-30,48.68109130859375
2016-03-31,47.84513854980469
2016-04-01,46.2443733215332
2016-04-04,45.97164535522461
2016-04-05,44.24637222290039
2016-04-06,44.46574401855469
2016-04-07,43.783935546875
2016-04-08,44.05073165893555
2016-04-11,44.34123992919922
2016-04-12,44.673248291015625
2016-04-13,46.2443733215332
2016-04-14,46.95581817626953
2016-04-15,46.463741302490234
2016-04-18,47.6732063293457
2016-04-19,49.25025177001953
2016-04-20,49.8134880065918
2016-04-21,49.890567779541016
2016-04-22,49.07831954956055
2016-04-25,48.5803108215332
2016-04-26,48.971595764160156
2016-04-27,49.42219543457031
2016-04-28,49.76605987548828
2016-04-29,47.726558685302734
2016-05-02,48.094146728515625
2016-05-03,46.26215744018555
2016-05-04,45.32541275024414
2016-05-05,44.779964447021484
2016-05-06,44.87482452392578
2016-05-09,45.36691665649414
2016-05-10,46.250308990478516
2016-05-11,45.59220886230469
2016-05-12,44.89261245727539
2016-05-13,45.66640853881836
2016-05-17,44.298336029052734
